A;B
0.709674643;0.709674643
0.668101222;0.668101222
0.671716302;0.671716302
0.695558616;0.695558616
0.681786882;0.681786882
0.688672749;0.688672749
0.690222069;0.690222069
0.647787915;0.647787915
0.601824755;0.601824755
0.597607161;0.597607161
0.600877948;0.600877948
0.583318988;0.583318988
0.601738681;0.601738681
0.538646927;0.538646927
0.486744706;0.486744706
0.357118265;0.357118265
0.324926838;0.324926838
0.328541918;0.328541918
0.359872611;0.359872611
0.378464452;0.378464452
0.472026166;0.472026166
0.527715614;0.527715614
0.559218454;0.559218454
0.583405061;0.583405061
