;A;B;C
20-3-2025 00:00;11099.75;7734.25;48795.75
20-3-2025 01:00;10782.75;7267;47344
20-3-2025 02:00;10623.25;7125;46753.75
20-3-2025 03:00;10587.5;7075.75;47198.25
20-3-2025 04:00;10608.75;7246;48526
20-3-2025 05:00;10878.25;7672.5;52379.5
20-3-2025 06:00;11445;8595;59053
20-3-2025 07:00;11788.25;9446.25;63821
20-3-2025 08:00;10261.25;9954.25;64637
20-3-2025 09:00;7497.75;10009.75;62834.25
20-3-2025 10:00;5363;9823.25;61259.5
20-3-2025 11:00;3654;9717.25;59454
20-3-2025 12:00;2874.5;9454;58275.5
20-3-2025 13:00;2854.5;9330;57667.75
20-3-2025 14:00;3533;9089.5;56507
20-3-2025 15:00;4846.5;8899.5;56326.75
20-3-2025 16:00;7569;8808.75;57317.25
20-3-2025 17:00;10830;9291.5;61203.25
20-3-2025 18:00;13024;9598.5;63834.25
20-3-2025 19:00;26000;18000;100000
20-3-2025 20:00;13253;9209.25;60840.5
20-3-2025 21:00;12658.25;8654.25;57475
20-3-2025 22:00;12106.25;8403.25;54414.5
20-3-2025 23:00;11531.75;8078.25;50648.75
