;A;B;C
2-4-2025 00:00;0;0;0
2-4-2025 01:00;0;0;0
2-4-2025 02:00;0;0;0
2-4-2025 03:00;0;0;0
2-4-2025 04:00;0;0;0
2-4-2025 05:00;0;0;0
2-4-2025 06:00;0.000408271;0;0
2-4-2025 07:00;0.025634833;0.00843061;0.000807073
2-4-2025 08:00;0.109609325;0.098573281;0.015710408
2-4-2025 09:00;0.223445119;0.280711506;0.052102058
2-4-2025 10:00;0.327939553;0.445432648;0.087301442
2-4-2025 11:00;0.406042989;0.571057995;0.119721927
2-4-2025 12:00;0.449822891;0.643320363;0.145823398
2-4-2025 13:00;0.457559918;0.664906429;0.160038886
2-4-2025 14:00;0.434932491;0.629979618;0.160579992
2-4-2025 15:00;0.38143746;0.558921623;0.148437213
2-4-2025 16:00;0.300760765;0.473411154;0.1313236
2-4-2025 17:00;0.189751242;0.348434315;0.101617814
2-4-2025 18:00;0.075829193;0.17518992;0.064455776
2-4-2025 19:00;0.011885868;0.036964981;0.033942918
2-4-2025 20:00;5.75E-05;0.000833797;0.00979493
2-4-2025 21:00;0;0;5.50E-05
2-4-2025 22:00;0;0;0
2-4-2025 23:00;0;0;0
