;A;B;C
2025-04-02 00:00:00;0.234260208;0.524177238;0.303585199
2025-04-02 01:00:00;0.23094994;0.494943924;0.287545788
2025-04-02 02:00:00;0.230052964;0.450634308;0.276271035
2025-04-02 03:00:00;0.228002734;0.437212723;0.269774712
2025-04-02 04:00:00;0.224179908;0.457988601;0.267605828
2025-04-02 05:00:00;0.222215103;0.481338481;0.269106833
2025-04-02 06:00:00;0.225290449;0.494024637;0.275011017
2025-04-02 07:00:00;0.227063045;0.499356499;0.272229337
2025-04-02 08:00:00;0.214249103;0.505423791;0.245875678
2025-04-02 09:00:00;0.170596275;0.480970767;0.200294693
2025-04-02 10:00:00;0.132261234;0.460194889;0.191605387
2025-04-02 11:00:00;0.116201093;0.487773488;0.205957889
2025-04-02 12:00:00;0.136340338;0.513145799;0.221443031
2025-04-02 13:00:00;0.162801128;0.547159404;0.242274643
2025-04-02 14:00:00;0.201178883;0.59422688;0.270793743
2025-04-02 15:00:00;0.262429523;0.631549917;0.302769286
2025-04-02 16:00:00;0.321074663;0.634859349;0.33924096
2025-04-02 17:00:00;0.357359474;0.601581173;0.361339475
2025-04-02 18:00:00;0.356056723;0.576760434;0.358110248
2025-04-02 19:00:00;0.349607039;0.566280566;0.367395136
2025-04-02 20:00:00;0.341128481;0.561500276;0.391184004
2025-04-02 21:00:00;0.337668717;0.556719985;0.400892341
2025-04-02 22:00:00;0.331774304;0.557455415;0.390760555
2025-04-02 23:00:00;0.323637451;0.560948704;0.374614421
