Timestep;EOM_price;Gen_A_Baseload;new_Capacity_Gen_A_Baseload;Capacity_Gen_A_Baseload;Gen_A_MidMerit;new_Capacity_Gen_A_MidMerit;Capacity_Gen_A_MidMerit;Gen_A_PV;new_Capacity_Gen_A_PV;Capacity_Gen_A_PV;Gen_A_Peak;new_Capacity_Gen_A_Peak;Capacity_Gen_A_Peak;Gen_A_WindOnshore;new_Capacity_Gen_A_WindOnshore;Capacity_Gen_A_WindOnshore;Cons_A;Inelastic_Cons_A;Elastic_Cons_A;NetworkManager;ENS_Cons_A
1.0;55.74;27768.82;27768.82;27768.82;1481.13;9687.8;9687.8;0.0;0.0;86952.0;0.0;8811.86;8811.86;22045.75;0.0;72618.0;45704.76;36584.2;9120.56;5590.93;0.0
2.0;54.58;27768.82;27768.82;27768.82;1118.4;9687.8;9687.8;0.0;0.0;86952.0;0.0;8811.86;8811.86;20881.0;0.0;72618.0;44278.32;35442.0;8836.32;5489.9;0.0
3.0;55.1;27768.82;27768.82;27768.82;1281.75;9687.8;9687.8;0.0;0.0;86952.0;0.0;8811.86;8811.86;20062.25;0.0;72618.0;43709.4;34986.8;8722.6;5403.41;0.0
4.0;56.27;27768.82;27768.82;27768.82;1645.59;9687.8;9687.8;0.0;0.0;86952.0;0.0;8811.86;8811.86;19590.5;0.0;72618.0;44012.97;35230.2;8782.77;4991.94;0.0
5.0;58.79;27768.82;27768.82;27768.82;2434.0;9687.8;9687.8;0.0;0.0;86952.0;0.0;8811.86;8811.86;19433.0;0.0;72618.0;45491.49;36414.6;9076.89;4144.32;0.0
6.0;65.45;27768.82;27768.82;27768.82;4515.52;9687.8;9687.8;0.0;0.0;86952.0;0.0;8811.86;8811.86;19542.0;0.0;72618.0;49091.35;39298.8;9792.55;2734.99;0.0
7.0;85.88;27768.82;27768.82;27768.82;9687.8;9687.8;9687.8;35.5;0.0;86952.0;1485.21;8811.86;8811.86;19970.75;0.0;72618.0;55926.68;44779.8;11146.88;3021.39;0.0
8.0;128.72;27768.82;27768.82;27768.82;9687.8;9687.8;9687.8;2229.0;0.0;86952.0;6840.42;8811.86;8811.86;19768.75;0.0;72618.0;60294.79;48298.0;11996.79;6000.0;0.0
9.0;102.44;27768.82;27768.82;27768.82;9687.8;9687.8;9687.8;9530.75;0.0;86952.0;3555.13;8811.86;8811.86;17855.0;0.0;72618.0;62889.01;50362.8;12526.21;5508.49;0.0
10.0;64.81;27768.82;27768.82;27768.82;4315.0;9687.8;9687.8;19429.0;0.0;86952.0;0.0;8811.86;8811.86;14545.0;0.0;72618.0;63095.83;50509.4;12586.43;2961.99;0.0
11.0;45.77;22218.0;27768.82;27768.82;0.0;9687.8;9687.8;28515.0;0.0;86952.0;0.0;8811.86;8811.86;13914.0;0.0;72618.0;62329.46;49886.4;12443.06;2317.54;0.0
12.0;34.43;8036.81;27768.82;27768.82;0.0;9687.8;9687.8;35306.25;0.0;86952.0;0.0;8811.86;8811.86;14956.25;0.0;72618.0;60162.03;48146.2;12015.83;-1862.72;0.0
13.0;28.45;561.38;27768.82;27768.82;0.0;9687.8;9687.8;39113.0;0.0;86952.0;0.0;8811.86;8811.86;16080.75;0.0;72618.0;57893.53;46328.0;11565.53;-2138.39;0.0
14.0;0.0;0.0;27768.82;27768.82;0.0;9687.8;9687.8;38894.54;0.0;86952.0;0.0;8811.86;8811.86;17593.5;0.0;72618.0;56958.25;45566.6;11391.65;-470.21;0.0
15.0;0.0;0.0;27768.82;27768.82;0.0;9687.8;9687.8;37818.25;0.0;86952.0;0.0;8811.86;8811.86;18112.62;0.0;72618.0;55617.5;44494.0;11123.5;313.37;0.0
16.0;32.76;5944.06;27768.82;27768.82;0.0;9687.8;9687.8;33166.75;0.0;86952.0;0.0;8811.86;8811.86;14724.7;0.0;72618.0;54819.04;43869.6;10949.44;-983.53;0.0
17.0;32.05;5063.59;27768.82;27768.82;0.0;9687.8;9687.8;26151.75;0.0;86952.0;0.0;8811.86;8811.86;24635.0;0.0;72618.0;54704.96;43778.0;10926.96;1145.38;0.0
18.0;42.01;17511.54;27768.82;27768.82;0.0;9687.8;9687.8;16499.25;0.0;86952.0;0.0;8811.86;8811.86;26239.75;0.0;72618.0;56492.51;45213.0;11279.51;3758.03;0.0
19.0;15132.78;27768.82;27768.82;27768.82;9687.8;9687.8;9687.8;6593.5;0.0;86952.0;8811.86;8811.86;8811.86;26005.25;0.0;72618.0;84867.22;80000.0;4867.22;-6000.0;0.0
20.0;16479.65;27768.82;27768.82;27768.82;9687.8;9687.8;9687.8;1033.5;0.0;86952.0;8811.86;8811.86;8811.86;4894.1;0.0;72618.0;50018.88;47910.6;2108.28;2177.2;0.0
21.0;8821.06;27768.82;27768.82;27768.82;9687.8;9687.8;9687.8;5.0;0.0;86952.0;8811.86;8811.86;8811.86;13883.4;0.0;72618.0;54156.87;47517.0;6639.87;6000.0;0.0
22.0;71.49;27768.82;27768.82;27768.82;6404.2;9687.8;9687.8;0.0;0.0;86952.0;0.0;8811.86;8811.86;29112.0;0.0;72618.0;57285.02;45860.8;11424.22;6000.0;0.0
23.0;62.49;27768.82;27768.82;27768.82;3592.08;9687.8;9687.8;0.0;0.0;86952.0;0.0;8811.86;8811.86;28376.25;0.0;72618.0;53737.15;43016.6;10720.55;6000.0;0.0
24.0;53.48;27768.82;27768.82;27768.82;776.56;9687.8;9687.8;0.0;0.0;86952.0;0.0;8811.86;8811.86;27203.75;0.0;72618.0;49749.13;39820.6;9928.53;6000.0;0.0
