Timestep;EOM_price;Gen_B_Baseload;new_Capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_MidMerit;new_Capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_PV;new_Capacity_Gen_B_PV;Capacity_Gen_B_PV;Gen_B_Peak;new_Capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_Capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;NetworkManager;ENS_Cons_B
1.0;55.74;3217.45;4280.28;4280.28;85.61;1719.75;1719.75;0.0;0.0;10794.0;0.0;947.59;947.59;1651.2;0.0;5439.0;8206.42;6568.8;1637.62;-3252.16;0.0
2.0;54.58;3072.36;4280.28;4280.28;49.34;1719.75;1719.75;0.0;0.0;10794.0;0.0;947.59;947.59;1563.96;0.0;5439.0;7809.99;6251.4;1558.59;-3124.32;0.0
3.0;55.1;3137.7;4280.28;4280.28;65.67;1719.75;1719.75;0.0;0.0;10794.0;0.0;947.59;947.59;1502.64;0.0;5439.0;7638.54;6114.2;1524.34;-2932.53;0.0
4.0;56.27;3283.24;4280.28;4280.28;102.06;1719.75;1719.75;0.0;0.0;10794.0;0.0;947.59;947.59;1467.3;0.0;5439.0;7496.03;6000.2;1495.83;-2643.43;0.0
5.0;58.79;3598.6;4280.28;4280.28;180.9;1719.75;1719.75;0.0;0.0;10794.0;0.0;947.59;947.59;1455.51;0.0;5439.0;7569.8;6059.4;1510.4;-2334.79;0.0
6.0;65.45;4280.28;4280.28;4280.28;389.05;1719.75;1719.75;0.0;0.0;10794.0;0.0;947.59;947.59;1463.67;0.0;5439.0;7976.78;6385.6;1591.18;-1843.77;0.0
7.0;85.88;4280.28;4280.28;4280.28;1027.55;1719.75;1719.75;4.41;0.0;10794.0;123.52;947.59;947.59;1495.78;0.0;5439.0;8866.88;7099.6;1767.28;-1935.33;0.0
8.0;135.57;4280.28;4280.28;4280.28;1719.75;1719.75;1719.75;276.7;0.0;10794.0;744.62;947.59;947.59;1480.66;0.0;5439.0;9635.92;7719.2;1916.72;-1133.91;0.0
9.0;102.44;4280.28;4280.28;4280.28;1545.03;1719.75;1719.75;1183.12;0.0;10794.0;330.51;947.59;947.59;1337.32;0.0;5439.0;10217.52;8182.4;2035.12;-1541.25;0.0
10.0;64.81;4280.28;4280.28;4280.28;369.0;1719.75;1719.75;2411.87;0.0;10794.0;0.0;947.59;947.59;1089.4;0.0;5439.0;10309.06;8252.6;2056.46;-2158.51;0.0
11.0;45.77;1971.8;4280.28;4280.28;0.0;1719.75;1719.75;3539.78;0.0;10794.0;0.0;947.59;947.59;1042.14;0.0;5439.0;10242.81;8198.0;2044.81;-3689.09;0.0
12.0;34.43;553.68;4280.28;4280.28;0.0;1719.75;1719.75;4382.83;0.0;10794.0;0.0;947.59;947.59;1120.2;0.0;5439.0;10193.99;8158.0;2035.99;-4137.28;0.0
13.0;28.45;0.0;4280.28;4280.28;0.0;1719.75;1719.75;4855.39;0.0;10794.0;0.0;947.59;947.59;1204.43;0.0;5439.0;9921.43;7939.4;1982.03;-3861.61;0.0
14.0;0.0;0.0;4280.28;4280.28;0.0;1719.75;1719.75;4938.9;0.0;10794.0;0.0;947.59;947.59;871.06;0.0;5439.0;9793.5;7834.8;1958.7;-3983.53;0.0
15.0;0.0;0.0;4280.28;4280.28;0.0;1719.75;1719.75;4694.66;0.0;10794.0;0.0;947.59;947.59;901.7;0.0;5439.0;9589.5;7671.6;1917.9;-3993.14;0.0
16.0;32.76;344.41;4280.28;4280.28;0.0;1719.75;1719.75;4117.24;0.0;10794.0;0.0;947.59;947.59;1102.86;0.0;5439.0;9235.97;7391.2;1844.77;-3671.47;0.0
17.0;32.05;256.36;4280.28;4280.28;0.0;1719.75;1719.75;3246.41;0.0;10794.0;0.0;947.59;947.59;1845.13;0.0;5439.0;8903.15;7124.8;1778.35;-3555.24;0.0
18.0;42.01;1501.15;4280.28;4280.28;0.0;1719.75;1719.75;2048.17;0.0;10794.0;0.0;947.59;947.59;1965.33;0.0;5439.0;9243.87;7398.2;1845.67;-3729.21;0.0
19.0;5036.65;4280.28;4280.28;4280.28;1719.75;1719.75;1719.75;818.5;0.0;10794.0;947.59;947.59;947.59;1947.76;0.0;5439.0;8927.98;7521.2;1406.78;785.9;0.0
20.0;16479.65;4280.28;4280.28;4280.28;1719.75;1719.75;1719.75;128.3;0.0;10794.0;947.59;947.59;947.59;366.56;0.0;5439.0;12528.05;12000.0;528.05;-5085.58;0.0
21.0;9658.6;4280.28;4280.28;4280.28;1719.75;1719.75;1719.75;0.62;0.0;10794.0;947.59;947.59;947.59;1039.85;0.0;5439.0;8508.35;7534.4;973.95;-520.26;0.0
22.0;172.34;4280.28;4280.28;4280.28;1719.75;1719.75;1719.75;0.0;0.0;10794.0;947.59;947.59;947.59;2180.45;0.0;5439.0;9305.69;7457.4;1848.29;-177.61;0.0
23.0;91.31;4280.28;4280.28;4280.28;1197.28;1719.75;1719.75;0.0;0.0;10794.0;191.41;947.59;947.59;2125.35;0.0;5439.0;9097.44;7284.6;1812.84;-1303.12;0.0
24.0;79.31;4280.28;4280.28;4280.28;822.04;1719.75;1719.75;0.0;0.0;10794.0;41.32;947.59;947.59;2037.53;0.0;5439.0;8657.88;6931.8;1726.08;-1476.71;0.0
