Timestep;EOM_price;Gen_C_Baseload;new_Capacity_Gen_C_Baseload;Capacity_Gen_C_Baseload;Gen_C_MidMerit;new_Capacity_Gen_C_MidMerit;Capacity_Gen_C_MidMerit;Gen_C_PV;new_Capacity_Gen_C_PV;Capacity_Gen_C_PV;Gen_C_Peak;new_Capacity_Gen_C_Peak;Capacity_Gen_C_Peak;Gen_C_WindOnshore;new_Capacity_Gen_C_WindOnshore;Capacity_Gen_C_WindOnshore;Cons_C;Inelastic_Cons_C;Elastic_Cons_C;NetworkManager;ENS_Cons_C
1.0;27.95;9945.02;10177.64;10177.64;0.0;2348.7;2348.7;0.0;0.0;27259.0;0.0;2173.75;2173.75;6136.02;0.0;11706.0;11468.54;11012.88;455.66;-4612.49;0.0
2.0;27.72;9719.51;10177.64;10177.64;0.0;2348.7;2348.7;0.0;0.0;27259.0;0.0;2173.75;2173.75;5793.81;0.0;11706.0;10984.7;10548.24;436.46;-4528.62;0.0
3.0;27.75;9751.33;10177.64;10177.64;0.0;2348.7;2348.7;0.0;0.0;27259.0;0.0;2173.75;2173.75;5275.13;0.0;11706.0;10639.8;10217.04;422.76;-4386.66;0.0
4.0;27.73;9727.59;10177.64;10177.64;0.0;2348.7;2348.7;0.0;0.0;27259.0;0.0;2173.75;2173.75;5118.01;0.0;11706.0;10542.33;10123.44;418.89;-4303.28;0.0
5.0;27.7;9698.24;10177.64;10177.64;0.0;2348.7;2348.7;0.0;0.0;27259.0;0.0;2173.75;2173.75;5361.21;0.0;11706.0;10641.05;10218.24;422.81;-4418.4;0.0
6.0;27.96;9959.61;10177.64;10177.64;0.0;2348.7;2348.7;0.0;0.0;27259.0;0.0;2173.75;2173.75;5634.55;0.0;11706.0;11037.66;10599.12;438.54;-4556.49;0.0
7.0;55.93;10177.64;10177.64;10177.64;493.03;2348.7;2348.7;0.0;0.0;27259.0;0.0;2173.75;2173.75;5783.05;0.0;11706.0;12428.79;11938.32;490.47;-4024.93;0.0
8.0;134.78;10177.64;10177.64;10177.64;2348.7;2348.7;2348.7;229.81;0.0;27259.0;759.74;2173.75;2173.75;1523.0;0.0;11706.0;13841.12;13323.84;517.28;-1197.77;0.0
9.0;84.56;10177.64;10177.64;10177.64;2348.7;2348.7;2348.7;2687.01;0.0;27259.0;132.01;2173.75;2173.75;1479.55;0.0;11706.0;14416.8;13851.84;564.96;-2408.11;0.0
10.0;27.12;9124.52;10177.64;10177.64;0.0;2348.7;2348.7;7651.91;0.0;27259.0;0.0;2173.75;2173.75;1340.9;0.0;11706.0;14208.88;13644.48;564.4;-3908.46;0.0
11.0;23.26;5256.88;10177.64;10177.64;0.0;2348.7;2348.7;12142.05;0.0;27259.0;0.0;2173.75;2173.75;1229.16;0.0;11706.0;13724.08;13178.64;545.44;-4904.01;0.0
12.0;0.0;0.0;10177.64;10177.64;0.0;2348.7;2348.7;14784.56;0.0;27259.0;0.0;2173.75;2173.75;4539.28;0.0;11706.0;13323.84;12792.72;531.12;-6000.0;0.0
13.0;0.0;0.0;10177.64;10177.64;0.0;2348.7;2348.7;17536.27;0.0;27259.0;0.0;2173.75;2173.75;1384.98;0.0;11706.0;12921.25;12404.4;516.85;-6000.0;0.0
14.0;0.0;0.0;10177.64;10177.64;0.0;2348.7;2348.7;17048.94;0.0;27259.0;0.0;2173.75;2173.75;0.0;0.0;11706.0;12910.25;12393.84;516.41;-4138.69;0.0
15.0;0.0;0.0;10177.64;10177.64;0.0;2348.7;2348.7;16065.53;0.0;27259.0;0.0;2173.75;2173.75;0.0;0.0;11706.0;12775.25;12264.24;511.01;-3290.28;0.0
16.0;19.44;1441.09;10177.64;10177.64;0.0;2348.7;2348.7;15235.64;0.0;27259.0;0.0;2173.75;2173.75;1994.8;0.0;11706.0;12671.54;12167.04;504.5;-6000.0;0.0
17.0;21.6;3597.82;10177.64;10177.64;0.0;2348.7;2348.7;12904.71;0.0;27259.0;0.0;2173.75;2173.75;2216.21;0.0;11706.0;12718.75;12212.64;506.11;-6000.0;0.0
18.0;24.28;6282.34;10177.64;10177.64;0.0;2348.7;2348.7;9497.97;0.0;27259.0;0.0;2173.75;2173.75;2536.96;0.0;11706.0;13317.27;12787.68;529.59;-5000.0;0.0
19.0;27.04;9035.84;10177.64;10177.64;0.0;2348.7;2348.7;4775.5;0.0;27259.0;0.0;2173.75;2173.75;2983.92;0.0;11706.0;13672.55;13129.2;543.35;-3122.71;0.0
20.0;3570.83;10177.64;10177.64;10177.64;2348.7;2348.7;2348.7;1007.63;0.0;27259.0;2173.75;2173.75;2173.75;3339.84;0.0;11706.0;13717.53;13656.48;61.05;-5330.03;0.0
21.0;229.71;10177.64;10177.64;10177.64;2348.7;2348.7;2348.7;22.73;0.0;27259.0;1946.35;2173.75;2173.75;2123.72;0.0;11706.0;17866.05;17866.04;0.01;1246.91;1333.96
22.0;68.01;10177.64;10177.64;10177.64;1701.04;2348.7;2348.7;0.0;0.0;27259.0;0.0;2173.75;2173.75;729.63;0.0;11706.0;14267.79;13706.4;561.39;1659.48;0.0
23.0;45.76;10177.64;10177.64;10177.64;0.0;2348.7;2348.7;0.0;0.0;27259.0;0.0;2173.75;2173.75;2818.38;0.0;11706.0;13314.9;12788.16;526.74;318.88;0.0
24.0;41.89;10177.64;10177.64;10177.64;0.0;2348.7;2348.7;0.0;0.0;27259.0;0.0;2173.75;2173.75;2623.87;0.0;11706.0;12420.05;11928.24;491.81;-381.46;0.0
