Timestep;EOM_price;CM_price;TotalCapOffer;Gen_A_Baseload;new_Capacity_Gen_A_Baseload;Capacity_Gen_A_Baseload;Gen_A_MidMerit;new_Capacity_Gen_A_MidMerit;Capacity_Gen_A_MidMerit;Gen_A_PV;new_Capacity_Gen_A_PV;Capacity_Gen_A_PV;Gen_A_Peak;new_Capacity_Gen_A_Peak;Capacity_Gen_A_Peak;Gen_A_WindOnshore;new_Capacity_Gen_A_WindOnshore;Capacity_Gen_A_WindOnshore;Cons_A;Inelastic_Cons_A;Elastic_Cons_A;CapDemand_Cons_A;NetworkManager;CapacityManager;ENS_Cons_A
1.0;55.76;31290.27;43884.06;27755.81;27755.81;27755.81;1487.62;9532.23;9532.23;0.0;0.0;86952.0;0.0;6596.01;6596.01;22045.75;0.0;72618.0;45704.75;43901.04;1803.71;45048.31;-5584.43;1164.26;0.0
2.0;54.6;31290.27;43884.06;27755.81;27755.81;27755.81;1125.24;9532.23;9532.23;0.0;0.0;86952.0;0.0;6596.01;6596.01;20881.0;0.0;72618.0;44278.31;42530.4;1747.91;45048.31;-5483.74;1164.26;0.0
3.0;55.12;31290.27;43884.06;27755.81;27755.81;27755.81;1288.24;9532.23;9532.23;0.0;0.0;86952.0;0.0;6596.01;6596.01;20062.25;0.0;72618.0;43709.39;41984.16;1725.23;45048.31;-5396.91;1164.26;0.0
4.0;56.29;31290.27;43884.06;27755.81;27755.81;27755.81;1652.09;9532.23;9532.23;0.0;0.0;86952.0;0.0;6596.01;6596.01;19590.5;0.0;72618.0;44012.96;42276.24;1736.72;45048.31;-4985.44;1164.26;0.0
5.0;58.81;31290.27;43884.06;27755.81;27755.81;27755.81;2440.49;9532.23;9532.23;0.0;0.0;86952.0;0.0;6596.01;6596.01;19433.0;0.0;72618.0;45491.48;43697.52;1793.96;45048.31;-4137.82;1164.26;0.0
6.0;66.02;31290.27;43884.06;27755.81;27755.81;27755.81;4693.05;9532.23;9532.23;0.0;0.0;86952.0;0.0;6596.01;6596.01;19542.0;0.0;72618.0;49091.07;47158.56;1932.51;45048.31;-2899.79;1164.26;0.0
7.0;86.12;31290.27;43884.06;27755.81;27755.81;27755.81;9532.23;9532.23;9532.23;35.5;0.0;86952.0;1514.54;6596.01;6596.01;19970.75;0.0;72618.0;55926.55;53735.76;2190.79;45048.31;-2882.29;1164.26;0.0
8.0;128.75;31290.27;43884.06;27755.81;27755.81;27755.81;9532.23;9532.23;9532.23;2229.0;0.0;86952.0;6596.01;6596.01;6596.01;19768.75;0.0;72618.0;60286.11;57957.6;2328.51;45048.31;-5595.69;1164.26;0.0
9.0;102.99;31290.27;43884.06;27755.81;27755.81;27755.81;9532.23;9532.23;9532.23;9530.75;0.0;86952.0;3623.59;6596.01;6596.01;17855.0;0.0;72618.0;62888.66;60435.36;2453.3;45048.31;-5408.73;1164.26;0.0
10.0;65.38;31290.27;43884.06;27755.81;27755.81;27755.81;4492.46;9532.23;9532.23;19429.0;0.0;86952.0;0.0;6596.01;6596.01;14545.0;0.0;72618.0;63095.47;60611.28;2484.19;45048.31;-3126.8;1164.26;0.0
