Timestep;EOM_price;CM_price;TotalCapOffer;Gen_B_Baseload;new_Capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_MidMerit;new_Capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_PV;new_Capacity_Gen_B_PV;Capacity_Gen_B_PV;Gen_B_Peak;new_Capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_Capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;CapDemand_Cons_B;NetworkManager;CapacityManager;ENS_Cons_B
1.0;55.76;27831.72;7970.03;3220.05;4008.85;4008.85;86.26;1495.32;1495.32;0.0;0.0;10794.0;0.0;2465.86;2465.86;1651.2;0.0;5439.0;8206.42;7882.56;323.86;11076.17;3248.91;3106.14;0.0
2.0;54.6;27831.72;7970.03;3075.1;4008.85;4008.85;50.02;1495.32;1495.32;0.0;0.0;10794.0;0.0;2465.86;2465.86;1563.96;0.0;5439.0;7809.98;7501.68;308.3;11076.17;3120.9;3106.14;0.0
3.0;55.12;27831.72;7970.03;3140.3;4008.85;4008.85;66.32;1495.32;1495.32;0.0;0.0;10794.0;0.0;2465.86;2465.86;1502.64;0.0;5439.0;7638.54;7337.04;301.5;11076.17;2929.28;3106.14;0.0
4.0;56.29;27831.72;7970.03;3285.83;4008.85;4008.85;102.71;1495.32;1495.32;0.0;0.0;10794.0;0.0;2465.86;2465.86;1467.3;0.0;5439.0;7496.03;7200.24;295.79;11076.17;2640.18;3106.14;0.0
5.0;58.81;27831.72;7970.03;3601.2;4008.85;4008.85;181.55;1495.32;1495.32;0.0;0.0;10794.0;0.0;2465.86;2465.86;1455.51;0.0;5439.0;7569.8;7271.28;298.52;11076.17;2331.54;3106.14;0.0
6.0;66.02;27831.72;7970.03;4008.85;4008.85;4008.85;406.8;1495.32;1495.32;0.0;0.0;10794.0;0.0;2465.86;2465.86;1463.67;0.0;5439.0;7976.73;7662.72;314.01;11076.17;2097.4;3106.14;0.0
7.0;86.12;27831.72;7970.03;4008.85;4008.85;4008.85;1034.88;1495.32;1495.32;4.41;0.0;10794.0;126.45;2465.86;2465.86;1495.78;0.0;5439.0;8866.86;8519.52;347.34;11076.17;2196.48;3106.14;0.0
8.0;143.09;27831.72;7970.03;4008.85;4008.85;4008.85;1495.32;1495.32;1495.32;276.7;0.0;10794.0;838.6;2465.86;2465.86;1480.66;0.0;5439.0;9635.19;9263.04;372.15;11076.17;1535.06;3106.14;0.0
9.0;102.99;27831.72;7970.03;4008.85;4008.85;4008.85;1495.32;1495.32;1495.32;1183.12;0.0;10794.0;337.36;2465.86;2465.86;1337.32;0.0;5439.0;10217.47;9818.88;398.59;11076.17;1855.49;3106.14;0.0
10.0;65.38;27831.72;7970.03;4008.85;4008.85;4008.85;386.75;1495.32;1495.32;2411.87;0.0;10794.0;0.0;2465.86;2465.86;1089.4;0.0;5439.0;10309.01;9903.12;405.89;11076.17;2412.14;3106.14;0.0
