Timestep;EOM_price;CM_price;TotalCapOffer;Gen_C_Baseload;new_Capacity_Gen_C_Baseload;Capacity_Gen_C_Baseload;Gen_C_MidMerit;new_Capacity_Gen_C_MidMerit;Capacity_Gen_C_MidMerit;Gen_C_PV;new_Capacity_Gen_C_PV;Capacity_Gen_C_PV;Gen_C_Peak;new_Capacity_Gen_C_Peak;Capacity_Gen_C_Peak;Gen_C_WindOnshore;new_Capacity_Gen_C_WindOnshore;Capacity_Gen_C_WindOnshore;Cons_C;Inelastic_Cons_C;Elastic_Cons_C;CapDemand_Cons_C;NetworkManager;CapacityManager;ENS_Cons_C
1.0;55.76;29726.18;18975.2;2970.05;4882.34;4882.34;23.76;2349.76;2349.76;0.0;0.0;27259.0;0.0;11743.1;11743.1;6136.02;0.0;11706.0;11465.35;11012.88;452.47;14704.81;2335.52;-4270.39;0.0
2.0;54.6;29726.18;18975.2;2825.1;4882.34;4882.34;0.0;2349.76;2349.76;0.0;0.0;27259.0;0.0;11743.1;11743.1;5793.81;0.0;11706.0;10981.75;10548.24;433.51;14704.81;2362.84;-4270.39;0.0
3.0;55.12;29726.18;18975.2;2890.3;4882.34;4882.34;3.82;2349.76;2349.76;0.0;0.0;27259.0;0.0;11743.1;11743.1;5275.13;0.0;11706.0;10636.88;10217.04;419.84;14704.81;2467.64;-4270.39;0.0
4.0;56.29;29726.18;18975.2;3035.83;4882.34;4882.34;40.21;2349.76;2349.76;0.0;0.0;27259.0;0.0;11743.1;11743.1;5118.01;0.0;11706.0;10539.31;10123.44;415.87;14704.81;2345.26;-4270.39;0.0
5.0;58.81;29726.18;18975.2;3351.2;4882.34;4882.34;119.05;2349.76;2349.76;0.0;0.0;27259.0;0.0;11743.1;11743.1;5361.21;0.0;11706.0;10637.74;10218.24;419.5;14704.81;1806.28;-4270.39;0.0
6.0;66.02;29726.18;18975.2;4252.22;4882.34;4882.34;344.3;2349.76;2349.76;0.0;0.0;27259.0;0.0;11743.1;11743.1;5634.55;0.0;11706.0;11033.46;10599.12;434.34;14704.81;802.39;-4270.39;0.0
7.0;86.12;29726.18;18975.2;4882.34;4882.34;4882.34;972.38;2349.76;2349.76;0.0;0.0;27259.0;101.45;11743.1;11743.1;5783.05;0.0;11706.0;12425.04;11938.32;486.72;14704.81;685.81;-4270.39;0.0
8.0;143.09;29726.18;18975.2;4882.34;4882.34;4882.34;2349.76;2349.76;2349.76;229.81;0.0;27259.0;813.6;11743.1;11743.1;1523.0;0.0;11706.0;13859.14;13323.84;535.3;14704.81;4060.63;-4270.39;0.0
9.0;102.99;29726.18;18975.2;4882.34;4882.34;4882.34;1499.65;2349.76;2349.76;2687.01;0.0;27259.0;312.36;11743.1;11743.1;1479.55;0.0;11706.0;14414.14;13851.84;562.3;14704.81;3553.23;-4270.39;0.0
10.0;65.38;29726.18;18975.2;4171.98;4882.34;4882.34;324.25;2349.76;2349.76;7651.91;0.0;27259.0;0.0;11743.1;11743.1;1340.9;0.0;11706.0;14203.71;13644.48;559.23;14704.81;714.66;-4270.39;0.0
11.0;45.77;29726.18;18975.2;1721.8;4882.34;4882.34;0.0;2349.76;2349.76;12142.05;0.0;27259.0;0.0;11743.1;11743.1;1229.16;0.0;11706.0;13721.47;13178.64;542.83;14704.81;-1371.54;-4270.39;0.0
12.0;0.0;29726.18;18975.2;0.0;4882.34;4882.34;0.0;2349.76;2349.76;15566.47;0.0;27259.0;0.0;11743.1;11743.1;3759.28;0.0;11706.0;13325.75;12792.72;533.03;14704.81;-6000.0;-4270.39;0.0
13.0;0.0;29726.18;18975.2;0.0;4882.34;4882.34;0.0;2349.76;2349.76;17536.27;0.0;27259.0;0.0;11743.1;11743.1;1384.98;0.0;11706.0;12921.25;12404.4;516.85;14704.81;-6000.0;-4270.39;0.0
14.0;0.0;29726.18;18975.2;0.0;4882.34;4882.34;0.0;2349.76;2349.76;17188.14;0.0;27259.0;0.0;11743.1;11743.1;0.0;0.0;11706.0;12910.25;12393.84;516.41;14704.81;-4277.89;-4270.39;0.0
15.0;0.0;29726.18;18975.2;0.0;4882.34;4882.34;0.0;2349.76;2349.76;16211.43;0.0;27259.0;0.0;11743.1;11743.1;0.0;0.0;11706.0;12775.25;12264.24;511.01;14704.81;-3436.18;-4270.39;0.0
16.0;32.76;29726.18;18975.2;94.41;4882.34;4882.34;0.0;2349.76;2349.76;15235.64;0.0;27259.0;0.0;11743.1;11743.1;1994.8;0.0;11706.0;12669.85;12167.04;502.81;14704.81;-4655.0;-4270.39;0.0
17.0;32.05;29726.18;18975.2;6.36;4882.34;4882.34;0.0;2349.76;2349.76;12904.71;0.0;27259.0;0.0;11743.1;11743.1;2216.21;0.0;11706.0;12717.42;12212.64;504.78;14704.81;-2409.87;-4270.39;0.0
18.0;42.01;29726.18;18975.2;1251.15;4882.34;4882.34;0.0;2349.76;2349.76;9497.97;0.0;27259.0;0.0;11743.1;11743.1;2536.96;0.0;11706.0;13314.9;12787.68;527.22;14704.81;28.82;-4270.39;0.0
19.0;308.24;29726.18;18975.2;4882.34;4882.34;4882.34;2349.76;2349.76;2349.76;4775.5;0.0;27259.0;2878.06;11743.1;11743.1;2983.92;0.0;11706.0;13634.09;13129.2;504.89;14704.81;-4235.49;-4270.39;0.0
20.0;761.01;29726.18;18975.2;4882.34;4882.34;4882.34;2349.76;2349.76;2349.76;1007.63;0.0;27259.0;8537.67;11743.1;11743.1;3339.84;0.0;11706.0;14117.24;13656.48;460.76;14704.81;-6000.0;-4270.39;0.0
21.0;999.26;29726.18;18975.2;4882.34;4882.34;4882.34;2349.76;2349.76;2349.76;22.73;0.0;27259.0;11515.7;11743.1;11743.1;2123.72;0.0;11706.0;19733.88;19200.0;533.88;14704.81;-1160.37;-4270.39;0.0
22.0;181.19;29726.18;18975.2;4882.34;4882.34;4882.34;2349.76;2349.76;2349.76;0.0;0.0;27259.0;1289.89;11743.1;11743.1;729.63;0.0;11706.0;14251.63;13706.4;545.23;14704.81;5000.0;-4270.39;0.0
23.0;89.96;29726.18;18975.2;4882.34;4882.34;4882.34;1092.56;2349.76;2349.76;0.0;0.0;27259.0;149.52;11743.1;11743.1;2818.38;0.0;11706.0;13309.02;12788.16;520.86;14704.81;4366.22;-4270.39;0.0
24.0;77.95;29726.18;18975.2;4882.34;4882.34;4882.34;717.07;2349.76;2349.76;0.0;0.0;27259.0;0.0;11743.1;11743.1;2623.87;0.0;11706.0;12415.56;11928.24;487.32;14704.81;4192.28;-4270.39;0.0
