Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_A_MidMerit;new_capacity_Gen_A_MidMerit;Capacity_Gen_A_MidMerit;Gen_A_Baseload;new_capacity_Gen_A_Baseload;Capacity_Gen_A_Baseload;Gen_A_Peak;new_capacity_Gen_A_Peak;Capacity_Gen_A_Peak;Gen_A_WindOnshore;new_capacity_Gen_A_WindOnshore;Capacity_Gen_A_WindOnshore;Gen_A_PV;new_capacity_Gen_A_PV;Capacity_Gen_A_PV;Cons_A;Inelastic_Cons_A;Elastic_Cons_A;ENS_Cons_A;CapDemand_Cons_A;NetworkManager;CapacityManager
1;55.165914568642556;77116.55044181315;59712.044074576654;60936.755000000005;59712.044074576654;1306.2452316749007;9673.758221346528;9673.758221346528;28353.029776217016;28353.029776216783;28353.029776216783;0.0;21685.256077013095;21685.256077013095;22045.749980981996;0.0;72618.0;0.0;0.0;86952.0;-45705.02247250181;-43901.04;-1803.9824725018127;0.0;60936.755000000005;-5999.999999999965;1224.7270432872901
2;54.32802240466644;77116.55044181315;59712.044074576654;60936.755000000005;59712.044074576654;1044.4040188938584;9673.758221346528;9673.758221346528;28353.029776217005;28353.029776216783;28353.029776216783;0.0;21685.256077013095;21685.256077013095;20881.000032984;0.0;72618.0;0.0;0.0;86952.0;-44278.43131167394;-42530.4;-1748.0313116739403;0.0;60936.755000000005;-5999.99999999996;1224.7270432872901
3;55.12709326280869;77116.55044181315;59712.044074576654;60936.755000000005;59712.044074576654;1294.1136973180335;9673.758221346528;9673.758221346528;28353.029776217143;28353.029776216783;28353.029776216783;0.0;21685.256077013095;21685.256077013095;20062.25001963;0.0;72618.0;0.0;0.0;86952.0;-43709.39097672485;-41984.159999999996;-1725.23097672485;0.0;60936.755000000005;-5999.999999999946;1224.7270432872901
4;57.60626291331477;77116.55044181315;59712.044074576654;60936.755000000005;59712.044074576654;2068.8541848503132;9673.758221346528;9673.758221346528;28353.029776217147;28353.029776216783;28353.029776216783;0.0;21685.256077013095;21685.256077013095;19590.500036016;0.0;72618.0;0.0;0.0;86952.0;-44012.381481868964;-42276.24;-1736.1414818689689;0.0;60936.755000000005;-5999.999998448425;1224.7270432872901
5;60.54770885311625;77116.55044181315;59712.044074576654;60936.755000000005;59712.044074576654;2979.830096882144;9673.758221346528;9673.758221346528;28353.029776217238;28353.029776216783;28353.029776216783;0.0;21685.256077013095;21685.256077013095;19433.000017704;0.0;72618.0;0.0;0.0;86952.0;-45490.68976130395;-43697.52;-1793.169761303954;0.0;60936.755000000005;-5275.1729443376835;1224.7270432872901
6;67.38497540079494;77116.55044181315;59712.044074576654;60936.755000000005;59712.044074576654;5120.809555213839;9673.758221346528;9673.758221346528;28353.02977621724;28353.029776216783;28353.029776216783;0.0;21685.256077013095;21685.256077013095;19541.999998794;0.0;72618.0;0.0;0.0;86952.0;-49090.39814208809;-47158.56;-1931.8381420880896;0.0;60936.755000000005;-3925.4412497947924;1224.7270432872901
7;89.946037991052;77116.55044181315;59712.044074576654;60936.755000000005;59712.044074576654;9673.758221346588;9673.758221346528;9673.758221346528;28353.02977621724;28353.029776216783;28353.029776216783;1993.423956897617;21685.256077013095;21685.256077013095;19970.750032506003;0.0;72618.0;35.499979992;0.0;86952.0;-55924.402920876004;-53735.759999999995;-2188.642920876007;0.0;60936.755000000005;-4102.05797949801;1224.7270432872901
8;124.18089234035263;77116.55044181315;59712.044074576654;60936.755000000005;59712.044074576654;9673.758221346588;9673.758221346528;9673.758221346528;28353.029776217245;28353.029776216783;28353.029776216783;6272.993281626722;21685.256077013095;21685.256077013095;19768.749994266;0.0;72618.0;2228.999999016;0.0;86952.0;-60297.528867840556;-57957.6;-2339.92886784056;0.0;60936.755000000005;-6000.000000000002;1224.7270432872901
9;101.81190826168704;77116.55044181315;59712.044074576654;60936.755000000005;59712.044074576654;9673.758221346588;9673.758221346528;9673.758221346528;28353.029776217245;28353.029776216783;28353.029776216783;3476.870210395106;21685.256077013095;21685.256077013095;17854.999985004;0.0;72618.0;9530.7500274;0.0;86952.0;-62889.40581611747;-60435.36;-2454.045816117467;0.0;60936.755000000005;-5999.999999999991;1224.7270432872901
10;72.63030542597159;77116.55044181315;59712.044074576654;60936.755000000005;59712.044074576654;6763.8662961933005;9673.758221346528;9673.758221346528;28353.02977621724;28353.029776216783;28353.029776216783;0.0;21685.256077013095;21685.256077013095;14545.000016274;0.0;72618.0;19428.999987288;0.0;86952.0;-63090.893560205026;-60611.28;-2479.613560205031;0.0;60936.755000000005;-5999.999999999982;1224.7270432872901
11;48.71889589222117;77116.55044181315;59712.044074576654;60936.755000000005;59712.044074576654;0.0;9673.758221346528;9673.758221346528;25898.619865277487;28353.029776216783;28353.029776216783;0.0;21685.256077013095;21685.256077013095;13913.999993165999;0.0;72618.0;28515.000012456;0.0;86952.0;-62327.61987089953;-59863.68;-2463.939870899526;0.0;60936.755000000005;-5999.999999999967;1224.7270432872901
12;40.18139805535273;77116.55044181315;59712.044074576654;60936.755000000005;59712.044074576654;0.0;9673.758221346528;9673.758221346528;15226.218010147488;28353.029776216783;28353.029776216783;0.0;21685.256077013095;21685.256077013095;14956.249983402;0.0;72618.0;35306.249979528;0.0;86952.0;-60158.567729026785;-57775.439999999995;-2383.127729026788;0.0;60936.755000000005;-5330.150177032785;1224.7270432872901
13;34.36806894183535;77116.55044181315;59712.044074576654;60936.755000000005;59712.044074576654;0.0;9673.758221346528;9673.758221346528;7959.856325329842;28353.029776216783;28353.029776216783;0.0;21685.256077013095;21685.256077013095;16080.750025158;0.0;72618.0;39113.000018232;0.0;86952.0;-57890.097451007285;-55593.6;-2296.4974510072884;0.0;60936.755000000005;-5263.508887924608;1224.7270432872901
14;32.01835835728642;77116.55044181315;59712.044074576654;60936.755000000005;59712.044074576654;0.0;9673.758221346528;9673.758221346528;5022.792998425863;28353.029776216783;28353.029776216783;0.0;21685.256077013095;21685.256077013095;17593.500025374;0.0;72618.0;39785.749989936;0.0;86952.0;-56940.01290322375;-54679.92;-2260.092903223753;0.0;60936.755000000005;-5462.030090431315;1224.7270432872901
15;30.95437421917173;77116.55044181315;59712.044074576654;60936.755000000005;59712.044074576654;0.0;9673.758221346528;9673.758221346528;3692.7572001106078;28353.029776216783;28353.029776216783;0.0;21685.256077013095;21685.256077013095;19664.500029174;0.0;72618.0;37818.249957431995;0.0;86952.0;-55600.2839506851;-53392.799999999996;-2207.483950685106;0.0;60936.755000000005;-5575.223208741576;1224.7270432872901
16;38.34915547398197;77116.55044181315;59712.044074576654;60936.755000000005;59712.044074576654;0.0;9673.758221346528;9673.758221346528;12885.434511328094;28353.029776216783;28353.029776216783;0.0;21685.256077013095;21685.256077013095;14724.700010748;0.0;72618.0;33166.75002192;0.0;86952.0;-54815.97045279604;-52643.52;-2172.4504527960453;0.0;60936.755000000005;-5960.91163056246;1224.7270432872901
17;35.932869251250324;77116.55044181315;59712.044074576654;60936.755000000005;59712.044074576654;0.0;9673.758221346528;9673.758221346528;9916.0865640639;28353.029776216783;28353.029776216783;0.0;21685.256077013095;21685.256077013095;24635.000033279997;0.0;72618.0;26151.75003828;0.0;86952.0;-54702.83663562394;-52533.6;-2169.2366356239468;0.0;60936.755000000005;-5999.999999999947;1224.7270432872901
18;43.801995811685956;77116.55044181315;59712.044074576654;60936.755000000005;59712.044074576654;0.0;9673.758221346528;9673.758221346528;19752.49476460804;28353.029776216783;28353.029776216783;0.0;21685.256077013095;21685.256077013095;26239.749995550002;0.0;72618.0;16499.249994383998;0.0;86952.0;-56491.494754542065;-54255.6;-2235.894754542068;0.0;60936.755000000005;-5999.999999999969;1224.7270432872901
