Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_B_MidMerit;new_capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_Baseload;new_capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_Peak;new_capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Gen_B_PV;new_capacity_Gen_B_PV;Capacity_Gen_B_PV;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;ENS_Cons_B;CapDemand_Cons_B;NetworkManager;CapacityManager
1;87.035696947533;69999.98668605377;14002.612358806342;13593.37;14002.612358806342;1001.0527345844025;1430.1657820349442;1430.1657820349442;6847.947786721675;6847.947786721758;6847.947786721758;0.0;5724.4987900653;5724.4987900653;424.55263299999996;0.0;5315.0;0.0;0.0;8788.0;-8108.239303566095;-7790.6903999999995;-317.5489035660958;0.0;13593.37;-165.31720314261327;-409.3015171040006
2;74.45217427401238;69999.98668605377;14002.612358806342;13593.37;14002.612358806342;607.8289829782117;1430.1657820349442;1430.1657820349442;6805.191789003842;6847.947786721758;6847.947786721758;0.0;5724.4987900653;5724.4987900653;590.04391712;0.0;5315.0;0.0;0.0;8788.0;-7743.2931651859435;-7439.099999999999;-304.19316518594394;0.0;13593.37;-259.77427772972055;-409.3015171040006
3;72.08461811660716;69999.98668605377;14002.612358806342;13593.37;14002.612358806342;533.8663097435938;1430.1657820349442;1430.1657820349442;6509.865412887536;6847.947786721758;6847.947786721758;0.0;5724.4987900653;5724.4987900653;805.7575504199999;0.0;5315.0;0.0;0.0;8788.0;-7397.133963342802;-7106.3712;-290.7627633428032;0.0;13593.37;-452.3568121761821;-409.3015171040006
4;70.49851524392938;69999.98668605377;14002.612358806342;13593.37;14002.612358806342;484.31381981973175;1430.1657820349442;1430.1657820349442;6311.913858713331;6847.947786721758;6847.947786721758;0.0;5724.4987900653;5724.4987900653;1017.8963785;0.0;5315.0;0.0;0.0;8788.0;-7266.488622247917;-6980.7504;-285.7382222479171;0.0;13593.37;-547.6362198001117;-409.3015171040006
5;70.19144488058897;69999.98668605377;14002.612358806342;13593.37;14002.612358806342;474.7130494782634;1430.1657820349442;1430.1657820349442;6273.392367173827;6847.947786721758;6847.947786721758;0.0;5724.4987900653;5724.4987900653;1277.357707705;0.0;5315.0;0.0;0.0;8788.0;-7241.738352591614;-6956.951999999999;-284.7863525916142;0.0;13593.37;-783.7258105764208;-409.3015171040006
6;72.12617920903214;69999.98668605377;14002.612358806342;13593.37;14002.612358806342;535.1640233143536;1430.1657820349442;1430.1657820349442;6514.9879489363575;6847.947786721758;6847.947786721758;0.0;5724.4987900653;5724.4987900653;1485.4467449600002;0.0;5315.0;0.0;0.0;8788.0;-7465.46906171353;-7172.0232;-293.44586171353023;0.0;13593.37;-1070.131200822419;-409.3015171040006
7;86.97111483283918;69999.98668605377;14002.612358806342;13593.37;14002.612358806342;999.0345172526695;1430.1657820349442;1430.1657820349442;6847.947786721607;6847.947786721758;6847.947786721758;0.0;5724.4987900653;5724.4987900653;1671.11196198;0.0;5315.0;0.0;0.0;8788.0;-7850.7262056869995;-7543.2576;-307.4686056869999;0.0;13593.37;-1667.3714140632937;-409.3015171040006
8;117.74367719042765;69999.98668605377;14002.612358806342;13593.37;14002.612358806342;1430.1657820404573;1430.1657820349442;1430.1657820349442;6847.947786721607;6847.947786721758;6847.947786721758;346.78450215201855;5724.4987900653;5724.4987900653;1879.6509777649999;0.0;5315.0;0.5422195999999999;0.0;8788.0;-8129.421851083838;-7813.4448;-315.9770510838379;0.0;13593.37;-2375.673055115123;-409.3015171040006
9;138.9148684680824;69999.98668605377;14002.612358806342;13593.37;14002.612358806342;1430.1657820404544;1430.1657820349442;1430.1657820349442;6847.9477867216065;6847.947786721758;6847.947786721758;611.424391575299;5724.4987900653;5724.4987900653;1953.072111385;0.0;5315.0;284.89188858;0.0;8788.0;-8392.407995205209;-8067.9192;-324.48879520520825;0.0;13593.37;-2735.0976035094445;-409.3015171040006
10;104.00801028177253;69999.98668605377;14002.612358806342;13593.37;14002.612358806342;1430.1657820399093;1430.1657820349442;1430.1657820349442;6847.947786721607;6847.947786721758;6847.947786721758;175.08866538477116;5724.4987900653;5724.4987900653;1952.122161435;0.0;5315.0;1192.60779196;0.0;8788.0;-8998.633472322053;-8647.6824;-350.9510723220546;0.0;13593.37;-2599.3023532703974;-409.3015171040006
