Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_C_MidMerit;new_capacity_Gen_C_MidMerit;Capacity_Gen_C_MidMerit;Gen_C_Baseload;new_capacity_Gen_C_Baseload;Capacity_Gen_C_Baseload;Gen_C_Peak;new_capacity_Gen_C_Peak;Capacity_Gen_C_Peak;Gen_C_WindOnshore;new_capacity_Gen_C_WindOnshore;Capacity_Gen_C_WindOnshore;Gen_C_PV;new_capacity_Gen_C_PV;Capacity_Gen_C_PV;Cons_C;Inelastic_Cons_C;Elastic_Cons_C;ENS_Cons_C;CapDemand_Cons_C;NetworkManager;CapacityManager
1;87.05141643414912;69999.99680801548;16376.74077133774;17774.16;16376.74077133774;1001.614050876126;1430.764784120057;1430.764784120057;6851.740743943077;6851.740743942915;6851.740743942915;0.0;8094.235243259985;8094.235243259985;748.4615387;0.0;8300.0;0.0;0.0;18662.0;-8774.526147699984;-8430.884307839999;-343.6418398599853;0.0;17774.16;172.71024494813145;1397.414898865467
2;74.46825871729929;69999.99680801548;16376.74077133774;17774.16;16376.74077133774;608.4045471718293;1430.764784120057;1430.764784120057;6808.994660251795;6851.740743942915;6851.740743942915;0.0;8094.235243259985;8094.235243259985;916.5384643;0.0;8300.0;0.0;0.0;18662.0;-8485.337940477586;-8151.99507648;-333.3428639975864;0.0;17774.16;151.40144686026082;1397.414898865467
3;72.0945835444353;69999.99680801548;16376.74077133774;17774.16;16376.74077133774;534.2229119149376;1430.764784120057;1430.764784120057;6512.221565082942;6851.740743942915;6851.740743942915;0.0;8094.235243259985;8094.235243259985;1173.8461501000002;0.0;8300.0;0.0;0.0;18662.0;-8294.492724831935;-7968.45784608;-326.034878751934;0.0;17774.16;74.20303137505653;1397.414898865467
4;70.50125298976373;69999.99680801548;16376.74077133774;17774.16;16376.74077133774;484.41178729141075;1430.764784120057;1430.764784120057;6312.561158820576;6851.740743942915;6851.740743942915;0.0;8094.235243259985;8094.235243259985;1503.8461572;0.0;8300.0;0.0;0.0;18662.0;-8194.578259194965;-7872.345230399999;-322.2330287949661;0.0;17774.16;-106.24095986576593;1397.414898865467
5;70.19436002453213;69999.99680801548;16376.74077133774;17774.16;16376.74077133774;474.817365061066;1430.764784120057;1430.764784120057;6274.081615369281;6851.740743942915;6851.740743942915;0.0;8094.235243259985;8094.235243259985;1802.5000025;0.0;8300.0;0.0;0.0;18662.0;-8362.906358263986;-8034.029538240001;-328.87682002398645;0.0;17774.16;-188.49295083997555;1397.414898865467
6;72.1319155584257;69999.99680801548;16376.74077133774;17774.16;16376.74077133774;535.3692926347111;1430.764784120057;1430.764784120057;6516.344219829539;6851.740743942915;6851.740743942915;0.0;8094.235243259985;8094.235243259985;2037.3076914;0.0;8300.0;0.0;0.0;18662.0;-8880.893264126875;-8531.811692160001;-349.08157196687296;0.0;17774.16;-208.1280827686303;1397.414898865467
7;86.98683422051691;69999.99680801548;16376.74077133774;17774.16;16376.74077133774;999.595829284934;1430.764784120057;1430.764784120057;6851.740743942943;6851.740743942915;6851.740743942915;0.0;8094.235243259985;8094.235243259985;2269.6153871;0.0;8300.0;0.0;0.0;18662.0;-9790.59336393404;-9407.152615680001;-383.44074825403845;0.0;17774.16;-330.3581670697978;1397.414898865467
8;117.76030713023512;69999.99680801548;16376.74077133774;17774.16;16376.74077133774;1430.7647841241387;1430.764784120057;1430.764784120057;6851.740743942943;6851.740743942915;6851.740743942915;347.0049110241851;8094.235243259985;8094.235243259985;2469.4230798999997;0.0;8300.0;0.0;0.0;18662.0;-11276.493568386903;-10838.1969216;-438.29664678690204;0.0;17774.16;177.5604045386376;1397.414898865467
9;138.93149860556562;69999.99680801548;16376.74077133774;17774.16;16376.74077133774;1430.7647841241362;1430.764784120057;1430.764784120057;6851.740743942942;6851.740743942915;6851.740743942915;611.6448030501342;8094.235243259985;8094.235243259985;2599.8076886;0.0;8300.0;76.921815404;0.0;18662.0;-12061.949606134907;-11595.5815392;-466.3680669349063;0.0;17774.16;491.0701257077831;1397.414898865467
10;104.02464076840843;69999.99680801548;16376.74077133774;17774.16;16376.74077133774;1430.764784123569;1430.764784120057;1430.764784120057;6851.740743942943;6851.740743942915;6851.740743942915;175.3090815208317;8094.235243259985;8094.235243259985;2720.5769216;0.0;8300.0;682.104143322;0.0;18662.0;-11984.049501777989;-11516.667696;-467.3818057779872;0.0;17774.16;123.55418241956018;1397.414898865467
11;80.16654248131499;69999.99680801548;16376.74077133774;17774.16;16376.74077133774;786.4617056893522;1430.764784120057;1430.764784120057;6851.740743942872;6851.740743942915;6851.740743942915;0.0;8094.235243259985;8094.235243259985;2856.1538443;0.0;8300.0;1591.7045236959998;0.0;18662.0;-11542.41441902198;-11089.607999999998;-452.8064190219819;0.0;17774.16;-543.6459696312522;1397.414898865467
12;417.91249368144935;69999.99680801548;16376.74077133774;17774.16;16376.74077133774;1430.7647841358844;1430.764784120057;1430.764784120057;6851.740743942932;6851.740743942915;6851.740743942915;4098.907233888671;8094.235243259985;8094.235243259985;830.083;0.0;8300.0;1882.46897174;0.0;18662.0;-13941.502206553132;-13440.0096;-501.4926065531337;0.0;17774.16;-1152.4621748548466;1397.414898865467
13;70.1829602350768;69999.99680801548;16376.74077133774;17774.16;16376.74077133774;474.4467260397002;1430.764784120057;1430.764784120057;6272.139821983058;6851.740743942915;6851.740743942915;0.0;8094.235243259985;8094.235243259985;3217.6923076000003;0.0;8300.0;2082.273357486;0.0;18662.0;-11353.652999919479;-10907.1618432;-446.4911567194796;0.0;17774.16;-692.9002631751699;1397.414898865467
14;70.3040348725291;69999.99680801548;16376.74077133774;17774.16;16376.74077133774;478.2402413041129;1430.764784120057;1430.764784120057;6287.521120644647;6851.740743942915;6851.740743942915;0.0;8094.235243259985;8094.235243259985;3400.1923092;0.0;8300.0;1853.2386811400002;0.0;18662.0;-11490.667836417966;-11038.8018432;-451.86599321796564;0.0;17774.16;-528.5250312202426;1397.414898865467
15;72.44850076538364;69999.99680801548;16376.74077133774;17774.16;16376.74077133774;545.2759776761781;1430.764784120057;1430.764784120057;6556.136396679148;6851.740743942915;6851.740743942915;0.0;8094.235243259985;8094.235243259985;3565.961536;0.0;8300.0;1297.8632157260001;0.0;18662.0;-11730.420321139849;-11269.367999999999;-461.0523211398506;0.0;17774.16;-234.81619021772912;1397.414898865467
16;80.2167973315822;69999.99680801548;16376.74077133774;17774.16;16376.74077133774;788.0321711195176;1430.764784120057;1430.764784120057;6851.740743942899;6851.740743942915;6851.740743942915;0.0;8094.235243259985;8094.235243259985;3709.2307659;0.0;8300.0;1020.944702666;0.0;18662.0;-12035.214902848002;-11563.0818432;-472.1330596480017;0.0;17774.16;-334.73305173803914;1397.414898865467
17;102.3539844261094;69999.99680801548;16376.74077133774;17774.16;16376.74077133774;1430.7647839702408;1430.764784120057;1430.764784120057;6851.740743942958;6851.740743942915;6851.740743942915;154.4258788280322;8094.235243259985;8094.235243259985;3789.0384614;0.0;8300.0;523.645213294;0.0;18662.0;-12652.18479399616;-12158.5421568;-493.642637196161;0.0;17774.16;-97.42993178832837;1397.414898865467
18;548.0362271447493;69999.99680801548;16376.74077133774;17774.16;16376.74077133774;1430.7647841244482;1430.764784120057;1430.764784120057;6851.740743942955;6851.740743942915;6851.740743942915;5725.454565741088;8094.235243259985;8094.235243259985;830.083;0.0;8300.0;0.0;0.0;18662.0;-17901.363394317967;-17280.009599999998;-621.3537943179692;0.0;17774.16;3063.322772719147;1397.414898865467
19;548.0365087552292;69999.99680801548;16376.74077133774;17774.16;16376.74077133774;1430.764784134457;1430.764784120057;1430.764784120057;6851.740743943113;6851.740743942915;6851.740743942915;5725.458104219628;8094.235243259985;8094.235243259985;830.083;0.0;8300.0;0.0;0.0;18662.0;-14420.544627230953;-13920.0096;-500.535027230953;0.0;17774.16;-417.4995180125387;1397.414898865467
20;128.26712638006373;69999.99680801548;16376.74077133774;17774.16;16376.74077133774;1430.7647841341159;1430.764784120057;1430.764784120057;6851.740743943116;6851.740743942915;6851.740743942915;478.34015550404854;8094.235243259985;8094.235243259985;3702.8846191;0.0;8300.0;0.0;0.0;18662.0;-12530.115027633808;-12044.359382399998;-485.75564523380973;0.0;17774.16;66.38508131890322;1397.414898865467
