Timestep;Price;G_MidMerit;G_Baseload;G_Peak;G_WindOnshore;G_TypeC;G_TypeA;G_TypeB;Demand
1.0;89.51801551988085;1547.4379850004887;5000.0;0.0;2021.708515;-80.04175;-29.02125;-160.0835;-8300.0
2.0;89.14995199987733;1535.9360000005022;5000.0;0.0;1987.8325750000001;-98.81175;-17.333325000000002;-197.6235;-8210.0
3.0;79.05958431975753;1220.6120100009998;5000.0;0.0;1943.6796649999999;-41.0;-21.291675;-82.0;-8020.0
4.0;75.7984315197136;1118.700985001184;5000.0;0.0;1901.0492649999999;-26.041749999999997;-27.625;-52.083499999999994;-7914.0
5.0;72.82251679968509;1025.7036500013076;5000.0;0.0;1930.4210999999998;-32.45825;-15.75;-64.9165;-7843.0
6.0;67.52580351981804;860.181360000774;5000.0;0.0;1931.943615;-19.083325;-22.875;-38.16665;-7712.0
7.0;66.27974360792996;821.2419877503196;5000.0;0.0;1957.0651;-19.1063425;-87.96940275;-44.2313425;-7627.0
8.0;57.41600237789101;544.250074241917;5000.0;0.0;1994.0495050000002;-14.164697499999999;-24.51193425;-46.622947499999995;-7453.0
9.0;47.221927488253804;225.6852345742261;5000.0;0.0;1987.7057;61.75940999999999;-13.576429500000003;38.426084999999986;-7300.0
10.0;38.34678753745046;0.0;4793.31995294413;0.0;1954.46414;241.42348499999997;5.7437955000000045;204.04848499999997;-7199.0
11.0;33.46988719206924;0.0;4183.735807597028;0.0;1864.5723650000002;519.8514575;113.44716224999999;481.3932075000001;-7163.0
12.0;33.04971811961178;0.0;4131.214681631363;0.0;1772.523695;676.5304775000001;-78.11008174999998;581.8412275000001;-7084.0
13.0;31.701800977131622;0.0;3962.7250892261504;0.0;1727.926715;763.3220525;-82.09265924999994;644.1188025000001;-7016.0
14.0;32.57561327390977;0.0;4071.951593170707;0.0;1709.78342;667.6647224999999;75.18179175;502.41847249999995;-7027.0
15.0;36.02553860559343;0.0;4503.194405801854;0.0;1697.666745;442.08344749999986;117.46170925;253.59369749999985;-7014.0
16.0;40.342243246398695;9.817404150066016;5000.0;0.0;1692.27451;204.38813000000002;3.366139000000004;66.06913000000003;-6976.0
17.0;85.60492534384032;1425.153917000655;5000.0;0.0;1709.022165;-337.80584;-44.642402000000004;-793.7278399999999;-6958.0
18.0;56.571555232969736;517.8611009955326;5000.0;0.0;1803.4180450000001;-74.36376999999999;-104.214856;-186.70051999999998;-6956.0
19.0;90.65079642389024;1582.837388250448;5000.0;0.0;1873.70745;-410.3857775;-241.64678325;-830.5122775000001;-6974.0
20.0;66.07223807995416;814.7574400002195;5000.0;0.0;1878.7190600000001;-207.3775;-105.344;-414.755;-6966.0
21.0;66.41689535991563;825.5279800003774;5000.0;0.0;1935.11552;-202.6115;-145.809;-405.223;-7007.0
22.0;63.44748480042469;732.7338999982961;5000.0;0.0;1930.4210999999998;-177.85925;-138.57725;-355.7185;-6991.0
23.0;70.41718911969865;950.5371600012559;5000.0;0.0;1949.38909;-254.61075;-102.09400000000001;-509.2215;-7034.0
24.0;66.20373887993821;818.8668400002854;5000.0;0.0;1936.76491;-176.894;-118.94975;-353.788;-7106.0
