Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_A_MidMerit;new_capacity_Gen_A_MidMerit;Capacity_Gen_A_MidMerit;Gen_A_Baseload;new_capacity_Gen_A_Baseload;Capacity_Gen_A_Baseload;Gen_A_Peak;new_capacity_Gen_A_Peak;Capacity_Gen_A_Peak;Gen_A_WindOnshore;new_capacity_Gen_A_WindOnshore;Capacity_Gen_A_WindOnshore;Gen_A_PV;new_capacity_Gen_A_PV;Capacity_Gen_A_PV;Cons_A;Inelastic_Cons_A;Elastic_Cons_A;ENS_Cons_A;CapDemand_Cons_A;NetworkManager;CapacityManager
1;86.68478428466331;59776.60437151459;16869.96884407591;16870.0;16869.96884407591;990.2019618448348;1287.8496614098024;1287.8496614098024;6603.390010306421;6603.390010306479;6603.390010306479;0.0;8978.729172359797;8978.729172359797;886.0567338000001;0.0;13700.0;0.0;0.0;15403.0;-8734.99450662743;-8392.87008;-342.1244266274292;0.0;16870.0;255.34865633402583;0.0
2;75.21440464482863;59776.60437151459;16869.96884407591;16870.0;16869.96884407591;631.7454638533471;1287.8496614098024;1287.8496614098024;6603.390010303387;6603.390010306479;6603.390010306479;0.0;8978.729172359797;8978.729172359797;1010.8928189000001;0.0;13700.0;0.0;0.0;15403.0;-8537.017588957115;-8201.705759999999;-335.31182895711623;0.0;16870.0;290.9917748816659;0.0
3;72.09430799380975;59776.60437151459;16869.96884407591;16870.0;16869.96884407591;534.2113193559346;1287.8496614098024;1287.8496614098024;6512.121725274463;6603.390010306479;6603.390010306479;0.0;8978.729172359797;8978.729172359797;1138.9221822;0.0;13700.0;0.0;0.0;15403.0;-8563.104531714367;-8226.511199999999;-336.59333171436737;0.0;16870.0;377.850070642282;0.0
4;70.50772589096829;59776.60437151459;16869.96884407591;16870.0;16869.96884407591;484.6385510313823;1287.8496614098024;1287.8496614098024;6313.957510877526;6603.390010306479;6603.390010306479;0.0;8978.729172359797;8978.729172359797;1277.6298324;0.0;13700.0;0.0;0.0;15403.0;-8729.596611699386;-8386.32576;-343.27085169938533;0.0;16870.0;653.3719218134553;0.0
5;70.20279159581611;59776.60437151459;16869.96884407591;16870.0;16869.96884407591;475.11370575522795;1287.8496614098024;1287.8496614098024;6275.936651369494;6603.390010306479;6603.390010306479;0.0;8978.729172359797;8978.729172359797;1465.214178;0.0;13700.0;0.0;0.0;15403.0;-9188.19209430843;-8826.861120000001;-361.33097430842906;0.0;16870.0;971.9290009139123;0.0
6;72.13975515757798;59776.60437151459;16869.96884407591;16870.0;16869.96884407591;535.645354186986;1287.8496614098024;1287.8496614098024;6518.101027407228;6603.390010306479;6603.390010306479;0.0;8978.729172359797;8978.729172359797;1734.5955107;0.0;13700.0;0.0;0.0;15403.0;-10066.579243895148;-9670.89264;-395.68660389514827;0.0;16870.0;1278.2388730313933;0.0
7;86.62036145319607;59776.60437151459;16869.96884407591;16870.0;16869.96884407591;988.188741672;1287.8496614098024;1287.8496614098024;6603.390010306676;6603.390010306479;6603.390010306479;0.0;8978.729172359797;8978.729172359797;1995.2434359;0.0;13700.0;0.0;0.0;15403.0;-11847.29741374709;-11383.265759999998;-464.0316537470916;0.0;16870.0;2260.4780811645246;0.0
8;118.4565356709007;59776.60437151459;16869.96884407591;16870.0;16869.96884407591;1287.849661409802;1287.8496614098024;1287.8496614098024;6603.390010306681;6603.390010306479;6603.390010306479;461.44529240794344;8978.729172359797;8978.729172359797;2149.0095644;0.0;13700.0;20.447852172;0.0;15403.0;-13000.106242861559;-12494.90304;-505.2032028615591;0.0;16870.0;2477.966565581413;0.0
9;133.1540530768018;59776.60437151459;16869.96884407591;16870.0;16869.96884407591;1287.8496614098106;1287.8496614098024;1287.8496614098024;6603.390010306682;6603.390010306479;6603.390010306479;828.8832292834188;8978.729172359797;8978.729172359797;2246.6039803999997;0.0;13700.0;202.589528606;0.0;15403.0;-13591.27401911341;-13065.01968;-526.2543391134117;0.0;16870.0;2421.9603126728744;0.0
10;108.91999254154683;59776.60437151459;16869.96884407591;16870.0;16869.96884407591;1287.8496614097846;1287.8496614098024;1287.8496614098024;6603.390010306681;6603.390010306479;6603.390010306479;223.03171469530042;8978.729172359797;8978.729172359797;2266.9740994;0.0;13700.0;533.144624314;0.0;15403.0;-13736.124780796408;-13201.0584;-535.0663807964086;0.0;16870.0;2821.73737412791;0.0
