Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_B_MidMerit;new_capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_Baseload;new_capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_Peak;new_capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Gen_B_PV;new_capacity_Gen_B_PV;Capacity_Gen_B_PV;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;ENS_Cons_B;CapDemand_Cons_B;NetworkManager;CapacityManager
1;86.67466950924273;69622.6653841217;14828.998613770134;14829.0;14828.998613770134;989.8393383413446;1426.7804284807773;1426.7804284807773;6854.058372463216;6854.058372463436;6854.058372463436;0.0;6548.159812825662;6548.159812825662;424.55263299999996;0.0;5315.0;0.0;0.0;8788.0;-8108.268586410732;-7790.6903999999995;-317.57818641073254;0.0;14829.0;-160.181130506264;0.0
2;75.20435368720578;69622.6653841217;14828.998613770134;14829.0;14828.998613770134;631.386876395973;1426.7804284807773;1426.7804284807773;6854.058370417859;6854.058372463436;6854.058372463436;0.0;6548.159812825662;6548.159812825662;590.04391712;0.0;5315.0;0.0;0.0;8788.0;-7743.234867169238;-7439.099999999999;-304.1348671692389;0.0;14829.0;-332.2541487289063;0.0
3;72.09078624089473;69622.6653841217;14828.998613770134;14829.0;14828.998613770134;534.0850897145597;1426.7804284807773;1426.7804284807773;6511.288997720968;6854.058372463436;6854.058372463436;0.0;6548.159812825662;6548.159812825662;805.7575504199999;0.0;5315.0;0.0;0.0;8788.0;-7397.133501643857;-7106.3712;-290.762301643857;0.0;14829.0;-453.99830405221144;0.0
4;70.50359686070196;69622.6653841217;14828.998613770134;14829.0;14828.998613770134;484.4903913023439;1426.7804284807773;1426.7804284807773;6312.983319049494;6854.058372463436;6854.058372463436;0.0;6548.159812825662;6548.159812825662;1017.8963785;0.0;5315.0;0.0;0.0;8788.0;-7266.488249002449;-6980.7504;-285.73784900244897;0.0;14829.0;-548.8815284631155;0.0
5;70.19789095217959;69622.6653841217;14828.998613770134;14829.0;14828.998613770134;474.9378524561123;1426.7804284807773;1426.7804284807773;6274.780504066257;6854.058372463436;6854.058372463436;0.0;6548.159812825662;6548.159812825662;1277.357707705;0.0;5315.0;0.0;0.0;8788.0;-7241.73788060064;-6956.951999999999;-284.7858806006406;0.0;14829.0;-785.3377937527121;0.0
6;72.13408417682487;69622.6653841217;14828.998613770134;14829.0;14828.998613770134;535.441937327279;1426.7804284807773;1426.7804284807773;6516.762148070742;6854.058372463436;6854.058372463436;0.0;6548.159812825662;6548.159812825662;1485.4467449600002;0.0;5315.0;0.0;0.0;8788.0;-7465.468464758339;-7172.0232;-293.4452647583393;0.0;14829.0;-1072.1821578940205;0.0
7;86.61024523533777;69622.6653841217;14828.998613770134;14829.0;14828.998613770134;987.8260707970251;1426.7804284807773;1426.7804284807773;6854.05837246337;6854.058372463436;6854.058372463436;0.0;6548.159812825662;6548.159812825662;1671.11196198;0.0;5315.0;0.0;0.0;8788.0;-7850.754546112945;-7543.2576;-307.4969461129448;0.0;14829.0;-1662.2412330988132;0.0
8;118.44521036453787;69622.6653841217;14828.998613770134;14829.0;14828.998613770134;1426.7804284811718;1426.7804284807773;1426.7804284807773;6854.058372463395;6854.058372463436;6854.058372463436;307.4202775592235;6548.159812825662;6548.159812825662;1879.6509777649999;0.0;5315.0;0.5422195999999999;0.0;8788.0;-8129.364738193151;-7813.4448;-315.91993819315127;0.0;14829.0;-2339.087475638855;0.0
9;133.14272748060708;69622.6653841217;14828.998613770134;14829.0;14828.998613770134;1426.7804284812005;1426.7804284807773;1426.7804284807773;6854.058372463397;6854.058372463436;6854.058372463436;552.3788965250527;6548.159812825662;6548.159812825662;1953.072111385;0.0;5315.0;284.89188858;0.0;8788.0;-8392.89307511934;-8067.9192;-324.9738751193396;0.0;14829.0;-2678.2885601613802;0.0
10;108.90866690733283;69622.6653841217;14828.998613770134;14829.0;14828.998613770134;1426.7804284811937;1426.7804284807773;1426.7804284807773;6854.0583724633925;6854.058372463436;6854.058372463436;148.47788644314238;6548.159812825662;6548.159812825662;1952.122161435;0.0;5315.0;1192.60779196;0.0;8788.0;-8998.192004326314;-8647.6824;-350.50960432631524;0.0;14829.0;-2575.8545744719854;0.0
