Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_C_MidMerit;new_capacity_Gen_C_MidMerit;Capacity_Gen_C_MidMerit;Gen_C_Baseload;new_capacity_Gen_C_Baseload;Capacity_Gen_C_Baseload;Gen_C_Peak;new_capacity_Gen_C_Peak;Capacity_Gen_C_Peak;Gen_C_WindOnshore;new_capacity_Gen_C_WindOnshore;Capacity_Gen_C_WindOnshore;Gen_C_PV;new_capacity_Gen_C_PV;Capacity_Gen_C_PV;Cons_C;Inelastic_Cons_C;Elastic_Cons_C;ENS_Cons_C;CapDemand_Cons_C;NetworkManager;CapacityManager
1;86.65746314970724;79999.9981517139;16449.997324016476;16450.0;16449.997324016476;989.2327177209485;1583.517768136557;1583.517768136557;7132.032708864362;7132.032708864552;7132.032708864552;0.0;7734.446847015589;7734.446847015589;748.4615387;0.0;8300.0;0.0;0.0;18662.0;-8774.560757010324;-8430.884307839999;-343.67644917032555;0.0;16450.0;-95.16752582776289;0.0
2;75.18792602324052;79999.9981517139;16449.997324016476;16450.0;16449.997324016476;630.804726175572;1583.517768136557;1583.517768136557;6896.669861797296;7132.032708864552;7132.032708864552;0.0;7734.446847015589;7734.446847015589;916.5384643;0.0;8300.0;0.0;0.0;18662.0;-8485.276843925987;-8151.99507648;-333.28176744598676;0.0;16450.0;41.2623738472397;0.0
3;72.0875551561906;79999.9981517139;16449.997324016476;16450.0;16449.997324016476;533.9705644854107;1583.517768136557;1583.517768136557;6510.528042040778;7132.032708864552;7132.032708864552;0.0;7734.446847015589;7734.446847015589;1173.8461501000002;0.0;8300.0;0.0;0.0;18662.0;-8294.493314381143;-7968.45784608;-326.03546830114277;0.0;16450.0;76.1482334099305;0.0
4;70.49530853067718;79999.9981517139;16449.997324016476;16450.0;16449.997324016476;484.1966479482139;1583.517768136557;1583.517768136557;6311.025677358728;7132.032708864552;7132.032708864552;0.0;7734.446847015589;7734.446847015589;1503.8461572;0.0;8300.0;0.0;0.0;18662.0;-8194.578750743027;-7872.345230399999;-322.23352034302775;0.0;16450.0;-104.49039335033926;0.0
5;70.18787395967867;79999.9981517139;16449.997324016476;16450.0;16449.997324016476;474.58284499383353;1583.517768136557;1583.517768136557;6272.414468510437;7132.032708864552;7132.032708864552;0.0;7734.446847015589;7734.446847015589;1802.5000025;0.0;8300.0;0.0;0.0;18662.0;-8362.906905301707;-8034.029538240001;-328.8773670617057;0.0;16450.0;-186.59120716120003;0.0
6;72.12464839795824;79999.9981517139;16449.997324016476;16450.0;16449.997324016476;535.1075211508677;1583.517768136557;1583.517768136557;6514.534630937523;7132.032708864552;7132.032708864552;0.0;7734.446847015589;7734.446847015589;2037.3076914;0.0;8300.0;0.0;0.0;18662.0;-8880.893915239054;-8531.811692160001;-349.0822230790527;0.0;16450.0;-206.05671513737553;0.0
7;86.59303781333568;79999.9981517139;16449.997324016476;16450.0;16449.997324016476;987.219399590001;1583.517768136557;1583.517768136557;7132.032708864336;7132.032708864552;7132.032708864552;0.0;7734.446847015589;7734.446847015589;2269.6153871;0.0;8300.0;0.0;0.0;18662.0;-9790.63196557135;-9407.152615680001;-383.47934989134967;0.0;16450.0;-598.2368480657113;0.0
8;118.42681335244056;79999.9981517139;16449.997324016476;16450.0;16449.997324016476;1583.5177681365283;1583.517768136557;1583.517768136557;7132.032708864336;7132.032708864552;7132.032708864552;230.3221764919239;7734.446847015589;7734.446847015589;2469.4230798999997;0.0;8300.0;0.0;0.0;18662.0;-11276.418339606767;-10838.1969216;-438.2214180067683;0.0;16450.0;-138.8790899425596;0.0
9;133.12432991279536;79999.9981517139;16449.997324016476;16450.0;16449.997324016476;1583.517768136533;1583.517768136557;1583.517768136557;7132.032708864336;7132.032708864552;7132.032708864552;414.0411334669259;7734.446847015589;7734.446847015589;2599.8076886;0.0;8300.0;76.921815404;0.0;18662.0;-12062.65105811991;-11595.5815392;-467.0695189199114;0.0;16450.0;256.32824748850624;0.0
10;108.8902693817756;79999.9981517139;16449.997324016476;16450.0;16449.997324016476;1583.5177681347227;1583.517768136557;1583.517768136557;7132.032708864336;7132.032708864552;7132.032708864552;111.11537631964512;7734.446847015589;7734.446847015589;2720.5769216;0.0;8300.0;682.104143322;0.0;18662.0;-11983.465814812947;-11516.667696;-466.79811881294734;0.0;16450.0;-245.88279965592548;0.0
11;79.77295932637675;79999.9981517139;16449.997324016476;16450.0;16449.997324016476;774.0919325855971;1583.517768136557;1583.517768136557;7132.032708864121;7132.032708864552;7132.032708864552;0.0;7734.446847015589;7734.446847015589;2856.1538443;0.0;8300.0;1591.7045236959998;0.0;18662.0;-11542.45989999281;-11089.607999999998;-452.85189999281147;0.0;16450.0;-811.5244278330034;0.0
12;450.5957175617576;79999.9981517139;16449.997324016476;16450.0;16449.997324016476;1583.5177681364332;1583.517768136557;1583.517768136557;7132.032708864374;7132.032708864552;7132.032708864552;4382.433473211564;7734.446847015589;7734.446847015589;830.083;0.0;8300.0;1882.46897174;0.0;18662.0;-16127.013472660208;-15552.0096;-575.0038726602087;0.0;16450.0;316.4758537753423;0.0
13;70.17340194295012;79999.9981517139;16449.997324016476;16450.0;16449.997324016476;474.1064764498507;1583.517768136557;1583.517768136557;6269.969524042303;7132.032708864552;7132.032708864552;0.0;7734.446847015589;7734.446847015589;3217.6923076000003;0.0;8300.0;2082.273357486;0.0;18662.0;-11353.654092465516;-10907.1618432;-446.49224926551716;0.0;16450.0;-690.3888734957002;0.0
14;70.29423668206302;79999.9981517139;16449.997324016476;16450.0;16449.997324016476;477.89264291694656;1583.517768136557;1583.517768136557;6285.368577585366;7132.032708864552;7132.032708864552;0.0;7734.446847015589;7734.446847015589;3400.1923092;0.0;8300.0;1853.2386811400002;0.0;18662.0;-11490.668970805475;-11038.8018432;-451.8671276054735;0.0;16450.0;-526.0243307310935;0.0
15;72.43936921124237;79999.9981517139;16449.997324016476;16450.0;16449.997324016476;544.95407725616;1583.517768136557;1583.517768136557;6554.256933848817;7132.032708864552;7132.032708864552;0.0;7734.446847015589;7734.446847015589;3565.961536;0.0;8300.0;1297.8632157260001;0.0;18662.0;-11730.421402275795;-11269.367999999999;-461.05340227579654;0.0;16450.0;-232.61490906845964;0.0
16;79.8232039914885;79999.9981517139;16449.997324016476;16450.0;16449.997324016476;775.6620857335538;1583.517768136557;1583.517768136557;7132.0327088641525;7132.032708864552;7132.032708864552;0.0;7734.446847015589;7734.446847015589;3709.2307659;0.0;8300.0;1020.944702666;0.0;18662.0;-12035.262326902412;-11563.0818432;-472.1804837024124;0.0;16450.0;-602.6092544888534;0.0
17;107.72978844278542;79999.9981517139;16449.997324016476;16450.0;16449.997324016476;1583.5177679723065;1583.517768136557;1583.517768136557;7132.032708864336;7132.032708864552;7132.032708864552;96.60936653936207;7734.446847015589;7734.446847015589;3789.0384614;0.0;8300.0;523.645213294;0.0;18662.0;-12651.503961186265;-12158.5421568;-492.961804386264;0.0;16450.0;-473.3412528587543;0.0
18;586.708302368719;79999.9981517139;16449.997324016476;16450.0;16449.997324016476;1583.517768136436;1583.517768136557;1583.517768136557;7132.032708864375;7132.032708864552;7132.032708864552;6084.107126383438;7734.446847015589;7734.446847015589;830.083;0.0;8300.0;0.0;0.0;18662.0;-17894.40192253343;-17280.009599999998;-614.3923225334348;0.0;16450.0;2264.6944541175;0.0
19;652.0976462775141;79999.9981517139;16449.997324016476;16450.0;16449.997324016476;1583.5177681364419;1583.517768136557;1583.517768136557;7132.032708864347;7132.032708864552;7132.032708864552;6901.47426201555;7734.446847015589;7734.446847015589;830.083;0.0;8300.0;0.0;0.0;18662.0;-16144.033662267017;-15600.0;-544.0336622670163;0.0;16450.0;-303.0408977059396;0.0
20;125.72156641479957;79999.9981517139;16449.997324016476;16450.0;16449.997324016476;1583.517768136521;1583.517768136557;1583.517768136557;7132.032708864309;7132.032708864552;7132.032708864552;321.50659113914725;7734.446847015589;7734.446847015589;3702.8846191;0.0;8300.0;0.0;0.0;18662.0;-12530.434419402158;-12044.359382399998;-486.0750370021597;0.0;16450.0;-209.5089638192371;0.0
21;98.18734804194821;79999.9981517139;16449.997324016476;16450.0;16449.997324016476;1349.5438901440825;1583.517768136557;1583.517768136557;7132.032708864309;7132.032708864552;7132.032708864552;0.0;7734.446847015589;7734.446847015589;3685.7692306;0.0;8300.0;0.0;0.0;18662.0;-11934.449226748811;-11468.331696;-466.11753074881165;0.0;16450.0;-232.89787165184254;0.0
