Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_C_MidMerit;new_capacity_Gen_C_MidMerit;Capacity_Gen_C_MidMerit;Gen_C_Baseload;new_capacity_Gen_C_Baseload;Capacity_Gen_C_Baseload;Gen_C_Peak;new_capacity_Gen_C_Peak;Capacity_Gen_C_Peak;Gen_C_WindOnshore;new_capacity_Gen_C_WindOnshore;Capacity_Gen_C_WindOnshore;Gen_C_PV;new_capacity_Gen_C_PV;Capacity_Gen_C_PV;Cons_C;Inelastic_Cons_C;Elastic_Cons_C;ENS_Cons_C;CapDemand_Cons_C;NetworkManager;CapacityManager
1;86.66847871621003;69885.60298813511;15492.967844155908;15493.0;15492.967844155908;989.628189446443;1587.326394970043;1587.326394970043;7141.427841255988;7141.427841252834;7141.427841252834;0.0;6764.213607929432;6764.213607929432;748.4615387;0.0;8300.0;0.0;0.0;18662.0;-8774.559782466511;-8430.884307839999;-343.6754746265133;0.0;15493.0;-104.95817122796504;0.0
2;75.22845500945606;69885.60298813511;15492.967844155908;15493.0;15492.967844155908;632.126581444579;1587.326394970043;1587.326394970043;6903.23516424229;7141.427841252834;7141.427841252834;0.0;6764.213607929432;6764.213607929432;916.5384643;0.0;8300.0;0.0;0.0;18662.0;-8485.273395114018;-8151.99507648;-333.27831863401826;0.0;15493.0;33.372751784763516;0.0
3;72.0908565807659;69885.60298813511;15492.967844155908;15493.0;15492.967844155908;534.089953900397;1587.326394970043;1587.326394970043;6511.365328061861;7141.427841252834;7141.427841252834;0.0;6764.213607929432;6764.213607929432;1173.8461501000002;0.0;8300.0;0.0;0.0;18662.0;-8294.493038415347;-7968.45784608;-326.03519233534587;0.0;15493.0;75.19156057952891;0.0
4;70.50067712063995;69885.60298813511;15492.967844155908;15493.0;15492.967844155908;484.39233110811205;1587.326394970043;1587.326394970043;6312.485420105436;7141.427841252834;7141.427841252834;0.0;6764.213607929432;6764.213607929432;1503.8461572;0.0;8300.0;0.0;0.0;18662.0;-8194.578306723433;-7872.345230399999;-322.23307632343364;0.0;15493.0;-106.14572009133053;0.0
5;70.19414249107271;69885.60298813511;15492.967844155908;15493.0;15492.967844155908;474.811443247098;1587.326394970043;1587.326394970043;6274.126210057231;7141.427841252834;7141.427841252834;0.0;6764.213607929432;6764.213607929432;1802.5000025;0.0;8300.0;0.0;0.0;18662.0;-8362.906376187662;-8034.029538240001;-328.8768379476618;0.0;15493.0;-188.53144176802942;0.0
6;72.13098046478733;69885.60298813511;15492.967844155908;15493.0;15492.967844155908;535.3380299319838;1587.326394970043;1587.326394970043;6516.237354245343;7141.427841252834;7141.427841252834;0.0;6764.213607929432;6764.213607929432;2037.3076914;0.0;8300.0;0.0;0.0;18662.0;-8880.893347875557;-8531.811692160001;-349.08165571555594;0.0;15493.0;-207.98990535689975;0.0
7;86.60405569947005;69885.60298813511;15492.967844155908;15493.0;15492.967844155908;987.6149634857468;1587.326394970043;1587.326394970043;7141.427841253449;7141.427841252834;7141.427841252834;0.0;6764.213607929432;6764.213607929432;2269.6153871;0.0;8300.0;0.0;0.0;18662.0;-9790.630877901569;-9407.152615680001;-383.4782622215674;0.0;15493.0;-608.0276975878915;0.0
8;118.45673375101849;69885.60298813511;15492.967844155908;15493.0;15492.967844155908;1587.3263949682746;1587.326394970043;1587.326394970043;7141.4278412534495;7141.427841252834;7141.427841252834;230.70684375590054;6764.213607929432;6764.213607929432;2469.4230798999997;0.0;8300.0;0.0;0.0;18662.0;-11276.41494816831;-10838.1969216;-438.2180265683116;0.0;15493.0;-152.46956476247092;0.0
9;133.15424496460267;69885.60298813511;15492.967844155908;15493.0;15492.967844155908;1587.3263949672735;1587.326394970043;1587.326394970043;7141.427841253446;7141.427841252834;7141.427841252834;414.4257337393102;6764.213607929432;6764.213607929432;2599.8076886;0.0;8300.0;76.921815404;0.0;18662.0;-12062.647430275088;-11595.5815392;-467.06589107508864;0.0;15493.0;242.73760349615168;0.0
10;108.92018329576007;69885.60298813511;15492.967844155908;15493.0;15492.967844155908;1587.3263949679929;1587.326394970043;1587.326394970043;7141.427841253449;7141.427841252834;7141.427841252834;111.49996297467129;6764.213607929432;6764.213607929432;2720.5769216;0.0;8300.0;682.104143322;0.0;18662.0;-11983.462211799104;-11516.667696;-466.7945157991031;0.0;15493.0;-259.4734051579984;0.0
