Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_B_MidMerit;new_capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_Baseload;new_capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_Peak;new_capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Gen_B_PV;new_capacity_Gen_B_PV;Capacity_Gen_B_PV;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;ENS_Cons_B;CapDemand_Cons_B;NetworkManager;CapacityManager
1;86.71577853206442;58877.679895547226;13765.503338185688;13768.0;13765.503338185688;991.0899620961924;1427.7369498484527;1427.7369498484527;6853.745289745727;6853.745289745974;6853.745289745974;0.0;5484.021098591311;5484.021098591311;424.55263299999996;0.0;5315.0;0.0;0.0;8788.0;-8108.265256032233;-7790.6903999999995;-317.57485603223375;0.0;13768.0;-161.12312999444288;2.515037779984696
2;75.04881494466399;58877.679895547226;13765.503338185688;13768.0;13765.503338185688;626.4903533743092;1427.7369498484527;1427.7369498484527;6853.74528963789;6853.745289745974;6853.745289745974;0.0;5484.021098591311;5484.021098591311;590.04391712;0.0;5315.0;0.0;0.0;8788.0;-7743.246924830352;-7439.099999999999;-304.14692483035293;0.0;13768.0;-327.0332494362333;2.515037779984696
3;72.08728254646553;58877.679895547226;13765.503338185688;13768.0;13765.503338185688;533.9632400126835;1427.7369498484527;1427.7369498484527;6510.548152384989;6853.745289745974;6853.745289745974;0.0;5484.021098591311;5484.021098591311;805.7575504199999;0.0;5315.0;0.0;0.0;8788.0;-7397.133762269036;-7106.3712;-290.76256226903666;0.0;13768.0;-453.13543382524756;2.515037779984696
4;70.49940420199667;58877.679895547226;13765.503338185688;13768.0;13765.503338185688;484.34761691644877;1427.7369498484527;1427.7369498484527;6312.203186730241;6853.745289745974;6853.745289745974;0.0;5484.021098591311;5484.021098591311;1017.8963785;0.0;5315.0;0.0;0.0;8788.0;-7266.488555791465;-6980.7504;-285.7381557914654;0.0;13768.0;-547.9587815012832;2.515037779984696
5;70.19272952598548;58877.679895547226;13765.503338185688;13768.0;13765.503338185688;474.7619397213874;1427.7369498484527;1427.7369498484527;6273.815258223555;6853.745289745974;6853.745289745974;0.0;5484.021098591311;5484.021098591311;1277.357707705;0.0;5315.0;0.0;0.0;8788.0;-7241.738257016423;-6956.951999999999;-284.786257016423;0.0;13768.0;-784.196841008904;2.515037779984696
6;72.1281765178219;58877.679895547226;13765.503338185688;13768.0;13765.503338185688;535.2392199224902;1427.7369498484527;1427.7369498484527;6515.608442328689;6853.745289745974;6853.745289745974;0.0;5484.021098591311;5484.021098591311;1485.4467449600002;0.0;5315.0;0.0;0.0;8788.0;-7465.468908708812;-7172.0232;-293.44570870881176;0.0;13768.0;-1070.8257870527925;2.515037779984696
7;86.65133133102275;58877.679895547226;13765.503338185688;13768.0;13765.503338185688;989.0759680068145;1427.7369498484527;1427.7369498484527;6853.745289745595;6853.745289745974;6853.745289745974;0.0;5484.021098591311;5484.021098591311;1671.11196198;0.0;5315.0;0.0;0.0;8788.0;-7850.751323302827;-7543.2576;-307.49372330282654;0.0;13768.0;-1663.1823979526348;2.515037779984696
8;118.62073170758298;58877.679895547226;13765.503338185688;13768.0;13765.503338185688;1427.7369498484418;1427.7369498484527;1427.7369498484527;6853.745289745595;6853.745289745974;6853.745289745974;310.3347864545171;5484.021098591311;5484.021098591311;1879.6509777649999;0.0;5315.0;0.5422195999999999;0.0;8788.0;-8129.350457835786;-7813.4448;-315.9056578357863;0.0;13768.0;-2342.660443288093;2.515037779984696
9;133.31819149924763;58877.679895547226;13765.503338185688;13768.0;13765.503338185688;1427.7369498484377;1427.7369498484527;1427.7369498484527;6853.745289745595;6853.745289745974;6853.745289745974;555.2924495002287;5484.021098591311;5484.021098591311;1953.072111385;0.0;5315.0;284.89188858;0.0;8788.0;-8392.878334493591;-8067.9192;-324.95913449359057;0.0;13768.0;-2681.861032285614;2.515037779984696
10;109.08410929304131;58877.679895547226;13765.503338185688;13768.0;13765.503338185688;1427.7369498484395;1427.7369498484527;1427.7369498484527;6853.745289745595;6853.745289745974;6853.745289745974;151.3910796865768;5484.021098591311;5484.021098591311;1952.122161435;0.0;5315.0;1192.60779196;0.0;8788.0;-8998.176206400747;-8647.6824;-350.4938064007474;0.0;13768.0;-2579.4277439766643;2.515037779984696
