Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_C_MidMerit;new_capacity_Gen_C_MidMerit;Capacity_Gen_C_MidMerit;Gen_C_Baseload;new_capacity_Gen_C_Baseload;Capacity_Gen_C_Baseload;Gen_C_Peak;new_capacity_Gen_C_Peak;Capacity_Gen_C_Peak;Gen_C_WindOnshore;new_capacity_Gen_C_WindOnshore;Capacity_Gen_C_WindOnshore;Gen_C_PV;new_capacity_Gen_C_PV;Capacity_Gen_C_PV;Cons_C;Inelastic_Cons_C;Elastic_Cons_C;ENS_Cons_C;CapDemand_Cons_C;NetworkManager;CapacityManager
1;86.71597779030624;64494.81534116191;10740.289070401013;15489.0;10740.289070401013;991.0961676127948;1562.9413459918012;1562.9413459918012;7097.351416466805;7097.351416469022;7097.351416469022;0.0;2079.9963079432605;2079.9963079432605;748.4615387;0.0;8300.0;0.0;0.0;18662.0;-8774.555612498933;-8430.884307839999;-343.67130465893473;0.0;15489.0;-62.354009888782926;4748.742481109986
2;75.04964827244265;64494.81534116191;10740.289070401013;15489.0;10740.289070401013;626.5215393153406;1562.9413459918012;1562.9413459918012;6880.475358173937;7097.351416469022;7097.351416469022;0.0;2079.9963079432605;2079.9963079432605;916.5384643;0.0;8300.0;0.0;0.0;18662.0;-8485.28858007889;-8151.99507648;-333.29350359889077;0.0;15489.0;61.752686943529895;4748.742481109986
3;72.09260856062697;64494.81534116191;10740.289070401013;15489.0;10740.289070401013;534.1528478596213;1562.9413459918012;1562.9413459918012;6511.800627250163;7097.351416469022;7097.351416469022;0.0;2079.9963079432605;2079.9963079432605;1173.8461501000002;0.0;8300.0;0.0;0.0;18662.0;-8294.49289145646;-7968.45784608;-326.0350453764608;0.0;15489.0;74.69342275272048;4748.742481109986
4;70.50041328786371;64494.81534116191;10740.289070401013;15489.0;10740.289070401013;484.3835411776862;1562.9413459918012;1562.9413459918012;6312.440489996047;7097.351416469022;7097.351416469022;0.0;2079.9963079432605;2079.9963079432605;1503.8461572;0.0;8300.0;0.0;0.0;18662.0;-8194.578328170412;-7872.345230399999;-322.23309777041277;0.0;15489.0;-106.09193770654481;4748.742481109986
5;70.19287029847622;64494.81534116191;10740.289070401013;15489.0;10740.289070401013;474.76695211795084;1562.9413459918012;1562.9413459918012;6273.848372102683;7097.351416469022;7097.351416469022;0.0;2079.9963079432605;2079.9963079432605;1802.5000025;0.0;8300.0;0.0;0.0;18662.0;-8362.906482981045;-8034.029538240001;-328.8769447410447;0.0;15489.0;-188.2090252767039;4748.742481109986
6;72.12955529126279;64494.81534116191;10740.289070401013;15489.0;10740.289070401013;535.2883057783125;1562.9413459918012;1562.9413459918012;6515.9326906620345;7097.351416469022;7097.351416469022;0.0;2079.9963079432605;2079.9963079432605;2037.3076914;0.0;8300.0;0.0;0.0;18662.0;-8880.893474769466;-8531.811692160001;-349.0817826094648;0.0;15489.0;-207.63539552921884;4748.742481109986
7;86.65153022788351;64494.81534116191;10740.289070401013;15489.0;10740.289070401013;989.0821604792385;1562.9413459918012;1562.9413459918012;7097.351416463787;7097.351416469022;7097.351416469022;0.0;2079.9963079432605;2079.9963079432605;2269.6153871;0.0;8300.0;0.0;0.0;18662.0;-9790.626227490935;-9407.152615680001;-383.473611810934;0.0;15489.0;-565.4232365276317;4748.742481109986
8;118.62118522536133;64494.81534116191;10740.289070401013;15489.0;10740.289070401013;1562.9413459904322;1562.9413459918012;1562.9413459918012;7097.351416463787;7097.351416469022;7097.351416469022;232.75882910154513;2079.9963079432605;2079.9963079432605;2469.4230798999997;0.0;8300.0;0.0;0.0;18662.0;-11276.396386140985;-10838.1969216;-438.199464540985;0.0;15489.0;-86.07894449614867;4748.742481109986
9;133.31864484603125;64494.81534116191;10740.289070401013;15489.0;10740.289070401013;1562.941345989957;1562.9413459918012;1562.9413459918012;7097.351416463782;7097.351416469022;7097.351416469022;416.4770741541892;2079.9963079432605;2079.9963079432605;2599.8076886;0.0;8300.0;76.921815404;0.0;18662.0;-12062.627577366045;-11595.5815392;-467.04603816604526;0.0;15489.0;309.12757754961416;4748.742481109986
10;109.084562870718;64494.81534116191;10740.289070401013;15489.0;10740.289070401013;1562.9413459903249;1562.9413459918012;1562.9413459918012;7097.351416463786;7097.351416469022;7097.351416469022;113.55104978422789;2079.9963079432605;2079.9963079432605;2720.5769216;0.0;8300.0;682.104143322;0.0;18662.0;-11983.442496432624;-11516.667696;-466.77480043262386;0.0;15489.0;-193.0830398967887;4748.742481109986
11;79.83142315629544;64494.81534116191;10740.289070401013;15489.0;10740.289070401013;775.9538080865782;1562.9413459918012;1562.9413459918012;7097.351416464699;7097.351416469022;7097.351416469022;0.0;2079.9963079432605;2079.9963079432605;2856.1538443;0.0;8300.0;1591.7045236959998;0.0;18662.0;-11542.453138907182;-11089.607999999998;-452.84513890718284;0.0;15489.0;-778.7109537291235;4748.742481109986
12;555.3631010904741;64494.81534116191;10740.289070401013;15489.0;10740.289070401013;1562.9413459902219;1562.9413459918012;1562.9413459918012;7097.351416466349;7097.351416469022;7097.351416469022;2079.996307942176;2079.9963079432605;2079.9963079432605;830.083;0.0;8300.0;1882.46897174;0.0;18662.0;-16110.04118516232;-15552.00959999998;-558.031585162341;2.000888343900442e-11;15489.0;2657.195759773113;4748.742481109986
13;70.17668335845889;64494.81534116191;10740.289070401013;15489.0;10740.289070401013;474.2332976828183;1562.9413459918012;1562.9413459918012;6271.118101092268;7097.351416469022;7097.351416469022;0.0;2079.9963079432605;2079.9963079432605;3217.6923076000003;0.0;8300.0;2082.273357486;0.0;18662.0;-11353.653714283833;-10907.1618432;-446.49187108383353;0.0;15489.0;-691.6640239599067;4748.742481109986
14;70.29694119505923;64494.81534116191;10740.289070401013;15489.0;10740.289070401013;477.9971953289748;1562.9413459918012;1562.9413459918012;6286.298820656556;7097.351416469022;7097.351416469022;0.0;2079.9963079432605;2079.9963079432605;3400.1923092;0.0;8300.0;1853.2386811400002;0.0;18662.0;-11490.668655324811;-11038.8018432;-451.8668121248094;0.0;15489.0;-527.0589218794764;4748.742481109986
15;72.44126522944535;64494.81534116191;10740.289070401013;15489.0;10740.289070401013;545.0254536295388;1562.9413459918012;1562.9413459918012;6554.800293827381;7097.351416469022;7097.351416469022;0.0;2079.9963079432605;2079.9963079432605;3565.961536;0.0;8300.0;1297.8632157260001;0.0;18662.0;-11730.42117697592;-11269.367999999999;-461.0531769759227;0.0;15489.0;-233.2295717505016;4748.742481109986
16;79.8816687852056;64494.81534116191;10740.289070401013;15489.0;10740.289070401013;777.5239874019802;1562.9413459918012;1562.9413459918012;7097.351416463984;7097.351416469022;7097.351416469022;0.0;2079.9963079432605;2079.9963079432605;3709.2307659;0.0;8300.0;1020.944702666;0.0;18662.0;-12035.25527701807;-11563.0818432;-472.1734338180705;0.0;15489.0;-569.7960954430363;4748.742481109986
17;107.92406106071755;64494.81534116191;10740.289070401013;15489.0;10740.289070401013;1562.9413459798413;1562.9413459918012;1562.9413459918012;7097.351416465481;7097.351416469022;7097.351416469022;99.0447785281707;2079.9963079432605;2079.9963079432605;3789.0384614;0.0;8300.0;523.645213294;0.0;18662.0;-12651.479345783744;-12158.5421568;-492.93718898374436;0.0;15489.0;-420.5425289022109;4748.742481109986
18;4000.000147092671;64494.81534116191;10740.289070401013;15489.0;10740.289070401013;1562.9413459905784;1562.9413459918012;1562.9413459918012;7097.351416465499;7097.351416469022;7097.351416469022;2079.9963079432546;2079.9963079432605;2079.9963079432605;830.083;0.0;8300.0;0.0;0.0;18662.0;-16434.253707721407;-16434.249698866555;-0.004008854850151272;845.7599011334423;15489.0;4863.8816264781;4748.742481109986
19;3996.3535775487776;64494.81534116191;10740.289070401013;15489.0;10740.289070401013;1562.9413459903935;1562.9413459918012;1562.9413459918012;7097.351416467326;7097.351416469022;7097.351416469022;2079.9963079432546;2079.9963079432605;2079.9963079432605;830.083;0.0;8300.0;0.0;0.0;18662.0;-15600.592774542014;-15599.999999980988;-0.5927745610264721;1.9012077245861292e-8;15489.0;4030.2063697095396;4748.742481109986
20;125.91582544805237;64494.81534116191;10740.289070401013;15489.0;10740.289070401013;1562.9413459903244;1562.9413459918012;1562.9413459918012;7097.351416467308;7097.351416469022;7097.351416469022;323.9418340979372;2079.9963079432605;2079.9963079432605;3702.8846191;0.0;8300.0;0.0;0.0;18662.0;-12530.410036875614;-12044.359382399998;-486.0506544756159;0.0;15489.0;-156.70983772364815;4748.742481109986
21;98.04495120996302;64494.81534116191;10740.289070401013;15489.0;10740.289070401013;1345.1271499808797;1562.9413459918012;1562.9413459918012;7097.351416467308;7097.351416469022;7097.351416469022;0.0;2079.9963079432605;2079.9963079432605;3685.7692306;0.0;8300.0;0.0;0.0;18662.0;-11934.46623032285;-11468.331696;-466.13453432285195;0.0;15489.0;-193.78205694922067;4748.742481109986
22;80.23999072605359;64494.81534116191;10740.289070401013;15489.0;10740.289070401013;788.721557187794;1562.9413459918012;1562.9413459918012;7097.351416466826;7097.351416469022;7097.351416469022;0.0;2079.9963079432605;2079.9963079432605;3657.884617;0.0;8300.0;0.0;0.0;18662.0;-11347.239589630584;-10902.0978432;-445.1417464305853;0.0;15489.0;-196.71850089188717;4748.742481109986
23;72.73043457869949;64494.81534116191;10740.289070401013;15489.0;10740.289070401013;554.0639883625712;1562.9413459918012;1562.9413459918012;6590.997018080188;7097.351416469022;7097.351416469022;0.0;2079.9963079432605;2079.9963079432605;3583.6538492;0.0;8300.0;0.0;0.0;18662.0;-10661.630488159639;-10242.6147648;-419.0157233596383;0.0;15489.0;-67.08458173931795;4748.742481109986
24;69.37865581599127;64494.81534116191;10740.289070401013;15489.0;10740.289070401013;449.3201456157257;1562.9413459918012;1562.9413459918012;6172.005421352826;7097.351416469022;7097.351416469022;0.0;2079.9963079432605;2079.9963079432605;3423.8461555;0.0;8300.0;0.0;0.0;18662.0;-9920.214635241698;-9530.01784608;-390.1967891616993;0.0;15489.0;-124.95731489231392;4748.742481109986
