Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_C_MidMerit;new_capacity_Gen_C_MidMerit;Capacity_Gen_C_MidMerit;Gen_C_Baseload;new_capacity_Gen_C_Baseload;Capacity_Gen_C_Baseload;Gen_C_Peak;new_capacity_Gen_C_Peak;Capacity_Gen_C_Peak;Gen_C_WindOnshore;new_capacity_Gen_C_WindOnshore;Capacity_Gen_C_WindOnshore;Gen_C_PV;new_capacity_Gen_C_PV;Capacity_Gen_C_PV;Cons_C;Inelastic_Cons_C;Elastic_Cons_C;ENS_Cons_C;CapDemand_Cons_C;NetworkManager;CapacityManager
1;86.69226703070599;58988.499883614524;11428.496181791308;14770.0;11428.496181791308;990.327968349853;1567.1515535425697;1567.1515535425697;7104.213647299792;7104.213647299624;7104.213647299624;0.0;2757.1309809487943;2757.1309809487943;748.4615387;0.0;8300.0;0.0;0.0;18662.0;-8777.095514834691;-8430.884307839999;-346.2112069946924;0.0;14770.0;-65.90794845448967;3341.5038181647346
2;75.0706949130342;58988.499883614524;11428.496181791308;14770.0;11428.496181791308;627.1458987074864;1567.1515535425697;1567.1515535425697;6881.983773098486;7104.213647299624;7104.213647299624;0.0;2757.1309809487943;2757.1309809487943;916.5384643;0.0;8300.0;0.0;0.0;18662.0;-8487.411708410384;-8151.99507648;-335.41663193038363;0.0;14770.0;61.74322265388624;3341.5038181647346
3;72.10233600069894;58988.499883614524;11428.496181791308;14770.0;11428.496181791308;534.4441952622457;1567.1515535425697;1567.1515535425697;6512.665124995048;7104.213647299624;7104.213647299624;0.0;2757.1309809487943;2757.1309809487943;1173.8461501000002;0.0;8300.0;0.0;0.0;18662.0;-8296.487031354265;-7968.45784608;-328.02918527426567;0.0;14770.0;75.53153981258302;3341.5038181647346
4;70.50941950931457;58988.499883614524;11428.496181791308;14770.0;11428.496181791308;484.6459477468856;1567.1515535425697;1567.1515535425697;6312.904026361918;7104.213647299624;7104.213647299624;0.0;2757.1309809487943;2757.1309809487943;1503.8461572;0.0;8300.0;0.0;0.0;18662.0;-8196.504932206453;-7872.345230399999;-324.1597018064535;0.0;14770.0;-104.89132926831634;3341.5038181647346
5;70.2020050418286;58988.499883614524;11428.496181791308;14770.0;11428.496181791308;475.0309016311209;1567.1515535425697;1567.1515535425697;6274.2017609768645;7104.213647299624;7104.213647299624;0.0;2757.1309809487943;2757.1309809487943;1802.5000025;0.0;8300.0;0.0;0.0;18662.0;-8364.864069371886;-8034.029538240001;-330.83453113188494;0.0;14770.0;-186.86877228845827;3341.5038181647346
6;72.13994845026957;58988.499883614524;11428.496181791308;14770.0;11428.496181791308;535.5920578232651;1567.1515535425697;1567.1515535425697;6516.458120579957;7104.213647299624;7104.213647299624;0.0;2757.1309809487943;2757.1309809487943;2037.3076914;0.0;8300.0;0.0;0.0;18662.0;-8883.029650111834;-8531.811692160001;-351.2179579518333;0.0;14770.0;-206.3283938983478;3341.5038181647346
7;86.63968156267119;58988.499883614524;11428.496181791308;14770.0;11428.496181791308;988.6846616948567;1567.1515535425697;1567.1515535425697;7104.21364729963;7104.213647299624;7104.213647299624;0.0;2757.1309809487943;2757.1309809487943;2269.6153871;0.0;8300.0;0.0;0.0;18662.0;-9793.457362029158;-9407.152615680001;-386.3047463491559;0.0;14770.0;-569.0566430525795;3341.5038181647346
8;118.58564688687498;58988.499883614524;11428.496181791308;14770.0;11428.496181791308;1567.1515535426154;1567.1515535425697;1567.1515535425697;7104.213647299665;7104.213647299624;7104.213647299624;232.30925538308333;2757.1309809487943;2757.1309809487943;2469.4230798999997;0.0;8300.0;0.0;0.0;18662.0;-11280.86308616242;-10838.1969216;-442.6661645624201;0.0;14770.0;-92.23486480433463;3341.5038181647346
9;133.32579906424314;58988.499883614524;11428.496181791308;14770.0;11428.496181791308;1567.1515535425378;1567.1515535425697;1567.1515535425697;7104.21364729967;7104.213647299624;7104.213647299624;416.56115760849895;2757.1309809487943;2757.1309809487943;2599.8076886;0.0;8300.0;76.921815404;0.0;18662.0;-12067.994732799263;-11595.5815392;-472.4131935992629;0.0;14770.0;303.33845550350213;3341.5038181647346
10;109.04552344511751;58988.499883614524;11428.496181791308;14770.0;11428.496181791308;1567.1515535426042;1567.1515535425697;1567.1515535425697;7104.213647299661;7104.213647299624;7104.213647299624;113.05771153912397;2757.1309809487943;2757.1309809487943;2720.5769216;0.0;8300.0;682.104143322;0.0;18662.0;-11987.8077371824;-11516.667696;-471.1400411823998;0.0;14770.0;-199.29665499244982;3341.5038181647346
