Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_A_MidMerit;new_capacity_Gen_A_MidMerit;Capacity_Gen_A_MidMerit;Gen_A_Baseload;new_capacity_Gen_A_Baseload;Capacity_Gen_A_Baseload;Gen_A_Peak;new_capacity_Gen_A_Peak;Capacity_Gen_A_Peak;Gen_A_WindOnshore;new_capacity_Gen_A_WindOnshore;Capacity_Gen_A_WindOnshore;Gen_A_PV;new_capacity_Gen_A_PV;Capacity_Gen_A_PV;Cons_A;Inelastic_Cons_A;Elastic_Cons_A;ENS_Cons_A;CapDemand_Cons_A;NetworkManager;CapacityManager
1;86.70103355618903;42592.666995595886;21391.874334511933;16006.0;21391.874334511933;990.6839240216246;1304.220986065022;1304.220986065022;6637.136338520201;6637.136338520182;6637.136338520182;0.0;13450.517009926705;13450.517009926705;886.0567338000001;0.0;13700.0;0.0;0.0;15403.0;-8738.783045187778;-8392.87008;-345.9129651877775;0.0;16006.0;224.90780870684867;-5385.970870645019
2;75.16932566114079;42592.666995595886;21391.874334511933;16006.0;21391.874334511933;630.316984915721;1304.220986065022;1304.220986065022;6637.136338479259;6637.136338520182;6637.136338520182;0.0;13450.517009926705;13450.517009926705;1010.8928189000001;0.0;13700.0;0.0;0.0;15403.0;-8540.232471476369;-8201.705759999999;-338.52671147637;0.0;16006.0;261.8880500988388;-5385.970870645019
3;72.11003108914288;42592.666995595886;21391.874334511933;16006.0;21391.874334511933;534.6919974969195;1304.220986065022;1304.220986065022;6513.849643173202;6637.136338520182;6637.136338520182;0.0;13450.517009926705;13450.517009926705;1138.9221822;0.0;13700.0;0.0;0.0;15403.0;-8566.192843254861;-8226.511199999999;-339.6816432548617;0.0;16006.0;378.72927474254766;-5385.970870645019
4;70.52073106620418;42592.666995595886;21391.874334511933;16006.0;21391.874334511933;485.0277604301413;1304.220986065022;1304.220986065022;6315.224124815722;6637.136338520182;6637.136338520182;0.0;13450.517009926705;13450.517009926705;1277.6298324;0.0;13700.0;0.0;0.0;15403.0;-8732.675739659453;-8386.32576;-346.3499796594534;0.0;16006.0;654.7943697443555;-5385.970870645019
5;70.21561731717394;42592.666995595886;21391.874334511933;16006.0;21391.874334511933;475.4960755203813;1304.220986065022;1304.220986065022;6277.169070602496;6637.136338520182;6637.136338520182;0.0;13450.517009926705;13450.517009926705;1465.214178;0.0;13700.0;0.0;0.0;15403.0;-9191.418959476634;-8826.861120000001;-364.5578394766329;0.0;16006.0;973.5402027641082;-5385.970870645019
6;72.15468761837552;42592.666995595886;21391.874334511933;16006.0;21391.874334511933;536.0947385480806;1304.220986065022;1304.220986065022;6519.62630860752;6637.136338520182;6637.136338520182;0.0;13450.517009926705;13450.517009926705;1734.5955107;0.0;13700.0;0.0;0.0;15403.0;-10070.212121635304;-9670.89264;-399.3194816353041;0.0;16006.0;1279.8963239185084;-5385.970870645019
7;86.65438542455442;42592.666995595886;21391.874334511933;16006.0;21391.874334511933;989.2261694054515;1304.220986065022;1304.220986065022;6637.136338520181;6637.136338520182;6637.136338520182;0.0;13450.517009926705;13450.517009926705;1995.2434359;0.0;13700.0;0.0;0.0;15403.0;-11852.43094268008;-11383.265759999998;-469.16518268008167;0.0;16006.0;2230.826757600674;-5385.970870645019
8;118.63264182783891;42592.666995595886;21391.874334511933;16006.0;21391.874334511933;1304.2209860650241;1304.220986065022;1304.220986065022;6637.136338520184;6637.136338520182;6637.136338520182;465.83469975958985;13450.517009926705;13450.517009926705;2149.0095644;0.0;13700.0;20.447852172;0.0;15403.0;-13007.803663825684;-12494.90304;-512.9006238256851;0.0;16006.0;2431.1561337785106;-5385.970870645019
9;133.39419830839014;42592.666995595886;21391.874334511933;16006.0;21391.874334511933;1304.2209860649996;1304.220986065022;1304.220986065022;6637.136338520185;6637.136338520182;6637.136338520182;834.8736123454177;13450.517009926705;13450.517009926705;2246.6039803999997;0.0;13700.0;202.589528606;0.0;15403.0;-13600.318421511061;-13065.01968;-535.2987415110624;0.0;16006.0;2374.895886257846;-5385.970870645019
10;109.09075154199765;42592.666995595886;21391.874334511933;16006.0;21391.874334511933;1304.220986065024;1304.220986065022;1304.220986065022;6637.136338520184;6637.136338520182;6637.136338520182;227.28744366852212;13450.517009926705;13450.517009926705;2266.9740994;0.0;13700.0;533.144624314;0.0;15403.0;-13743.601902921802;-13201.0584;-542.5435029218019;0.0;16006.0;2774.8403216182055;-5385.970870645019
11;79.84626050208078;42592.666995595886;21391.874334511933;16006.0;21391.874334511933;776.4722691958864;1304.220986065022;1304.220986065022;6637.136338520196;6637.136338520182;6637.136338520182;0.0;13450.517009926705;13450.517009926705;2229.3351441;0.0;13700.0;901.557444467;0.0;15403.0;-13905.892108514448;-13354.988159999999;-550.9039485144494;0.0;16006.0;3361.3926706753164;-5385.970870645019
12;572.5731146670752;42592.666995595886;21391.874334511933;16006.0;21391.874334511933;1304.2209860650053;1304.220986065022;1304.220986065022;6637.13633852018;6637.136338520182;6637.136338520182;11814.014309556185;13450.517009926705;13450.517009926705;1370.137;0.0;13700.0;0.0;0.0;15403.0;-18945.615618521864;-18240.00959999999;-705.6060185218748;7.275957614183426e-12;16006.0;-2179.9119897584856;-5385.970870645019
13;70.21954689568537;42592.666995595886;21391.874334511933;16006.0;21391.874334511933;475.6465868338357;1304.220986065022;1304.220986065022;6278.408486717724;6637.136338520182;6637.136338520182;0.0;13450.517009926705;13450.517009926705;2228.119228;0.0;13700.0;1285.980651119;0.0;15403.0;-13876.78117260968;-13326.3888;-550.3923726096807;0.0;16006.0;3608.6287414722246;-5385.970870645019
