Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_B_MidMerit;new_capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_Baseload;new_capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_Peak;new_capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Gen_B_PV;new_capacity_Gen_B_PV;Capacity_Gen_B_PV;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;ENS_Cons_B;CapDemand_Cons_B;NetworkManager;CapacityManager
1;86.69208194254088;45406.872598158996;11364.333386963082;14829.0;11364.333386963082;990.3642982342075;1415.763576024532;1415.763576024532;6835.356034386726;6835.356034395675;6835.356034395675;0.0;3113.2137765549064;3113.2137765549064;424.55263299999996;0.0;5315.0;0.0;0.0;8788.0;-8111.784838383252;-7790.6903999999995;-321.0944383832524;0.0;14829.0;-138.4886420101835;3464.6666130346757
2;75.16038186457035;45406.872598158996;11364.333386963082;14829.0;11364.333386963082;629.9978925787048;1415.763576024532;1415.763576024532;6835.356034372653;6835.356034395675;6835.356034395675;0.0;3113.2137765549064;3113.2137765549064;590.04391712;0.0;5315.0;0.0;0.0;8788.0;-7746.150388244563;-7439.099999999999;-307.0503882445638;0.0;14829.0;-309.24800353224805;3464.6666130346757
3;72.10883430325993;45406.872598158996;11364.333386963082;14829.0;11364.333386963082;534.649206194233;1415.763576024532;1415.763576024532;6513.566387015477;6835.356034395675;6835.356034395675;0.0;3113.2137765549064;3113.2137765549064;805.7575504199999;0.0;5315.0;0.0;0.0;8788.0;-7399.801082644249;-7106.3712;-293.4298826442489;0.0;14829.0;-454.1721157071632;3464.6666130346757
4;70.51910336207231;45406.872598158996;11364.333386963082;14829.0;11364.333386963082;484.9695603725748;1415.763576024532;1415.763576024532;6314.8388919730005;6835.356034395675;6835.356034395675;0.0;3113.2137765549064;3113.2137765549064;1017.8963785;0.0;5315.0;0.0;0.0;8788.0;-7269.051061225062;-6980.7504;-288.300661225062;0.0;14829.0;-548.6538409244178;3464.6666130346757
5;70.21296196596727;45406.872598158996;11364.333386963082;14829.0;11364.333386963082;475.4011311564405;1415.763576024532;1415.763576024532;6276.540626836948;6835.356034395675;6835.356034395675;0.0;3113.2137765549064;3113.2137765549064;1277.357707705;0.0;5315.0;0.0;0.0;8788.0;-7244.280894879413;-6956.951999999999;-287.32889487941344;0.0;14829.0;-785.0186866620302;3464.6666130346757
6;72.15112790300947;45406.872598158996;11364.333386963082;14829.0;11364.333386963082;535.9674585540984;1415.763576024532;1415.763576024532;6518.783833092151;6835.356034395675;6835.356034395675;0.0;3113.2137765549064;3113.2137765549064;1485.4467449600002;0.0;5315.0;0.0;0.0;8788.0;-7468.162346191271;-7172.0232;-296.13914619127183;0.0;14829.0;-1072.035846256671;3464.6666130346757
7;86.64543345827671;45406.872598158996;11364.333386963082;14829.0;11364.333386963082;988.9065323938023;1415.763576024532;1415.763576024532;6835.356034379428;6835.356034395675;6835.356034395675;0.0;3113.2137765549064;3113.2137765549064;1671.11196198;0.0;5315.0;0.0;0.0;8788.0;-7854.155892244556;-7543.2576;-310.8982922445559;0.0;14829.0;-1641.219150737077;3464.6666130346757
8;118.62277609860823;45406.872598158996;11364.333386963082;14829.0;11364.333386963082;1415.7635760244414;1415.763576024532;1415.763576024532;6835.356034379428;6835.356034395675;6835.356034395675;310.3752296331737;3113.2137765549064;3113.2137765549064;1879.6509777649999;0.0;5315.0;0.5422195999999999;0.0;8788.0;-8134.177644547699;-7813.4448;-320.73284454769833;0.0;14829.0;-2307.5110759266086;3464.6666130346757
9;133.38433246850857;45406.872598158996;11364.333386963082;14829.0;11364.333386963082;1415.7635760244402;1415.763576024532;1415.763576024532;6835.356034379428;6835.356034395675;6835.356034395675;556.401169470269;3113.2137765549064;3113.2137765549064;1953.072111385;0.0;5315.0;284.89188858;0.0;8788.0;-8398.477636760703;-8067.9192;-330.5584367607025;0.0;14829.0;-2647.0078260949913;3464.6666130346757
10;109.08088564410345;45406.872598158996;11364.333386963082;14829.0;11364.333386963082;1415.7635760244414;1415.763576024532;1415.763576024532;6835.356034379428;6835.356034395675;6835.356034395675;151.34372224004383;3113.2137765549064;3113.2137765549064;1952.122161435;0.0;5315.0;1192.60779196;0.0;8788.0;-9003.089497083682;-8647.6824;-355.4070970836822;0.0;14829.0;-2544.1044722919196;3464.6666130346757
11;79.83730818264202;45406.872598158996;11364.333386963082;14829.0;11364.333386963082;776.1526196592788;1415.763576024532;1415.763576024532;6835.356034379428;6835.356034395675;6835.356034395675;0.0;3113.2137765549064;3113.2137765549064;2001.56955704;0.0;5315.0;2332.255343444;0.0;8788.0;-9386.846401710936;-9014.971199999998;-371.8752017109388;0.0;14829.0;-2558.487667047246;3464.6666130346757
12;502.7383553553702;45406.872598158996;11364.333386963082;14829.0;11364.333386963082;1415.7635760244445;1415.763576024532;1415.763576024532;6835.356034379177;6835.356034395675;6835.356034395675;3113.213776554901;3113.2137765549064;3113.2137765549064;531.55315;0.0;5315.0;882.985821068;0.0;8788.0;-14363.812803726765;-13824.009599999987;-539.803203726778;1.2732925824820995e-11;14829.0;1584.9404456840134;3464.6666130346757
13;70.20772975086739;45406.872598158996;11364.333386963082;14829.0;11364.333386963082;475.22406087158214;1415.763576024532;1415.763576024532;6275.611833604559;6835.356034395675;6835.356034395675;0.0;3113.2137765549064;3113.2137765549064;2309.578330105;0.0;5315.0;3377.281400428;0.0;8788.0;-9521.886276842191;-9144.2208;-377.66547684219273;0.0;14829.0;-2915.809865100367;3464.6666130346757
14;70.32666597664678;45406.872598158996;11364.333386963082;14829.0;11364.333386963082;478.94079785271236;1415.763576024532;1415.763576024532;6290.478402944276;6835.356034395675;6835.356034395675;0.0;3113.2137765549064;3113.2137765549064;2473.819675045;0.0;5315.0;3304.9504042880003;0.0;8788.0;-9457.835640631465;-9082.716;-375.11964063146513;0.0;14829.0;-3090.3541568532164;3464.6666130346757
15;72.46804694331767;45406.872598158996;11364.333386963082;14829.0;11364.333386963082;545.8618445074069;1415.763576024532;1415.763576024532;6558.209497524256;6835.356034395675;6835.356034395675;0.0;3113.2137765549064;3113.2137765549064;2667.884452315;0.0;5315.0;2613.375070904;0.0;8788.0;-9284.894490268794;-8916.7296;-368.16489026879447;0.0;14829.0;-3100.436806548748;3464.6666130346757
16;79.88643637052368;45406.872598158996;11364.333386963082;14829.0;11364.333386963082;777.6878764099345;1415.763576024532;1415.763576024532;6835.356034379428;6835.356034395675;6835.356034395675;0.0;3113.2137765549064;3113.2137765549064;2822.4763084549995;0.0;5315.0;1431.583804196;0.0;8788.0;-9088.288395375357;-8728.243199999999;-360.04519537535833;0.0;14829.0;-2778.816142109399;3464.6666130346757
17;107.92265758097251;45406.872598158996;11364.333386963082;14829.0;11364.333386963082;1415.7635760244375;1415.763576024532;1415.763576024532;6835.356034379428;6835.356034395675;6835.356034395675;132.0399217791629;3113.2137765549064;3113.2137765549064;2929.87065101;0.0;5315.0;307.25238336;0.0;8788.0;-9237.345216148606;-8872.6392;-364.7060161486055;0.0;14829.0;-2382.938033694252;3464.6666130346757
18;4654.1736794116405;45406.872598158996;11364.333386963082;14829.0;11364.333386963082;1415.7635760244357;1415.763576024532;1415.763576024532;6835.356034379177;6835.356034395675;6835.356034395675;3113.213776554914;3113.2137765549064;3113.2137765549064;531.55315;0.0;5315.0;0.0050003719999999995;0.0;8788.0;-14064.909106249394;-13824.009599999972;-240.8995062494213;2.7284841053187847e-11;14829.0;2169.087559041385;3464.6666130346757
19;8000.006248097014;45406.872598158996;11364.333386963082;14829.0;11364.333386963082;1415.7635760245178;1415.763576024532;1415.763576024532;6835.3560343836525;6835.356034395675;6835.356034395675;3113.213776554914;3113.2137765549064;3113.2137765549064;531.55315;0.0;5315.0;0.0;0.0;8788.0;-15356.858283086214;-15356.8552181187;-0.0030649675141598363;3.154381881298832;14829.0;3460.9727084863252;3464.6666130346757
20;125.97802732950012;45406.872598158996;11364.333386963082;14829.0;11364.333386963082;1415.7635760245191;1415.763576024532;1415.763576024532;6835.356034384211;6835.356034395675;6835.356034395675;432.96275082838;3113.2137765549064;3113.2137765549064;3184.90721614;0.0;5315.0;0.0;0.0;8788.0;-9867.068415273756;-9478.356;-388.7124152737553;0.0;14829.0;-2001.9218457123045;3464.6666130346757
21;98.05802039988481;45406.872598158996;11364.333386963082;14829.0;11364.333386963082;1345.5499780131681;1415.763576024532;1415.763576024532;6835.356034384211;6835.356034395675;6835.356034395675;0.0;3113.2137765549064;3113.2137765549064;3260.153249695;0.0;5315.0;0.0;0.0;8788.0;-9405.55628775724;-9033.7632;-371.7930877572392;0.0;14829.0;-2035.5035254045918;3464.6666130346757
22;80.23599024673914;45406.872598158996;11364.333386963082;14829.0;11364.333386963082;788.6114349017994;1415.763576024532;1415.763576024532;6835.35603438421;6835.356034395675;6835.356034395675;0.0;3113.2137765549064;3113.2137765549064;3343.848841705;0.0;5315.0;0.0;0.0;8788.0;-9063.245049337225;-8704.207199999999;-359.0378493372263;0.0;14829.0;-1904.5717759738345;3464.6666130346757
23;72.75518590997893;45406.872598158996;11364.333386963082;14829.0;11364.333386963082;554.8407756617913;1415.763576024532;1415.763576024532;6594.220224145663;6835.356034395675;6835.356034395675;0.0;3113.2137765549064;3113.2137765549064;3435.394019025;0.0;5315.0;0.0;0.0;8788.0;-8836.381867531782;-8486.0136;-350.3682675317815;0.0;14829.0;-1748.0734104466826;3464.6666130346757
24;69.401370996868;45406.872598158996;11364.333386963082;14829.0;11364.333386963082;450.03494006251736;1415.763576024532;1415.763576024532;6175.011219435525;6835.356034395675;6835.356034395675;0.0;3113.2137765549064;3113.2137765549064;3506.86525454;0.0;5315.0;0.0;0.0;8788.0;-8601.749098257687;-8260.5456;-341.20349825768716;0.0;14829.0;-1530.162548929507;3464.6666130346757
