Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_A_MidMerit;new_capacity_Gen_A_MidMerit;Capacity_Gen_A_MidMerit;Gen_A_Baseload;new_capacity_Gen_A_Baseload;Capacity_Gen_A_Baseload;Gen_A_Peak;new_capacity_Gen_A_Peak;Capacity_Gen_A_Peak;Gen_A_WindOnshore;new_capacity_Gen_A_WindOnshore;Capacity_Gen_A_WindOnshore;Gen_A_PV;new_capacity_Gen_A_PV;Capacity_Gen_A_PV;Cons_A;Inelastic_Cons_A;Elastic_Cons_A;ENS_Cons_A;CapDemand_Cons_A;NetworkManager;CapacityManager
1;77.24158716667006;0.0;0.0;0.0;0.0;695.2170443646294;1630.7674153888836;1630.7674153888836;7154.5470076622;8654.665764278612;8654.665764278612;0.0;4523.668074420205;4523.668074420205;886.0567338000001;0.0;13700.0;0.0;0.0;15403.0;-8735.82009130248;-6994.058400000001;-1741.7616913024788;0.0;0.0;-6.748891773558725e-13;0.0
2;75.1701771008791;0.0;0.0;0.0;0.0;630.4775318480953;1630.7674153888836;1630.7674153888836;6895.651683103057;8654.665764278612;8654.665764278612;0.0;4523.668074420205;4523.668074420205;1010.8928189000001;0.0;13700.0;0.0;0.0;15403.0;-8537.021372301026;-6834.7548;-1702.2665723010255;0.0;0.0;-5.555812097744602e-13;0.0
3;74.51634401718063;0.0;0.0;0.0;0.0;610.0426000752441;1630.7674153888836;1630.7674153888836;6813.932846257768;8654.665764278612;8654.665764278612;0.0;4523.668074420205;4523.668074420205;1138.9221822;0.0;13700.0;0.0;0.0;15403.0;-8562.896977964638;-6855.4259999999995;-1707.4709779646382;0.0;0.0;1.2236365915640721e-12;0.0
4;74.69315877584634;0.0;0.0;0.0;0.0;615.568386131565;1630.7674153888836;1630.7674153888836;6836.033415145378;8654.665764278612;8654.665764278612;0.0;4523.668074420205;4523.668074420205;1277.6298324;0.0;13700.0;0.0;0.0;15403.0;-8729.230981754647;-6988.6048;-1740.6261817546465;0.0;0.0;3.32625144397439e-13;0.0
5;76.42641771862911;0.0;0.0;0.0;0.0;669.7386528908872;1630.7674153888836;1630.7674153888836;7052.667699561767;8654.665764278612;8654.665764278612;0.0;4523.668074420205;4523.668074420205;1465.214178;0.0;13700.0;0.0;0.0;15403.0;-9187.619853936987;-7355.717600000001;-1831.902253936986;0.0;0.0;-3.970162473100459e-13;0.0
6;80.32271447211568;0.0;0.0;0.0;0.0;791.5126356829222;1630.7674153888836;1630.7674153888836;7539.647496113845;8654.665764278612;8654.665764278612;0.0;4523.668074420205;4523.668074420205;1734.5955107;0.0;13700.0;0.0;0.0;15403.0;-10065.75490492983;-8059.0772;-2006.677704929831;0.0;0.0;-5.667771567033995e-13;0.0
7;93.2710052846131;0.0;0.0;0.0;0.0;1196.602791854083;1630.7674153888836;1630.7674153888836;8654.665764262401;8654.665764278612;8654.665764278612;0.0;4523.668074420205;4523.668074420205;1995.2434359;0.0;13700.0;0.0;0.0;15403.0;-11846.508784392377;-9486.0548;-2360.453984392378;0.0;0.0;-2.2661855062884272e-12;0.0
8;121.78335202777521;0.0;0.0;0.0;0.0;1630.7674153728308;1630.7674153888836;1630.7674153888836;8654.665764278596;8654.665764278612;8654.665764278612;544.7845812578533;4523.668074420205;4523.668074420205;2149.0095644;0.0;13700.0;20.447852172;0.0;15403.0;-12999.673230155673;-10412.4192;-2587.254030155672;0.0;0.0;-3.291214050890519e-13;0.0
9;134.25196377574468;0.0;0.0;0.0;0.0;1630.7674153727685;1630.7674153888836;1630.7674153888836;8654.665764278596;8654.665764278612;8654.665764278612;856.4998478178418;4523.668074420205;4523.668074420205;2246.6039803999997;0.0;13700.0;202.589528606;0.0;15403.0;-13591.124589412817;-10887.5164;-2703.608189412817;0.0;0.0;2.20057036974155e-12;0.0
10;125.92144716871552;0.0;0.0;0.0;0.0;1630.7674153797864;1630.7674153888836;1630.7674153888836;8654.665764278596;8654.665764278612;8654.665764278612;648.2369261496899;4523.668074420205;4523.668074420205;2266.9740994;0.0;13700.0;533.144624314;0.0;15403.0;-13733.786882514883;-11000.882000000001;-2732.9048825148816;0.0;0.0;-1.2433721269001783e-12;0.0
11;119.13392626716751;0.0;0.0;0.0;0.0;1630.7674153798139;1630.7674153888836;1630.7674153888836;8654.665764278594;8654.665764278612;8654.665764278612;478.54889628398723;4523.668074420205;4523.668074420205;2229.3351441;0.0;13700.0;901.557444467;0.0;15403.0;-13894.872717573257;-11129.1568;-2765.7159175732563;0.0;0.0;1.4700132832495187e-12;0.0
12;14846.13185188296;0.0;0.0;0.0;0.0;1630.767415368077;1630.7674153888836;1630.7674153888836;8654.665764278596;8654.665764278612;8654.665764278612;4523.668074420203;4523.668074420205;4523.668074420205;1370.137;0.0;13700.0;0.0;0.0;15403.0;-16179.24358282289;-15200.008;-979.2355828228893;0.0;0.0;2.449735112927956e-8;0.0
13;105.18142015242475;0.0;0.0;0.0;0.0;1568.5540875053114;1630.7674153888836;1630.7674153888836;8654.665764278594;8654.665764278612;8654.665764278612;129.73626375023792;4523.668074420205;4523.668074420205;2228.119228;0.0;13700.0;1285.980651119;0.0;15403.0;-13867.054047595057;-11105.324;-2761.7300475950556;0.0;0.0;4.888454722360815e-14;0.0
14;105.68122787352885;0.0;0.0;0.0;0.0;1584.1730824315457;1630.7674153888836;1630.7674153888836;8654.665764278594;8654.665764278612;8654.665764278612;142.2314581257397;4523.668074420205;4523.668074420205;2230.9175352;0.0;13700.0;1161.147561321;0.0;15403.0;-13773.133454283034;-11030.1636;-2742.9698542830333;0.0;0.0;-6.028089559552308e-13;0.0
15;106.56257840106298;0.0;0.0;0.0;0.0;1611.715296742752;1630.7674153888836;1630.7674153888836;8654.665764278594;8654.665764278612;8654.665764278612;164.26522597569328;4523.668074420205;4523.668074420205;2222.7375803;0.0;13700.0;824.351508879;0.0;15403.0;-13477.733429051876;-10793.688800000002;-2684.0446290518735;0.0;0.0;1.8729847913909517e-12;0.0
