Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_B_MidMerit;new_capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_Baseload;new_capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_Peak;new_capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Gen_B_PV;new_capacity_Gen_B_PV;Capacity_Gen_B_PV;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;ENS_Cons_B;CapDemand_Cons_B;NetworkManager;CapacityManager
1;155.41708046981717;0.0;0.0;0.0;0.0;1228.322158545383;1228.322158545394;1228.322158545394;5526.163006644862;5526.16300664424;5526.16300664424;923.6530140619992;5499.602372963986;5499.602372963986;424.55263299999996;0.0;5315.0;0.0;0.0;8788.0;-8102.68992606077;-6492.242;-1610.4479260607695;0.0;0.0;-1.0585866190626317e-13;0.0
2;123.69484565979351;0.0;0.0;0.0;0.0;1228.3221585453675;1228.322158545394;1228.322158545394;5526.16300664404;5526.16300664424;5526.16300664424;394.9491057622752;5499.602372963986;5499.602372963986;590.04391712;0.0;5315.0;0.0;0.0;8788.0;-7739.477301748556;-6199.25;-1540.227301748556;0.0;0.0;-3.744612837895125e-13;0.0
3;89.03795044654957;0.0;0.0;0.0;0.0;1063.9595821668606;1228.322158545394;1228.322158545394;5526.163006644033;5526.16300664424;5526.16300664424;0.0;5499.602372963986;5499.602372963986;805.7575504199999;0.0;5315.0;0.0;0.0;8788.0;-7395.878983297219;-5921.976000000001;-1473.9029832972185;0.0;0.0;-1.2368138756115717e-13;0.0
4;78.09134798787751;0.0;0.0;0.0;0.0;721.8782596680649;1228.322158545394;1228.322158545394;5526.163006644008;5526.16300664424;5526.16300664424;0.0;5499.602372963986;5499.602372963986;1017.8963785;0.0;5315.0;0.0;0.0;8788.0;-7265.936488865036;-5817.292;-1448.6444888650362;0.0;0.0;1.932096356619825e-13;0.0
5;69.01696825201947;0.0;0.0;0.0;0.0;438.3038937618053;1228.322158545394;1228.322158545394;5526.163006643919;5526.16300664424;5526.16300664424;0.0;5499.602372963986;5499.602372963986;1277.357707705;0.0;5315.0;0.0;0.0;8788.0;-7241.823452161937;-5797.46;-1444.3634521619367;0.0;0.0;-7.884896629433501e-14;0.0
6;69.52100644484752;0.0;0.0;0.0;0.0;454.05507976726653;1228.322158545394;1228.322158545394;5526.163006643953;5526.16300664424;5526.16300664424;0.0;5499.602372963986;5499.602372963986;1485.4467449600002;0.0;5315.0;0.0;0.0;8788.0;-7465.663675453923;-5976.686000000001;-1488.9776754539223;0.0;0.0;-3.516196962293737e-13;0.0
7;75.92948343663693;0.0;0.0;0.0;0.0;654.3199727890919;1228.322158545394;1228.322158545394;5526.163006644005;5526.16300664424;5526.16300664424;0.0;5499.602372963986;5499.602372963986;1671.11196198;0.0;5315.0;0.0;0.0;8788.0;-7851.593785550217;-6286.048000000001;-1565.5457855502164;0.0;0.0;-6.172831483892599e-13;0.0
8;78.23228818992949;0.0;0.0;0.0;0.0;726.2826118640445;1228.322158545394;1228.322158545394;5526.163006644008;5526.16300664424;5526.16300664424;0.0;5499.602372963986;5499.602372963986;1879.6509777649999;0.0;5315.0;0.5422195999999999;0.0;8788.0;-8132.637660049083;-6511.204000000001;-1621.4336600490824;0.0;0.0;-4.016750200853245e-13;0.0
9;75.26744012519444;0.0;0.0;0.0;0.0;633.6311009563625;1228.322158545394;1228.322158545394;5526.163006644003;5526.16300664424;5526.16300664424;0.0;5499.602372963986;5499.602372963986;1953.072111385;0.0;5315.0;284.89188858;0.0;8788.0;-8397.756951780437;-6723.2660000000005;-1674.490951780436;0.0;0.0;-3.3819092802067024e-14;0.0
10;65.589721100319;0.0;0.0;0.0;0.0;331.2023611462632;1228.322158545394;1228.322158545394;5526.163006179014;5526.16300664424;5526.16300664424;0.0;5499.602372963986;5499.602372963986;1952.122161435;0.0;5315.0;1192.60779196;0.0;8788.0;-9002.0941650196;-7206.402000000001;-1795.6921650195993;0.0;0.0;3.3111942106007177e-13;0.0
