Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_C_MidMerit;new_capacity_Gen_C_MidMerit;Capacity_Gen_C_MidMerit;Gen_C_Baseload;new_capacity_Gen_C_Baseload;Capacity_Gen_C_Baseload;Gen_C_Peak;new_capacity_Gen_C_Peak;Capacity_Gen_C_Peak;Gen_C_WindOnshore;new_capacity_Gen_C_WindOnshore;Capacity_Gen_C_WindOnshore;Gen_C_PV;new_capacity_Gen_C_PV;Capacity_Gen_C_PV;Cons_C;Inelastic_Cons_C;Elastic_Cons_C;ENS_Cons_C;CapDemand_Cons_C;NetworkManager;CapacityManager
1;89.65251416947613;0.0;0.0;0.0;0.0;1083.2103752689952;1674.9230820920593;1674.9230820920593;6942.6271746589855;6942.627174658882;6942.627174658882;0.0;4107.837378628997;4107.837378628997;748.4615387;0.0;8300.0;0.0;0.0;18662.0;-8774.29770361996;-7025.7369232;-1748.5607804199612;0.0;0.0;1.2805321534302514e-12;0.0
2;75.44474701905193;0.0;0.0;0.0;0.0;639.1661817309082;1674.9230820920593;1674.9230820920593;6929.551480154689;6942.627174658882;6942.627174658882;0.0;4107.837378628997;4107.837378628997;916.5384643;0.0;8300.0;0.0;0.0;18662.0;-8485.255015275605;-6793.329230400001;-1691.9257848756047;0.0;0.0;1.581487985550877e-12;0.0
3;72.5765683584315;0.0;0.0;0.0;0.0;549.5207744174684;1674.9230820920593;1674.9230820920593;6571.086837220464;6942.627174658882;6942.627174658882;0.0;4107.837378628997;4107.837378628997;1173.8461501000002;0.0;8300.0;0.0;0.0;18662.0;-8294.4527123263;-6640.381538400001;-1654.0711739262993;0.0;0.0;-1.127805713427831e-12;0.0
4;69.82547272819019;0.0;0.0;0.0;0.0;463.535343269982;1674.9230820920593;1674.9230820920593;6227.253158532085;6942.627174658882;6942.627174658882;0.0;4107.837378628997;4107.837378628997;1503.8461572;0.0;8300.0;0.0;0.0;18662.0;-8194.633666389032;-6560.287692;-1634.3459743890328;0.0;0.0;-4.397213987688517e-13;0.0
5;68.99160607555596;0.0;0.0;0.0;0.0;437.4731488872869;1674.9230820920593;1674.9230820920593;6123.034829165474;6942.627174658882;6942.627174658882;0.0;4107.837378628997;4107.837378628997;1802.5000025;0.0;8300.0;0.0;0.0;18662.0;-8363.007003945839;-6695.024615200001;-1667.9823887458379;0.0;0.0;-1.1818362640618919e-12;0.0
6;70.80421385737526;0.0;0.0;0.0;0.0;494.12520974493776;1674.9230820920593;1674.9230820920593;6349.579359633986;6942.627174658882;6942.627174658882;0.0;4107.837378628997;4107.837378628997;2037.3076914;0.0;8300.0;0.0;0.0;18662.0;-8881.011250678359;-7109.843076800001;-1771.1681738783582;0.0;0.0;-5.92497270140495e-14;0.0
7;75.14656584563905;0.0;0.0;0.0;0.0;629.8436569600917;1674.9230820920593;1674.9230820920593;6892.29564503719;6942.627174658882;6942.627174658882;0.0;4107.837378628997;4107.837378628997;2269.6153871;0.0;8300.0;0.0;0.0;18662.0;-9791.753596198025;-7839.293846400001;-1952.4597497980237;0.0;0.0;2.7299980033612516e-12;0.0
8;115.1831427375951;0.0;0.0;0.0;0.0;1674.9230820920538;1674.9230820920593;1674.9230820920593;6942.627174659002;6942.627174658882;6942.627174658882;189.81232238712457;4107.837378628997;4107.837378628997;2469.4230798999997;0.0;8300.0;0.0;0.0;18662.0;-11276.784512562886;-9031.830768;-2244.9537445628866;0.0;0.0;5.107164657459014e-13;0.0
9;161.1966879041029;0.0;0.0;0.0;0.0;1674.923082092054;1674.9230820920593;1674.9230820920593;6942.627174659004;6942.627174658882;6942.627174658882;764.981625853797;4107.837378628997;4107.837378628997;2599.8076886;0.0;8300.0;76.921815404;0.0;18662.0;-12059.26024068678;-9662.984616;-2396.2756246867807;0.0;0.0;-1.3620959766162775e-12;0.0
10;105.30403430475297;0.0;0.0;0.0;0.0;1572.2654550147984;1674.9230820920593;1674.9230820920593;6942.627174659;6942.627174658882;6942.627174658882;66.32345728028443;4107.837378628997;4107.837378628997;2720.5769216;0.0;8300.0;682.104143322;0.0;18662.0;-11983.896005887365;-9597.223080000002;-2386.672925887364;0.0;0.0;4.2897530057581794e-13;0.0
