Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_C_MidMerit;new_capacity_Gen_C_MidMerit;Capacity_Gen_C_MidMerit;Gen_C_Baseload;new_capacity_Gen_C_Baseload;Capacity_Gen_C_Baseload;Gen_C_Peak;new_capacity_Gen_C_Peak;Capacity_Gen_C_Peak;Gen_C_WindOnshore;new_capacity_Gen_C_WindOnshore;Capacity_Gen_C_WindOnshore;Gen_C_PV;new_capacity_Gen_C_PV;Capacity_Gen_C_PV;Cons_C;Inelastic_Cons_C;Elastic_Cons_C;ENS_Cons_C;CapDemand_Cons_C;NetworkManager;CapacityManager
1;86.6659385861065;69815.13164817225;15182.145792866588;15493.0;15182.145792866588;989.5110338607594;1585.4197957185977;1585.4197957185977;7136.0981899868475;7136.098189987029;7136.098189987029;0.0;6460.627807163732;6460.627807163732;748.4615387;0.0;8300.0;0.0;0.0;18662.0;-8774.560008687668;-8430.884307839999;-343.6757008476683;0.0;15493.0;-99.51133769342056;310.89210861223546
2;75.20905032866459;69815.13164817225;15182.145792866588;15493.0;15182.145792866588;631.4772955919968;1585.4197957185977;1585.4197957185977;6899.577470617617;7136.098189987029;7136.098189987029;0.0;6460.627807163732;6460.627807163732;916.5384643;0.0;8300.0;0.0;0.0;18662.0;-8485.275046374105;-8151.99507648;-333.27996989410536;0.0;15493.0;37.6811548149283;310.89210861223546
3;72.0903705942182;69815.13164817225;15182.145792866588;15493.0;15182.145792866588;534.072328026549;1585.4197957185977;1585.4197957185977;6511.229444045599;7136.098189987029;7136.098189987029;0.0;6460.627807163732;6460.627807163732;1173.8461501000002;0.0;8300.0;0.0;0.0;18662.0;-8294.493078592439;-7968.45784608;-326.0352325124386;0.0;15493.0;75.3451385952463;310.89210861223546
4;70.49673184487594;69815.13164817225;15182.145792866588;15493.0;15182.145792866588;484.2492330490063;1585.4197957185977;1585.4197957185977;6311.396380839398;7136.098189987029;7136.098189987029;0.0;6460.627807163732;6460.627807163732;1503.8461572;0.0;8300.0;0.0;0.0;18662.0;-8194.578632100793;-7872.345230399999;-322.2334017007931;0.0;15493.0;-104.91342173012696;310.89210861223546
5;70.18919910679715;69815.13164817225;15182.145792866588;15493.0;15182.145792866588;474.63211990312743;1585.4197957185977;1585.4197957185977;6272.758489658142;7136.098189987029;7136.098189987029;0.0;6460.627807163732;6460.627807163732;1802.5000025;0.0;8300.0;0.0;0.0;18662.0;-8362.90679225427;-8034.029538240001;-328.8772540142705;0.0;15493.0;-186.98418311334376;310.89210861223546
6;72.12666796559215;69815.13164817225;15182.145792866588;15493.0;15182.145792866588;535.1815634831626;1585.4197957185977;1585.4197957185977;6515.039028427323;7136.098189987029;7136.098189987029;0.0;6460.627807163732;6460.627807163732;2037.3076914;0.0;8300.0;0.0;0.0;18662.0;-8880.893733096651;-8531.811692160001;-349.08204093664915;0.0;15493.0;-206.634869670285;310.89210861223546
7;86.60150831581996;69815.13164817225;15182.145792866588;15493.0;15182.145792866588;987.497543721922;1585.4197957185977;1585.4197957185977;7136.098189986655;7136.098189987029;7136.098189987029;0.0;6460.627807163732;6460.627807163732;2269.6153871;0.0;8300.0;0.0;0.0;18662.0;-9790.631131069871;-9407.152615680001;-383.47851538987067;0.0;15493.0;-602.5805740614147;310.89210861223546
8;118.46650612165375;69815.13164817225;15182.145792866588;15493.0;15182.145792866588;1585.4197957158783;1585.4197957185977;1585.4197957185977;7136.098189986659;7136.098189987029;7136.098189987029;230.82013650478135;6460.627807163732;6460.627807163732;2469.4230798999997;0.0;8300.0;0.0;0.0;18662.0;-11276.413852633927;-10838.1969216;-438.21693103392744;0.0;15493.0;-145.3481818154305;310.89210861223546
9;133.16401074940512;69815.13164817225;15182.145792866588;15493.0;15182.145792866588;1585.419795715074;1585.4197957185977;1585.4197957185977;7136.098189986656;7136.098189987029;7136.098189987029;414.538944106758;6460.627807163732;6460.627807163732;2599.8076886;0.0;8300.0;76.921815404;0.0;18662.0;-12062.646259027673;-11595.5815392;-467.06471982767255;0.0;15493.0;249.85899293378344;310.89210861223546
10;108.92994645737538;69815.13164817225;15182.145792866588;15493.0;15182.145792866588;1585.4197957155707;1585.4197957185977;1585.4197957185977;7136.098189986658;7136.098189987029;7136.098189987029;111.61314072698477;6460.627807163732;6460.627807163732;2720.5769216;0.0;8300.0;682.104143322;0.0;18662.0;-11983.461048831907;-11516.667696;-466.7933528319066;0.0;15493.0;-252.35197478966106;310.89210861223546
