Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_A_MidMerit;new_capacity_Gen_A_MidMerit;Capacity_Gen_A_MidMerit;Gen_A_Baseload;new_capacity_Gen_A_Baseload;Capacity_Gen_A_Baseload;Gen_A_Peak;new_capacity_Gen_A_Peak;Capacity_Gen_A_Peak;Gen_A_WindOnshore;new_capacity_Gen_A_WindOnshore;Capacity_Gen_A_WindOnshore;Gen_A_PV;new_capacity_Gen_A_PV;Capacity_Gen_A_PV;Cons_A;Inelastic_Cons_A;Elastic_Cons_A;ENS_Cons_A;CapDemand_Cons_A;NetworkManager;CapacityManager
1;86.77178374385589;0.0;0.0;0.0;0.0;992.9259654416744;1301.0921005001624;1301.0921005001624;6633.696295979819;6633.6962959798775;6633.6962959798775;0.0;10346.620407844743;10346.620407844743;886.0567338000001;0.0;13700.0;0.0;0.0;15403.0;-8734.986930725914;-6994.058400000001;-1740.928530725914;0.0;0.0;222.31055801901374;0.0
2;75.08786030116752;0.0;0.0;0.0;0.0;627.7996663063002;1301.0921005001624;1301.0921005001624;6633.696295960733;6633.6962959798775;6633.6962959798775;0.0;10346.620407844743;10346.620407844743;1010.8928189000001;0.0;13700.0;0.0;0.0;15403.0;-8537.028426941455;-6834.7548;-1702.273626941456;0.0;0.0;264.64211056213367;0.0
3;72.09255999849167;0.0;0.0;0.0;0.0;534.1503556716823;1301.0921005001624;1301.0921005001624;6511.80914742172;6633.6962959798775;6633.6962959798775;0.0;10346.620407844743;10346.620407844743;1138.9221822;0.0;13700.0;0.0;0.0;15403.0;-8563.104687175992;-6855.4259999999995;-1707.6786871759932;0.0;0.0;378.2233587587678;0.0
4;70.50428431049613;0.0;0.0;0.0;0.0;484.52048522840573;1301.0921005001624;1301.0921005001624;6313.399768864592;6633.6962959798775;6633.6962959798775;0.0;10346.620407844743;10346.620407844743;1277.6298324;0.0;13700.0;0.0;0.0;15403.0;-8729.596921206516;-6988.6048;-1740.9921212065153;0.0;0.0;654.0473596365268;0.0
5;70.19968246359115;0.0;0.0;0.0;0.0;475.0080675912841;1301.0921005001624;1301.0921005001624;6275.523581975513;6633.6962959798775;6633.6962959798775;0.0;10346.620407844743;10346.620407844743;1465.214178;0.0;13700.0;0.0;0.0;15403.0;-9188.192392633842;-7355.717600000001;-1832.4747926338418;0.0;0.0;972.4473794387142;0.0
6;72.13816880306915;0.0;0.0;0.0;0.0;535.5928563361409;1301.0921005001624;1301.0921005001624;6518.051018988953;6633.6962959798775;6633.6962959798775;0.0;10346.620407844743;10346.620407844743;1734.5955107;0.0;13700.0;0.0;0.0;15403.0;-10066.579420193768;-8059.0772;-2007.5022201937686;0.0;0.0;1278.3411705127696;0.0
7;86.70732418391373;0.0;0.0;0.0;0.0;990.911594604155;1301.0921005001624;1301.0921005001624;6633.696295979814;6633.6962959798775;6633.6962959798775;0.0;10346.620407844743;10346.620407844743;1995.2434359;0.0;13700.0;0.0;0.0;15403.0;-11847.287142838157;-9486.0548;-2361.232342838157;0.0;0.0;2227.4384384291175;0.0
8;118.81610469582441;0.0;0.0;0.0;0.0;1301.0921004999605;1301.0921005001624;1301.0921005001624;6633.696295979817;6633.6962959798775;6633.6962959798775;470.4386599156732;10346.620407844743;10346.620407844743;2149.0095644;0.0;13700.0;20.447852172;0.0;15403.0;-13000.059487668963;-10412.4192;-2587.6402876689617;0.0;0.0;2425.3777311760637;0.0
9;133.51351338529938;0.0;0.0;0.0;0.0;1301.092100499801;1301.0921005001624;1301.0921005001624;6633.696295979817;6633.6962959798775;6633.6962959798775;837.8738785155853;10346.620407844743;10346.620407844743;2246.6039803999997;0.0;13700.0;202.589528606;0.0;15403.0;-13591.225145361466;-10887.5164;-2703.708745361466;0.0;0.0;2369.3720779353803;0.0
10;109.27941088121162;0.0;0.0;0.0;0.0;1301.0921005000364;1301.0921005001624;1301.0921005001624;6633.696295979816;6633.6962959798775;6633.6962959798775;232.02131751995012;10346.620407844743;10346.620407844743;2266.9740994;0.0;13700.0;533.144624314;0.0;15403.0;-13736.075403917748;-11000.882000000001;-2735.1934039177468;0.0;0.0;2769.1496829010825;0.0
11;79.88719985119641;0.0;0.0;0.0;0.0;777.7827128378474;1301.0921005001624;1301.0921005001624;6633.696295979811;6633.6962959798775;6633.6962959798775;0.0;10346.620407844743;10346.620407844743;2229.3351441;0.0;13700.0;901.557444467;0.0;15403.0;-13900.33256238515;-11129.1568;-2771.1757623851504;0.0;0.0;3357.963587239436;0.0
