Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_B_MidMerit;new_capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_Baseload;new_capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_Peak;new_capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Gen_B_PV;new_capacity_Gen_B_PV;Capacity_Gen_B_PV;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;ENS_Cons_B;CapDemand_Cons_B;NetworkManager;CapacityManager
1;86.74816738220116;0.0;0.0;0.0;0.0;992.1047739055763;1423.8620424943144;1423.8620424943144;6849.896597989133;6849.896597986621;6849.896597986621;0.0;3786.9780004717495;3786.9780004717495;424.55263299999996;0.0;5315.0;0.0;0.0;8788.0;-8108.262614663543;-6492.242;-1616.0206146635428;0.0;0.0;-158.2931906801512;0.0
2;75.06427825482662;0.0;0.0;0.0;0.0;626.9805656586291;1423.8620424943144;1423.8620424943144;6849.896595121453;6849.896597986621;6849.896597986621;0.0;3786.9780004717495;3786.9780004717495;590.04391712;0.0;5315.0;0.0;0.0;8788.0;-7743.245712554633;-6199.25;-1543.9957125546332;0.0;0.0;-323.6773450304003;0.0
3;72.08876369189007;0.0;0.0;0.0;0.0;534.01808320455;1423.8620424943144;1423.8620424943144;6510.934395203109;6849.896597986621;6849.896597986621;0.0;3786.9780004717495;3786.9780004717495;805.7575504199999;0.0;5315.0;0.0;0.0;8788.0;-7397.133649020788;-5921.976000000001;-1475.1576490207874;0.0;0.0;-453.57678298045954;0.0
4;70.5000130234976;0.0;0.0;0.0;0.0;484.37168413438116;1423.8620424943144;1423.8620424943144;6312.414612357269;6849.896597986621;6849.896597986621;0.0;3786.9780004717495;3786.9780004717495;1017.8963785;0.0;5315.0;0.0;0.0;8788.0;-7266.488509262512;-5817.292;-1449.1965092625114;0.0;0.0;-548.1944321442248;0.0
5;70.19286717975604;0.0;0.0;0.0;0.0;474.77063619339805;1423.8620424943144;1423.8620424943144;6273.951851372731;6849.896597986621;6849.896597986621;0.0;3786.9780004717495;3786.9780004717495;1277.357707705;0.0;5315.0;0.0;0.0;8788.0;-7241.738243660946;-5797.46;-1444.2782436609455;0.0;0.0;-784.3424118853534;0.0
6;72.12802295103204;0.0;0.0;0.0;0.0;535.2393820560245;1423.8620424943144;1423.8620424943144;6515.711815198981;6849.896597986621;6849.896597986621;0.0;3786.9780004717495;3786.9780004717495;1485.4467449600002;0.0;5315.0;0.0;0.0;8788.0;-7465.468914439086;-5976.686000000001;-1488.7829144390857;0.0;0.0;-1070.9298282544446;0.0
7;86.68370592451815;0.0;0.0;0.0;0.0;990.0903398547197;1423.8620424943144;1423.8620424943144;6849.896597983017;6849.896597986621;6849.896597986621;0.0;3786.9780004717495;3786.9780004717495;1671.11196198;0.0;5315.0;0.0;0.0;8788.0;-7850.748766936774;-6286.048000000001;-1564.7007669367729;0.0;0.0;-1660.351934280585;0.0
8;118.78994398716269;0.0;0.0;0.0;0.0;1423.8620424944177;1423.8620424943144;1423.8620424943144;6849.896597983062;6849.896597986621;6849.896597986621;313.15834012817817;3786.9780004717495;3786.9780004717495;1879.6509777649999;0.0;5315.0;0.5422195999999999;0.0;8788.0;-8129.3366691766805;-6511.204000000001;-1618.1326691766799;0.0;0.0;-2337.7757364196455;0.0
9;133.48735216876037;0.0;0.0;0.0;0.0;1423.8620424944177;1423.8620424943144;1423.8620424943144;6849.896597983066;6849.896597986621;6849.896597986621;558.115143200335;3786.9780004717495;3786.9780004717495;1953.072111385;0.0;5315.0;284.89188858;0.0;8788.0;-8392.864101092086;-6723.2660000000005;-1669.5981010920848;0.0;0.0;-2676.975910164134;0.0
10;109.25324932127012;0.0;0.0;0.0;0.0;1423.8620424943929;1423.8620424943144;1423.8620424943144;6849.896597983057;6849.896597986621;6849.896597986621;154.21342933588264;3786.9780004717495;3786.9780004717495;1952.122161435;0.0;5315.0;1192.60779196;0.0;8788.0;-8998.160952042674;-7206.402000000001;-1791.7589520426727;0.0;0.0;-2574.543298701203;0.0
11;79.86357974425634;0.0;0.0;0.0;0.0;776.9613939912477;1423.8620424943144;1423.8620424943144;6849.896597982936;6849.896597986621;6849.896597986621;0.0;3786.9780004717495;3786.9780004717495;2001.56955704;0.0;5315.0;2332.255343444;0.0;8788.0;-9383.09532412272;-7512.476;-1870.6193241227195;0.0;0.0;-2577.589369927732;0.0
12;7928.523343707129;0.0;0.0;0.0;0.0;1423.8620424944984;1423.8620424943144;1423.8620424943144;6849.896597983019;6849.896597986621;6849.896597986621;3786.9780004717495;3786.9780004717495;3786.9780004717495;531.55315;0.0;5315.0;882.985821068;0.0;8788.0;-13258.301856451139;-11520.007999999998;-1738.293856451142;3.637978807091713e-12;0.0;-216.9704443527295;0.0
13;70.17278439861865;0.0;0.0;0.0;0.0;474.11127975077153;1423.8620424943144;1423.8620424943144;6270.582104900914;6849.896597986621;6849.896597986621;0.0;3786.9780004717495;3786.9780004717495;2309.578330105;0.0;5315.0;3377.281400428;0.0;8788.0;-9518.545864930671;-7620.184;-1898.3618649306702;0.0;0.0;-2913.009936197155;0.0
14;70.29128171772484;0.0;0.0;0.0;0.0;477.812621448897;1423.8620424943144;1423.8620424943144;6285.338882416744;6849.896597986621;6849.896597986621;0.0;3786.9780004717495;3786.9780004717495;2473.819675045;0.0;5315.0;3304.9504042880003;0.0;8788.0;-9454.512111078708;-7568.93;-1885.5821110787078;0.0;0.0;-3087.4122732715077;0.0
