Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_C_MidMerit;new_capacity_Gen_C_MidMerit;Capacity_Gen_C_MidMerit;Gen_C_Baseload;new_capacity_Gen_C_Baseload;Capacity_Gen_C_Baseload;Gen_C_Peak;new_capacity_Gen_C_Peak;Capacity_Gen_C_Peak;Gen_C_WindOnshore;new_capacity_Gen_C_WindOnshore;Capacity_Gen_C_WindOnshore;Gen_C_PV;new_capacity_Gen_C_PV;Capacity_Gen_C_PV;Cons_C;Inelastic_Cons_C;Elastic_Cons_C;ENS_Cons_C;CapDemand_Cons_C;NetworkManager;CapacityManager
1;86.74948274523011;0.0;0.0;0.0;0.0;992.1512558191313;1561.70643050834;1561.70643050834;7097.955077898095;7097.955077909859;7097.955077909859;0.0;1168.4505104878203;1168.4505104878203;748.4615387;0.0;8300.0;0.0;0.0;18662.0;-8774.55265615044;-7025.7369232;-1748.8157329504397;0.0;0.0;-64.01736733886119;0.0
2;75.065863481741;0.0;0.0;0.0;0.0;627.037054923306;1561.70643050834;1561.70643050834;6882.674165465134;7097.955077909859;7097.955077909859;0.0;1168.4505104878203;1168.4505104878203;916.5384643;0.0;8300.0;0.0;0.0;18662.0;-8485.287188938932;-6793.329230400001;-1691.9579585389315;0.0;0.0;59.035234468266715;0.0
3;72.09005114507572;0.0;0.0;0.0;0.0;534.0629878596368;1561.70643050834;1561.70643050834;6511.230420479151;7097.955077909859;7097.955077909859;0.0;1168.4505104878203;1168.4505104878203;1173.8461501000002;0.0;8300.0;0.0;0.0;18662.0;-8294.493104417155;-6640.381538400001;-1654.111566017155;0.0;0.0;75.35342422169187;0.0
4;70.49924759927774;0.0;0.0;0.0;0.0;484.3453827019303;1561.70643050834;1561.70643050834;6312.239157717287;7097.955077909859;7097.955077909859;0.0;1168.4505104878203;1168.4505104878203;1503.8461572;0.0;8300.0;0.0;0.0;18662.0;-8194.578420400348;-6560.287692;-1634.2907284003488;0.0;0.0;-105.85292749230264;0.0
5;70.19206193061176;0.0;0.0;0.0;0.0;474.74310702539725;1561.70643050834;1561.70643050834;6273.767462040703;7097.955077909859;7097.955077909859;0.0;1168.4505104878203;1168.4505104878203;1802.5000025;0.0;8300.0;0.0;0.0;18662.0;-8362.906545129219;-6695.024615200001;-1667.8819299292177;0.0;0.0;-188.10496755335956;0.0
6;72.1281874742475;0.0;0.0;0.0;0.0;535.2457058945018;1561.70643050834;1561.70643050834;6515.750449826275;7097.955077909859;7097.955077909859;0.0;1168.4505104878203;1168.4505104878203;2037.3076914;0.0;8300.0;0.0;0.0;18662.0;-8880.893589818734;-7109.843076800001;-1771.0505130187325;0.0;0.0;-207.4113422583247;0.0
7;86.68502106228874;0.0;0.0;0.0;0.0;990.1368170485041;1561.70643050834;1561.70643050834;7097.955077897763;7097.955077909859;7097.955077909859;0.0;1168.4505104878203;1168.4505104878203;2269.6153871;0.0;8300.0;0.0;0.0;18662.0;-9790.622930178963;-7839.293846400001;-1951.329083778961;0.0;0.0;-567.0865041485329;0.0
8;118.79156194762236;0.0;0.0;0.0;0.0;1561.7064305083325;1561.70643050834;1561.70643050834;7097.9550778977655;7097.955077909859;7097.955077909859;234.891924496985;1168.4505104878203;1168.4505104878203;2469.4230798999997;0.0;8300.0;0.0;0.0;18662.0;-11276.37712873426;-9031.830768;-2244.5463607342613;0.0;0.0;-87.60199475642017;0.0
9;133.48896999817686;0.0;0.0;0.0;0.0;1561.7064305083325;1561.70643050834;1561.70643050834;7097.9550778977655;7097.955077909859;7097.955077909859;418.609525102566;1168.4505104878203;1168.4505104878203;2599.8076886;0.0;8300.0;76.921815404;0.0;18662.0;-12062.606980454855;-9662.984616;-2399.6223644548554;0.0;0.0;307.60383222875555;0.0
10;109.25486737673829;0.0;0.0;0.0;0.0;1561.7064305078954;1561.70643050834;1561.70643050834;7097.955077897766;7097.955077909859;7097.955077909859;115.68324248705336;1168.4505104878203;1168.4505104878203;2720.5769216;0.0;8300.0;682.104143322;0.0;18662.0;-11983.422042172439;-9597.223080000002;-2386.198962172437;0.0;0.0;-194.606384199879;0.0
11;79.86489492440643;0.0;0.0;0.0;0.0;777.0078729706597;1561.70643050834;1561.70643050834;7097.955077889607;7097.955077909859;7097.955077909859;0.0;1168.4505104878203;1168.4505104878203;2856.1538443;0.0;8300.0;1591.7045236959998;0.0;18662.0;-11542.449254070802;-9241.34;-2301.109254070801;0.0;0.0;-780.3742173117038;0.0
12;7928.525765200376;0.0;0.0;0.0;0.0;1561.706430508332;1561.70643050834;1561.70643050834;7097.955077897078;7097.955077909859;7097.955077909859;1168.4505104877917;1168.4505104878203;1168.4505104878203;830.083;0.0;8300.0;1882.46897174;0.0;18662.0;-14915.588047947636;-12960.008000000002;-1955.580047947634;0.0;0.0;2374.927346172757;0.0
13;70.17661416583262;0.0;0.0;0.0;0.0;474.24601870005444;1561.70643050834;1561.70643050834;6271.464264394849;7097.955077909859;7097.955077909859;0.0;1168.4505104878203;1168.4505104878203;3217.6923076000003;0.0;8300.0;2082.273357486;0.0;18662.0;-11353.65370034371;-9089.301536;-2264.352164343709;0.0;0.0;-692.0247327386228;0.0
14;70.2962587457661;0.0;0.0;0.0;0.0;477.987184480093;1561.70643050834;1561.70643050834;6286.484566098737;7097.955077909859;7097.955077909859;0.0;1168.4505104878203;1168.4505104878203;3400.1923092;0.0;8300.0;1853.2386811400002;0.0;18662.0;-11490.668714281794;-9199.001536000002;-2291.6671782817916;0.0;0.0;-527.2362715569319;0.0
15;72.43888480133865;0.0;0.0;0.0;0.0;544.9512650644967;1561.70643050834;1561.70643050834;6554.505041079997;7097.955077909859;7097.955077909859;0.0;1168.4505104878203;1168.4505104878203;3565.961536;0.0;8300.0;1297.8632157260001;0.0;18662.0;-11730.421444579126;-9391.14;-2339.281444579126;0.0;0.0;-232.86111125233975;0.0
16;79.91514157177426;0.0;0.0;0.0;0.0;778.5780826111327;1561.70643050834;1561.70643050834;7097.955077890719;7097.955077909859;7097.955077909859;0.0;1168.4505104878203;1168.4505104878203;3709.2307659;0.0;8300.0;1020.944702666;0.0;18662.0;-12035.251226195416;-9635.901536000001;-2399.349690195414;0.0;0.0;-571.4595551934015;0.0
17;108.0943468418879;0.0;0.0;0.0;0.0;1561.7064304893315;1561.70643050834;1561.70643050834;7097.9550778977655;7097.955077909859;7097.955077909859;101.17673637386608;1168.4505104878203;1168.4505104878203;3789.0384614;0.0;8300.0;523.645213294;0.0;18662.0;-12651.457753890674;-10132.118464000001;-2519.339289890673;0.0;0.0;-422.0667755597601;0.0
18;16668.46256276333;0.0;0.0;0.0;0.0;1561.7064305083604;1561.70643050834;1561.70643050834;7097.955077898058;7097.955077909859;7097.955077909859;1168.4505104878065;1168.4505104878203;1168.4505104878203;830.083;0.0;8300.0;0.0;0.0;18662.0;-14999.685071856153;-14400.008;-599.6770718561539;0.0;0.0;4341.490052928218;0.0
19;15983.439582086135;0.0;0.0;0.0;0.0;1561.7064305083604;1561.70643050834;1561.70643050834;7097.955077898058;7097.955077909859;7097.955077909859;1168.450510487806;1168.4505104878203;1168.4505104878203;830.083;0.0;8300.0;0.0;0.0;18662.0;-13652.691067910828;-13000.0;-652.6910679108278;0.0;0.0;2994.496048982893;0.0
20;126.08609767098962;0.0;0.0;0.0;0.0;1561.7064305083688;1561.70643050834;1561.70643050834;7097.955077898746;7097.955077909859;7097.955077909859;326.0736220396763;1168.4505104878203;1168.4505104878203;3702.8846191;0.0;8300.0;0.0;0.0;18662.0;-12530.388649459775;-10036.966152;-2493.4224974597755;0.0;0.0;-158.2337097607985;0.0
21;98.11191574236916;0.0;0.0;0.0;0.0;1347.2268023412917;1561.70643050834;1561.70643050834;7097.955077898745;7097.955077909859;7097.955077909859;0.0;1168.4505104878203;1168.4505104878203;3685.7692306;0.0;8300.0;0.0;0.0;18662.0;-11934.458211501269;-9556.943080000001;-2377.515131501268;0.0;0.0;-196.49510301917323;0.0
22;80.27347150356645;0.0;0.0;0.0;0.0;789.7758977422942;1561.70643050834;1561.70643050834;7097.955077896585;7097.955077909859;7097.955077909859;0.0;1168.4505104878203;1168.4505104878203;3657.884617;0.0;8300.0;0.0;0.0;18662.0;-11347.235769465478;-9085.081536;-2262.154233465479;0.0;0.0;-198.38197497900984;0.0
23;72.7290382250223;0.0;0.0;0.0;0.0;554.0216404966504;1561.70643050834;1561.70643050834;6590.8463306713875;7097.955077909859;7097.955077909859;0.0;1168.4505104878203;1168.4505104878203;3583.6538492;0.0;8300.0;0.0;0.0;18662.0;-10661.63062859619;-8535.512304000002;-2126.118324596188;0.0;0.0;-66.89235194853516;0.0
24;69.37753663386093;0.0;0.0;0.0;0.0;449.28732037053305;1561.70643050834;1561.70643050834;6171.909207855778;7097.955077909859;7097.955077909859;0.0;1168.4505104878203;1168.4505104878203;3423.8461555;0.0;8300.0;0.0;0.0;18662.0;-9920.214738332788;-7941.6815384;-1978.5331999327886;0.0;0.0;-124.82909261195614;0.0
