Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_A_MidMerit;new_capacity_Gen_A_MidMerit;Capacity_Gen_A_MidMerit;Gen_A_Baseload;new_capacity_Gen_A_Baseload;Capacity_Gen_A_Baseload;Gen_A_Peak;new_capacity_Gen_A_Peak;Capacity_Gen_A_Peak;Gen_A_WindOnshore;new_capacity_Gen_A_WindOnshore;Capacity_Gen_A_WindOnshore;Gen_A_PV;new_capacity_Gen_A_PV;Capacity_Gen_A_PV;Cons_A;Inelastic_Cons_A;Elastic_Cons_A;ENS_Cons_A;CapDemand_Cons_A;NetworkManager;CapacityManager
1;86.71208205935042;53352.00641906287;21502.30005844116;16156.0;21502.30005844116;991.0199542237746;1302.7068039143908;1302.7068039143908;6633.243215779242;6633.243215779376;6633.243215779376;0.0;13566.350038743838;13566.350038743838;886.0567338000001;0.0;13700.0;0.0;0.0;15403.0;-8734.992130836405;-8392.87008;-342.12205083640424;0.0;16156.0;224.67276958210573;-5346.304423946818
2;75.1495910962959;53352.00641906287;21502.30005844116;16156.0;21502.30005844116;629.6913583251596;1302.7068039143908;1302.7068039143908;6633.24321573793;6633.243215779376;6633.243215779376;0.0;13566.350038743838;13566.350038743838;1010.8928189000001;0.0;13700.0;0.0;0.0;15403.0;-8537.023135237443;-8201.705759999999;-335.31737523744437;0.0;16156.0;263.1962541870334;-5346.304423946818
3;72.09080648243366;53352.00641906287;21502.30005844116;16156.0;21502.30005844116;534.0887499118961;1302.7068039143908;1302.7068039143908;6511.3802263471825;6633.243215779376;6633.243215779376;0.0;13566.350038743838;13566.350038743838;1138.9221822;0.0;13700.0;0.0;0.0;15403.0;-8563.10483495462;-8226.511199999999;-336.59363495462037;0.0;16156.0;378.7137155749642;-5346.304423946818
4;70.50195632141428;53352.00641906287;21502.30005844116;16156.0;21502.30005844116;484.43859728166353;1302.7068039143908;1302.7068039143908;6312.811093126363;6633.243215779376;6633.243215779376;0.0;13566.350038743838;13566.350038743838;1277.6298324;0.0;13700.0;0.0;0.0;15403.0;-8729.597120696662;-8386.32576;-343.2713606966627;0.0;16156.0;654.717687368189;-5346.304423946818
5;70.19624447130715;53352.00641906287;21502.30005844116;16156.0;21502.30005844116;474.88731756347465;1302.7068039143908;1302.7068039143908;6274.656438026967;6633.243215779376;6633.243215779376;0.0;13566.350038743838;13566.350038743838;1465.214178;0.0;13700.0;0.0;0.0;15403.0;-9188.192702266842;-8826.861120000001;-361.3315822668412;0.0;16156.0;973.4349381560678;-5346.304423946818
6;72.13333693481881;53352.00641906287;21502.30005844116;16156.0;21502.30005844116;535.4232792720697;1302.7068039143908;1302.7068039143908;6516.842222102755;6633.243215779376;6633.243215779376;0.0;13566.350038743838;13566.350038743838;1734.5955107;0.0;13700.0;0.0;0.0;15403.0;-10066.579897066838;-9670.89264;-395.687257066839;0.0;16156.0;1279.7191206624848;-5346.304423946818
7;86.64764465299392;53352.00641906287;21502.30005844116;16156.0;21502.30005844116;989.0062807741111;1302.7068039143908;1302.7068039143908;6633.24321577921;6633.243215779376;6633.243215779376;0.0;13566.350038743838;13566.350038743838;1995.2434359;0.0;13700.0;0.0;0.0;15403.0;-11847.294193291484;-11383.265759999998;-464.0284332914844;0.0;16156.0;2229.801802647216;-5346.304423946818
8;118.60451711985961;53352.00641906287;21502.30005844116;16156.0;21502.30005844116;1302.7068039314809;1302.7068039143908;1302.7068039143908;6633.243215779213;6633.243215779376;6633.243215779376;465.1236494310564;13566.350038743838;13566.350038743838;2149.0095644;0.0;13700.0;20.447852172;0.0;15403.0;-13000.08699893881;-12494.90304;-505.18395893881166;0.0;16156.0;2429.556376824254;-5346.304423946818
9;133.30198607771692;53352.00641906287;21502.30005844116;16156.0;21502.30005844116;1302.7068039314813;1302.7068039143908;1302.7068039143908;6633.243215779213;6633.243215779376;6633.243215779376;832.5603734205132;13566.350038743838;13566.350038743838;2246.6039803999997;0.0;13700.0;202.589528606;0.0;15403.0;-13591.25390374564;-13065.01968;-526.2342237456418;0.0;16156.0;2373.550464841024;-5346.304423946818
10;109.06790729405093;53352.00641906287;21502.30005844116;16156.0;21502.30005844116;1302.7068039314802;1302.7068039143908;1302.7068039143908;6633.243215779212;6633.243215779376;6633.243215779376;226.7084038110925;13566.350038743838;13566.350038743838;2266.9740994;0.0;13700.0;533.144624314;0.0;15403.0;-13736.104458492333;-13201.0584;-535.0460584923327;0.0;16156.0;2773.327774372862;-5346.304423946818
11;79.82754741166322;53352.00641906287;21502.30005844116;16156.0;21502.30005844116;775.8782414290151;1302.7068039143908;1302.7068039143908;6633.243215779233;6633.243215779376;6633.243215779376;0.0;13566.350038743838;13566.350038743838;2229.3351441;0.0;13700.0;901.557444467;0.0;15403.0;-13900.340830413706;-13354.988159999999;-545.3526704137071;0.0;16156.0;3360.3273260518463;-5346.304423946818
12;571.501512077583;53352.00641906287;21502.30005844116;16156.0;21502.30005844116;1302.7068039308954;1302.7068039143908;1302.7068039143908;6633.243215779198;6633.243215779376;6633.243215779376;11787.572404249284;13566.350038743838;13566.350038743838;1370.137;0.0;13700.0;0.0;0.0;15403.0;-18891.42438949071;-18240.009599999998;-651.4147894907126;0.0;16156.0;-2202.2056483755105;-5346.304423946818
13;70.19054574422242;53352.00641906287;21502.30005844116;16156.0;21502.30005844116;474.7280830082206;1302.7068039143908;1302.7068039143908;6274.450700682002;6633.243215779376;6633.243215779376;0.0;13566.350038743838;13566.350038743838;2228.119228;0.0;13700.0;1285.980651119;0.0;15403.0;-13871.911384040208;-13326.3888;-545.5225840402079;0.0;16156.0;3608.6335729767543;-5346.304423946818
