Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_B_MidMerit;new_capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_Baseload;new_capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_Peak;new_capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Gen_B_PV;new_capacity_Gen_B_PV;Capacity_Gen_B_PV;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;ENS_Cons_B;CapDemand_Cons_B;NetworkManager;CapacityManager
1;86.70658890461343;58061.329347644045;11513.414840926904;13957.0;11513.414840926904;990.8250132319346;1415.1043621531055;1415.1043621531055;6833.501645221057;6833.501645221066;6833.501645221066;0.0;3264.80883355267;3264.80883355267;424.55263299999996;0.0;5315.0;0.0;0.0;8788.0;-8108.265998421537;-7790.6903999999995;-317.57559842153825;0.0;13957.0;-140.61350308141795;2443.5863039744563
2;75.14410393685228;58061.329347644045;11513.414840926904;13957.0;11513.414840926904;629.496797022406;1415.1043621531055;1415.1043621531055;6833.501645076062;6833.501645221066;6833.501645221066;0.0;3264.80883355267;3264.80883355267;590.04391712;0.0;5315.0;0.0;0.0;8788.0;-7743.239536913795;-7439.099999999999;-304.13953691379595;0.0;13957.0;-309.80306769111684;2443.5863039744563
3;72.09035980645032;58061.329347644045;11513.414840926904;13957.0;11513.414840926904;534.0728466842249;1415.1043621531055;1415.1043621531055;6511.27481640093;6833.501645221066;6833.501645221066;0.0;3264.80883355267;3264.80883355267;805.7575504199999;0.0;5315.0;0.0;0.0;8788.0;-7397.1335328914065;-7106.3712;-290.7623328914071;0.0;13957.0;-453.9717259740205;2443.5863039744563
4;70.50115589092114;58061.329347644045;11513.414840926904;13957.0;11513.414840926904;484.4100905266413;1415.1043621531055;1415.1043621531055;6312.622319267077;6833.501645221066;6833.501645221066;0.0;3264.80883355267;3264.80883355267;1017.8963785;0.0;5315.0;0.0;0.0;8788.0;-7266.488427543612;-6980.7504;-285.7380275436122;0.0;13957.0;-548.4404135977082;2443.5863039744563
5;70.1947774719833;58061.329347644045;11513.414840926904;13957.0;11513.414840926904;474.835069056579;1415.1043621531055;1415.1043621531055;6274.31049557751;6833.501645221066;6833.501645221066;0.0;3264.80883355267;3264.80883355267;1277.357707705;0.0;5315.0;0.0;0.0;8788.0;-7241.738107603227;-6956.951999999999;-284.786107603228;0.0;13957.0;-784.765253571665;2443.5863039744563
6;72.13128000926352;58061.329347644045;11513.414840926904;13957.0;11513.414840926904;535.350021028506;1415.1043621531055;1415.1043621531055;6516.357159794621;6833.501645221066;6833.501645221066;0.0;3264.80883355267;3264.80883355267;1485.4467449600002;0.0;5315.0;0.0;0.0;8788.0;-7465.468675280463;-7172.0232;-293.44547528046365;0.0;13957.0;-1071.6853779234425;2443.5863039744563
7;86.64215095911199;58061.329347644045;11513.414840926904;13957.0;11513.414840926904;988.8113239388902;1415.1043621531055;1415.1043621531055;6833.501645221099;6833.501645221066;6833.501645221066;0.0;3264.80883355267;3264.80883355267;1671.11196198;0.0;5315.0;0.0;0.0;8788.0;-7850.752041388685;-7543.2576;-307.4944413886854;0.0;13957.0;-1642.6730999813212;2443.5863039744563
8;118.59842185774409;58061.329347644045;11513.414840926904;13957.0;11513.414840926904;1415.104362153098;1415.1043621531055;1415.1043621531055;6833.501645221102;6833.501645221066;6833.501645221066;309.971663765295;3264.80883355267;3264.80883355267;1879.6509777649999;0.0;5315.0;0.5422195999999999;0.0;8788.0;-8129.352268094513;-7813.4448;-315.9074680945134;0.0;13957.0;-2309.418747580755;2443.5863039744563
9;133.2958906526955;58061.329347644045;11513.414840926904;13957.0;11513.414840926904;1415.1043621530966;1415.1043621531055;1415.1043621531055;6833.501645221102;6833.501645221066;6833.501645221066;554.9294774846314;3264.80883355267;3264.80883355267;1953.072111385;0.0;5315.0;284.89188858;0.0;8788.0;-8392.880202947603;-8067.9192;-324.9610029476031;0.0;13957.0;-2648.619428867082;2443.5863039744563
10;109.06181178073217;58061.329347644045;11513.414840926904;13957.0;11513.414840926904;1415.1043621530966;1415.1043621531055;1415.1043621531055;6833.501645221102;6833.501645221066;6833.501645221066;151.02816311523645;3264.80883355267;3264.80883355267;1952.122161435;0.0;5315.0;1192.60779196;0.0;8788.0;-8998.178208808176;-8647.6824;-350.4958088081777;0.0;13957.0;-2546.1860618856567;2443.5863039744563
11;79.82205323019674;58061.329347644045;11513.414840926904;13957.0;11513.414840926904;775.6832692706611;1415.1043621531055;1415.1043621531055;6833.501645221101;6833.501645221066;6833.501645221066;0.0;3264.80883355267;3264.80883355267;2001.56955704;0.0;5315.0;2332.255343444;0.0;8788.0;-9383.099234728954;-9014.971199999998;-368.1280347289554;0.0;13957.0;-2559.910790366984;2443.5863039744563
12;538.191014914928;58061.329347644045;11513.414840926904;13957.0;11513.414840926904;1415.104362153049;1415.1043621531055;1415.1043621531055;6833.50164522109;6833.501645221066;6833.501645221066;3264.8088335512743;3264.80883355267;3264.80883355267;531.55315;0.0;5315.0;882.985821068;0.0;8788.0;-14322.510273383754;-13824.009599999894;-498.5006733838595;1.0550138540565968e-10;13957.0;1394.5564615074268;2443.5863039744563
13;70.18322687861576;58061.329347644045;11513.414840926904;13957.0;11513.414840926904;474.46741523703304;1415.1043621531055;1415.1043621531055;6272.724959599999;6833.501645221066;6833.501645221066;0.0;3264.80883355267;3264.80883355267;2309.578330105;0.0;5315.0;3377.281400428;0.0;8788.0;-9518.544888068529;-9144.2208;-374.3240880685307;0.0;13957.0;-2915.5076512609057;2443.5863039744563
14;70.30211586366157;58061.329347644045;11513.414840926904;13957.0;11513.414840926904;478.1825789705671;1415.1043621531055;1415.1043621531055;6287.583192046029;6833.501645221066;6833.501645221066;0.0;3264.80883355267;3264.80883355267;2473.819675045;0.0;5315.0;3304.9504042880003;0.0;8788.0;-9454.51110443867;-9082.716;-371.7951044386698;0.0;13957.0;-3090.0251856016475;2443.5863039744563
15;72.44261285716985;58061.329347644045;11513.414840926904;13957.0;11513.414840926904;545.0743771418471;1415.1043621531055;1415.1043621531055;6555.171294473326;6833.501645221066;6833.501645221066;0.0;3264.80883355267;3264.80883355267;2667.884452315;0.0;5315.0;2613.375070904;0.0;8788.0;-9281.53134331951;-8916.7296;-364.80174331950957;0.0;13957.0;-3099.9742253153286;2443.5863039744563
16;79.87229795774721;58061.329347644045;11513.414840926904;13957.0;11513.414840926904;777.2534180076773;1415.1043621531055;1415.1043621531055;6833.501645221106;6833.501645221066;6833.501645221066;0.0;3264.80883355267;3264.80883355267;2822.4763084549995;0.0;5315.0;1431.583804196;0.0;8788.0;-9084.658075019415;-8728.243199999999;-356.4148750194163;0.0;13957.0;-2780.157310954795;2443.5863039744563
17;107.90131187668939;58061.329347644045;11513.414840926904;13957.0;11513.414840926904;1415.1043621530957;1415.1043621531055;1415.1043621531055;6833.501645221112;6833.501645221066;6833.501645221066;131.68649871845798;3264.80883355267;3264.80883355267;2929.87065101;0.0;5315.0;307.25238336;0.0;8788.0;-9232.359901513437;-8872.6392;-359.7207015134382;0.0;13957.0;-2385.0557855778707;2443.5863039744563
18;2318.80001467204;58061.329347644045;11513.414840926904;13957.0;11513.414840926904;1415.1043621530996;1415.1043621531055;1415.1043621531055;6833.501645221104;6833.501645221066;6833.501645221066;3264.8088335526804;3264.80883355267;3264.80883355267;531.55315;0.0;5315.0;0.0050003719999999995;0.0;8788.0;-14066.10239945177;-13824.009599999783;-242.0927994519876;2.1645973902195692e-10;13957.0;2021.1294081529286;2443.5863039744563
