Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_C_MidMerit;new_capacity_Gen_C_MidMerit;Capacity_Gen_C_MidMerit;Gen_C_Baseload;new_capacity_Gen_C_Baseload;Capacity_Gen_C_Baseload;Gen_C_Peak;new_capacity_Gen_C_Peak;Capacity_Gen_C_Peak;Gen_C_WindOnshore;new_capacity_Gen_C_WindOnshore;Capacity_Gen_C_WindOnshore;Gen_C_PV;new_capacity_Gen_C_PV;Capacity_Gen_C_PV;Cons_C;Inelastic_Cons_C;Elastic_Cons_C;ENS_Cons_C;CapDemand_Cons_C;NetworkManager;CapacityManager
1;86.70567815878611;65393.47881414079;12590.30640662508;15493.0;12590.30640662508;990.7923367577016;1575.2848437022535;1575.2848437022535;7119.361398634068;7119.361398632539;7119.361398632539;0.0;3895.660164288121;3895.660164288121;748.4615387;0.0;8300.0;0.0;0.0;18662.0;-8774.556514868633;-8430.884307839999;-343.6722070286339;0.0;15493.0;-84.05926650068932;2902.7181199723623
2;75.14324330444315;65393.47881414079;12590.30640662508;15493.0;12590.30640662508;629.4658143988495;1575.2848437022535;1575.2848437022535;6892.668994642885;7119.361398632539;7119.361398632539;0.0;3895.660164288121;3895.660164288121;916.5384643;0.0;8300.0;0.0;0.0;18662.0;-8485.280630145156;-8151.99507648;-333.28555366515644;0.0;15493.0;46.60681350408479;2902.7181199723623
3;72.09051154208764;65393.47881414079;12590.30640662508;15493.0;12590.30640662508;534.0782616906303;1575.2848437022535;1575.2848437022535;6511.310634291517;7119.361398632539;7119.361398632539;0.0;3895.660164288121;3895.660164288121;1173.8461501000002;0.0;8300.0;0.0;0.0;18662.0;-8294.493066763998;-7968.45784608;-326.0352206839973;0.0;15493.0;75.25801039905672;2902.7181199723623
4;70.50107084535759;65393.47881414079;12590.30640662508;15493.0;12590.30640662508;484.4070489190312;1575.2848437022535;1575.2848437022535;6312.60226896629;7119.361398632539;7119.361398632539;0.0;3895.660164288121;3895.660164288121;1503.8461572;0.0;8300.0;0.0;0.0;18662.0;-8194.578273923087;-7872.345230399999;-322.2330435230884;0.0;15493.0;-106.27727377048146;2902.7181199723623
5;70.19452088064924;65393.47881414079;12590.30640662508;15493.0;12590.30640662508;474.8258981535691;1575.2848437022535;1575.2848437022535;6274.249979554354;7119.361398632539;7119.361398632539;0.0;3895.660164288121;3895.660164288121;1802.5000025;0.0;8300.0;0.0;0.0;18662.0;-8362.906343988128;-8034.029538240001;-328.8768057481283;0.0;15493.0;-188.66968458440232;2902.7181199723623
6;72.13095603356396;65393.47881414079;12590.30640662508;15493.0;12590.30640662508;535.3384404763385;1575.2848437022535;1575.2848437022535;6516.280757835702;7119.361398632539;7119.361398632539;0.0;3895.660164288121;3895.660164288121;2037.3076914;0.0;8300.0;0.0;0.0;18662.0;-8880.893349573009;-8531.811692160001;-349.0816574130085;0.0;15493.0;-208.0337427390426;2902.7181199723623
7;86.64124008870917;65393.47881414079;12590.30640662508;15493.0;12590.30640662508;988.77864286782;1575.2848437022535;1575.2848437022535;7119.3613986330065;7119.361398632539;7119.361398632539;0.0;3895.660164288121;3895.660164288121;2269.6153871;0.0;8300.0;0.0;0.0;18662.0;-9790.627233403828;-9407.152615680001;-383.4746177238269;0.0;15493.0;-587.1287026658945;2902.7181199723623
8;118.59750392152418;65393.47881414079;12590.30640662508;15493.0;12590.30640662508;1575.2848437011826;1575.2848437022535;1575.2848437022535;7119.361398633007;7119.361398632539;7119.361398632539;232.46677372765674;3895.660164288121;3895.660164288121;2469.4230798999997;0.0;8300.0;0.0;0.0;18662.0;-11276.399055492051;-10838.1969216;-438.2021338920522;0.0;15493.0;-120.13762924350172;2902.7181199723623
9;133.2949726530688;65393.47881414079;12590.30640662508;15493.0;12590.30640662508;1575.2848436978784;1575.2848437022535;1575.2848437022535;7119.3613986330065;7119.361398632539;7119.361398632539;416.18513304858186;3895.660164288121;3895.660164288121;2599.8076886;0.0;8300.0;76.921815404;0.0;18662.0;-12062.630432132519;-11595.5815392;-467.0488929325193;0.0;15493.0;275.0689640260577;2902.7181199723623
10;109.06089383969875;65393.47881414079;12590.30640662508;15493.0;12590.30640662508;1575.2848436990487;1575.2848437022535;1575.2848437022535;7119.361398633007;7119.361398632539;7119.361398632539;113.25914788220973;3895.660164288121;3895.660164288121;2720.5769216;0.0;8300.0;682.104143322;0.0;18662.0;-11983.445331394321;-11516.667696;-466.77763539432027;0.0;15493.0;-227.1417124872044;2902.7181199723623
11;79.8211422869267;65393.47881414079;12590.30640662508;15493.0;12590.30640662508;775.6505851620356;1575.2848437022535;1575.2848437022535;7119.361398629204;7119.361398632539;7119.361398632539;0.0;3895.660164288121;3895.660164288121;2856.1538443;0.0;8300.0;1591.7045236959998;0.0;18662.0;-11542.454323622125;-11089.607999999998;-452.8463236221271;0.0;15493.0;-800.4165356848636;2902.7181199723623
12;552.3745762314369;65393.47881414079;12590.30640662508;15493.0;12590.30640662508;1575.2848436980307;1575.2848437022535;1575.2848437022535;7119.361398632866;7119.361398632539;7119.361398632539;3895.6601641966677;3895.660164288121;3895.660164288121;830.083;0.0;8300.0;1882.46897174;0.0;18662.0;-16110.52547912887;-15552.009599999981;-558.5158791288885;1.8189894035458565e-11;15493.0;807.6491868680871;2902.7181199723623
13;70.18182856980191;65393.47881414079;12590.30640662508;15493.0;12590.30640662508;474.41744271059883;1575.2848437022535;1575.2848437022535;6272.395181997894;7119.361398632539;7119.361398632539;0.0;3895.660164288121;3895.660164288121;3217.6923076000003;0.0;8300.0;2082.273357486;0.0;18662.0;-11353.65312634716;-10907.1618432;-446.4912831471607;0.0;15493.0;-693.1259217158522;2902.7181199723623
14;70.30080505602709;65393.47881414079;12590.30640662508;15493.0;12590.30640662508;478.1357308551545;1575.2848437022535;1575.2848437022535;6287.274064318006;7119.361398632539;7119.361398632539;0.0;3895.660164288121;3895.660164288121;3400.1923092;0.0;8300.0;1853.2386811400002;0.0;18662.0;-11490.668208677394;-11038.8018432;-451.86636547739397;0.0;15493.0;-528.1733205788573;2902.7181199723623
15;72.44173401075926;65393.47881414079;12590.30640662508;15493.0;12590.30640662508;545.0429607624011;1575.2848437022535;1575.2848437022535;6554.964066994956;7119.361398632539;7119.361398632539;0.0;3895.660164288121;3895.660164288121;3565.961536;0.0;8300.0;1297.8632157260001;0.0;18662.0;-11730.42112223072;-11269.367999999999;-461.0531222307216;0.0;15493.0;-233.41123500100136;2902.7181199723623
16;79.87138694958229;65393.47881414079;12590.30640662508;15493.0;12590.30640662508;777.2207317660725;1575.2848437022535;1575.2848437022535;7119.3613986298615;7119.361398632539;7119.361398632539;0.0;3895.660164288121;3895.660164288121;3709.2307659;0.0;8300.0;1020.944702666;0.0;18662.0;-12035.256512422147;-11563.0818432;-472.17466922214714;0.0;15493.0;-591.5015940188476;2902.7181199723623
17;107.90039387408157;65393.47881414079;12590.30640662508;15493.0;12590.30640662508;1575.284843700459;1575.2848437022535;1575.2848437022535;7119.361398633007;7119.361398632539;7119.361398632539;98.75289856351411;3895.660164288121;3895.660164288121;3789.0384614;0.0;8300.0;523.645213294;0.0;18662.0;-12651.482338499478;-12158.5421568;-492.9401816994779;0.0;15493.0;-454.6010657814528;2902.7181199723623
18;3999.9981163678654;65393.47881414079;12590.30640662508;15493.0;12590.30640662508;1575.2848437017842;1575.2848437022535;1575.2848437022535;7119.361398632872;7119.361398632539;7119.361398632539;3895.6601642883484;3895.660164288121;3895.660164288121;830.083;0.0;8300.0;0.0;0.0;18662.0;-17159.842617012735;-17159.838753704193;-0.0038633085402666745;120.17084629580495;15493.0;3739.435295923766;2902.7181199723623
19;3985.8384684859243;65393.47881414079;12590.30640662508;15493.0;12590.30640662508;1575.2848437017565;1575.2848437022535;1575.2848437022535;7119.361398634371;7119.361398632539;7119.361398632539;3895.6601642883484;3895.660164288121;3895.660164288121;830.083;0.0;8300.0;0.0;0.0;18662.0;-15602.301465256196;-15599.999999995458;-2.3014652607369896;4.542016540654004e-9;15493.0;2181.8941443211233;2902.7181199723623
20;125.89215977897095;65393.47881414079;12590.30640662508;15493.0;12590.30640662508;1575.2848437018042;1575.2848437022535;1575.2848437022535;7119.361398634506;7119.361398632539;7119.361398632539;323.64997239481613;3895.660164288121;3895.660164288121;3702.8846191;0.0;8300.0;0.0;0.0;18662.0;-12530.41300130003;-12044.359382399998;-486.05361890003246;0.0;15493.0;-190.76842124240196;2902.7181199723623
21;98.01212684408394;65393.47881414079;12590.30640662508;15493.0;12590.30640662508;1344.1189131716985;1575.2848437022535;1575.2848437022535;7119.361398634506;7119.361398632539;7119.361398632539;0.0;3895.660164288121;3895.660164288121;3685.7692306;0.0;8300.0;0.0;0.0;18662.0;-11934.470149367275;-11468.331696;-466.1384533672747;0.0;15493.0;-214.77999075660384;2902.7181199723623
22;80.22970394785186;65393.47881414079;12590.30640662508;15493.0;12590.30640662508;788.4181397871454;1575.2848437022535;1575.2848437022535;7119.361398633819;7119.361398632539;7119.361398632539;0.0;3895.660164288121;3895.660164288121;3657.884617;0.0;8300.0;0.0;0.0;18662.0;-11347.240754989769;-10902.0978432;-445.14291178976964;0.0;15493.0;-218.42390782893386;2902.7181199723623
23;72.73156030907454;65393.47881414079;12590.30640662508;15493.0;12590.30640662508;554.104541209653;1575.2848437022535;1575.2848437022535;6591.293687134678;7119.361398632539;7119.361398632539;0.0;3895.660164288121;3895.660164288121;3583.6538492;0.0;8300.0;0.0;0.0;18662.0;-10661.630367556632;-10242.6147648;-419.01560275663223;0.0;15493.0;-67.42205578334182;2902.7181199723623
24;69.38010775689777;65393.47881414079;12590.30640662508;15493.0;12590.30640662508;449.3722601196664;1575.2848437022535;1575.2848437022535;6172.375700786547;7119.361398632539;7119.361398632539;0.0;3895.660164288121;3895.660164288121;3423.8461555;0.0;8300.0;0.0;0.0;18662.0;-9920.214490385615;-9530.01784608;-390.19664430561465;0.0;15493.0;-125.37994047610582;2902.7181199723623
