Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_A_MidMerit;new_capacity_Gen_A_MidMerit;Capacity_Gen_A_MidMerit;Gen_A_Baseload;new_capacity_Gen_A_Baseload;Capacity_Gen_A_Baseload;Gen_A_Peak;new_capacity_Gen_A_Peak;Capacity_Gen_A_Peak;Gen_A_WindOnshore;new_capacity_Gen_A_WindOnshore;Capacity_Gen_A_WindOnshore;Gen_A_PV;new_capacity_Gen_A_PV;Capacity_Gen_A_PV;Cons_A;Inelastic_Cons_A;Elastic_Cons_A;ENS_Cons_A;CapDemand_Cons_A;NetworkManager;CapacityManager
1;86.70431577662741;49475.59598229405;18921.101238817686;16156.0;18921.101238817686;990.8322864617397;1294.7853679135912;1294.7853679135912;6618.876275128612;6618.876275128525;6618.876275128525;0.0;11007.439595767077;11007.439595767077;886.0567338000001;0.0;13700.0;0.0;0.0;15403.0;-8734.992800529251;-8392.87008;-342.12272052925147;0.0;16156.0;239.2296723229885;-2765.0469232239875
2;75.21649651291993;49475.59598229405;18921.101238817686;16156.0;18921.101238817686;631.8317631241617;1294.7853679135912;1294.7853679135912;6618.876275093245;6618.876275128525;6618.876275128525;0.0;11007.439595767077;11007.439595767077;1010.8928189000001;0.0;13700.0;0.0;0.0;15403.0;-8537.017410927356;-8201.705759999999;-335.3116509273575;0.0;16156.0;275.4185427445361;-2765.0469232239875
3;72.09412482588328;49475.59598229405;18921.101238817686;16156.0;18921.101238817686;534.207048912386;1294.7853679135912;1294.7853679135912;6512.157918491491;6618.876275128525;6618.876275128525;0.0;11007.439595767077;11007.439595767077;1138.9221822;0.0;13700.0;0.0;0.0;15403.0;-8563.104548385001;-8226.511199999999;-336.59334838500166;0.0;16156.0;377.81786462033403;-2765.0469232239875
4;70.506183780459;49475.59598229405;18921.101238817686;16156.0;18921.101238817686;484.5887404296955;1294.7853679135912;1294.7853679135912;6313.782420848636;6618.876275128525;6618.876275128525;0.0;11007.439595767077;11007.439595767077;1277.6298324;0.0;13700.0;0.0;0.0;15403.0;-8729.596748609478;-8386.32576;-343.2709886094785;0.0;16156.0;653.5963674652072;-2765.0469232239875
5;70.20163192225861;49475.59598229405;18921.101238817686;16156.0;18921.101238817686;475.0784945575276;1294.7853679135912;1294.7853679135912;6275.886952319595;6618.876275128525;6618.876275128525;0.0;11007.439595767077;11007.439595767077;1465.214178;0.0;13700.0;0.0;0.0;15403.0;-9188.192203211993;-8826.861120000001;-361.33108321199137;0.0;16156.0;972.0134002860598;-2765.0469232239875
6;72.13970102015153;49475.59598229405;18921.101238817686;16156.0;18921.101238817686;535.6492209196447;1294.7853679135912;1294.7853679135912;6518.297916896633;6618.876275128525;6618.876275128525;0.0;11007.439595767077;11007.439595767077;1734.5955107;0.0;13700.0;0.0;0.0;15403.0;-10066.57925115602;-9670.89264;-395.68661115601964;0.0;16156.0;1278.0376050861023;-2765.0469232239875
7;86.6398846934501;49475.59598229405;18921.101238817686;16156.0;18921.101238817686;988.818803062554;1294.7853679135912;1294.7853679135912;6618.876275128575;6618.876275128525;6618.876275128525;0.0;11007.439595767077;11007.439595767077;1995.2434359;0.0;13700.0;0.0;0.0;15403.0;-11847.295100676212;-11383.265759999998;-464.02934067621305;0.0;16156.0;2244.3587534086237;-2765.0469232239875
8;118.54189501030879;49475.59598229405;18921.101238817686;16156.0;18921.101238817686;1294.7853679187488;1294.7853679135912;1294.7853679135912;6618.876275128577;6618.876275128525;6618.876275128525;463.5932988659139;11007.439595767077;11007.439595767077;2149.0095644;0.0;13700.0;20.447852172;0.0;15403.0;-13000.095133924659;-12494.90304;-505.1920939246596;0.0;16156.0;2453.3849447655007;-2765.0469232239875
9;133.23938703726878;49475.59598229405;18921.101238817686;16156.0;18921.101238817686;1294.78536791874;1294.7853679135912;1294.7853679135912;6618.876275128577;6618.876275128525;6618.876275128525;831.0306003420307;11007.439595767077;11007.439595767077;2246.6039803999997;0.0;13700.0;202.589528606;0.0;15403.0;-13591.262406736882;-13065.01968;-526.2427267368818;0.0;16156.0;2397.3788237142103;-2765.0469232239875
10;109.0053179016782;49475.59598229405;18921.101238817686;16156.0;18921.101238817686;1294.7853679187476;1294.7853679135912;1294.7853679135912;6618.876275128577;6618.876275128525;6618.876275128525;225.17887355576744;11007.439595767077;11007.439595767077;2266.9740994;0.0;13700.0;533.144624314;0.0;15403.0;-13736.11304868399;-13201.0584;-535.05464868399;0.0;16156.0;2797.155977817318;-2765.0469232239875
