Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_B_MidMerit;new_capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_Baseload;new_capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_Peak;new_capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Gen_B_PV;new_capacity_Gen_B_PV;Capacity_Gen_B_PV;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;ENS_Cons_B;CapDemand_Cons_B;NetworkManager;CapacityManager
1;86.6803049662614;58451.105391948564;12486.102093307654;13957.0;12486.102093307654;989.9788405240441;1417.6921613920142;1417.6921613920142;6837.2492392171525;6837.249239214964;6837.249239214964;0.0;4231.160692698541;4231.160692698541;424.55263299999996;0.0;5315.0;0.0;0.0;8788.0;-8108.268135511392;-7790.6903999999995;-317.5777355113925;0.0;13957.0;-143.51349727776298;1470.9548146109903
2;75.19247936260449;58451.105391948564;12486.102093307654;13957.0;12486.102093307654;630.9778983200083;1417.6921613920142;1417.6921613920142;6837.249238800955;6837.249239214964;6837.249239214964;0.0;4231.160692698541;4231.160692698541;590.04391712;0.0;5315.0;0.0;0.0;8788.0;-7743.235792875904;-7439.099999999999;-304.1357928759045;0.0;13957.0;-315.036363362989;1470.9548146109903
3;72.08688568911795;58451.105391948564;12486.102093307654;13957.0;12486.102093307654;533.9491590718062;1417.6921613920142;1417.6921613920142;6510.454237651388;6837.249239214964;6837.249239214964;0.0;4231.160692698541;4231.160692698541;805.7575504199999;0.0;5315.0;0.0;0.0;8788.0;-7397.1337920320875;-7106.3712;-290.7625920320884;0.0;13957.0;-453.0276352977908;1470.9548146109903
4;70.49921325429557;58451.105391948564;12486.102093307654;13957.0;12486.102093307654;484.3404199685668;1417.6921613920142;1417.6921613920142;6312.141963749708;6837.249239214964;6837.249239214964;0.0;4231.160692698541;4231.160692698541;1017.8963785;0.0;5315.0;0.0;0.0;8788.0;-7266.488569926483;-6980.7504;-285.7381699264831;0.0;13957.0;-547.8904906747434;1470.9548146109903
5;70.19253886408687;58451.105391948564;12486.102093307654;13957.0;12486.102093307654;474.754560605673;1417.6921613920142;1417.6921613920142;6273.746987700613;6837.249239214964;6837.249239214964;0.0;4231.160692698541;4231.160692698541;1277.357707705;0.0;5315.0;0.0;0.0;8788.0;-7241.738271126454;-6956.951999999999;-284.7862711264546;0.0;13957.0;-784.1213512171418;1470.9548146109903
6;72.12767084713224;58451.105391948564;12486.102093307654;13957.0;12486.102093307654;535.2206548867634;1417.6921613920142;1417.6921613920142;6515.466758432734;6837.249239214964;6837.249239214964;0.0;4231.160692698541;4231.160692698541;1485.4467449600002;0.0;5315.0;0.0;0.0;8788.0;-7465.4689470304265;-7172.0232;-293.44574703042684;0.0;13957.0;-1070.6657808920452;1470.9548146109903
7;86.61587173277981;58451.105391948564;12486.102093307654;13957.0;12486.102093307654;987.9652801159751;1417.6921613920142;1417.6921613920142;6837.24923921678;6837.249239214964;6837.249239214964;0.0;4231.160692698541;4231.160692698541;1671.11196198;0.0;5315.0;0.0;0.0;8788.0;-7850.754110232175;-7543.2576;-307.4965102321753;0.0;13957.0;-1645.5732917679916;1470.9548146109903
8;118.51529532633467;58451.105391948564;12486.102093307654;13957.0;12486.102093307654;1417.6921613918807;1417.6921613920142;1417.6921613920142;6837.249239216784;6837.249239214964;6837.249239214964;308.5764247142735;4231.160692698541;4231.160692698541;1879.6509777649999;0.0;5315.0;0.5422195999999999;0.0;8788.0;-8129.35904028959;-7813.4448;-315.91424028958966;0.0;13957.0;-2314.3532336480307;1470.9548146109903
9;133.21278684895657;58451.105391948564;12486.102093307654;13957.0;12486.102093307654;1417.6921613918735;1417.6921613920142;1417.6921613920142;6837.249239216785;6837.249239214964;6837.249239214964;553.5346164895564;4231.160692698541;4231.160692698541;1953.072111385;0.0;5315.0;284.89188858;0.0;8788.0;-8392.887193801449;-8067.9192;-324.9679938014492;0.0;13957.0;-2653.55407453809;1470.9548146109903
10;108.97871736748912;58451.105391948564;12486.102093307654;13957.0;12486.102093307654;1417.6921613918785;1417.6921613920142;1417.6921613920142;6837.249239216784;6837.249239214964;6837.249239214964;149.63345873194288;4231.160692698541;4231.160692698541;1952.122161435;0.0;5315.0;1192.60779196;0.0;8788.0;-8998.185701196528;-8647.6824;-350.50330119652807;0.0;13957.0;-2551.120362787469;1470.9548146109903
