Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_C_MidMerit;new_capacity_Gen_C_MidMerit;Capacity_Gen_C_MidMerit;Gen_C_Baseload;new_capacity_Gen_C_Baseload;Capacity_Gen_C_Baseload;Gen_C_Peak;new_capacity_Gen_C_Peak;Capacity_Gen_C_Peak;Gen_C_WindOnshore;new_capacity_Gen_C_WindOnshore;Capacity_Gen_C_WindOnshore;Gen_C_PV;new_capacity_Gen_C_PV;Capacity_Gen_C_PV;Cons_C;Inelastic_Cons_C;Elastic_Cons_C;ENS_Cons_C;CapDemand_Cons_C;NetworkManager;CapacityManager
1;86.67965732679056;69469.2030673737;14198.941847708695;15493.0;14198.941847708695;989.9563387857601;1582.7323185069092;1582.7323185069092;7131.856278373337;7131.856278373387;7131.856278373387;0.0;5484.353250825023;5484.353250825023;748.4615387;0.0;8300.0;0.0;0.0;18662.0;-8774.55880292891;-8430.884307839999;-343.6744950889108;0.0;15493.0;-95.71617504522561;1294.092108612997
2;75.19243778306901;69469.2030673737;14198.941847708695;15493.0;14198.941847708695;630.9777702388561;1582.7323185069092;1582.7323185069092;6898.141506000924;7131.856278373387;7131.856278373387;0.0;5484.353250825023;5484.353250825023;916.5384643;0.0;8300.0;0.0;0.0;18662.0;-8485.276455713109;-8151.99507648;-333.28137923310913;0.0;15493.0;39.617820618452974;1294.092108612997
3;72.0907011861927;69469.2030673737;14198.941847708695;15493.0;14198.941847708695;534.0851192445442;1582.7323185069092;1582.7323185069092;6511.352026397572;7131.856278373387;7131.856278373387;0.0;5484.353250825023;5484.353250825023;1173.8461501000002;0.0;8300.0;0.0;0.0;18662.0;-8294.493050899451;-7968.45784608;-326.03520481945094;0.0;15493.0;75.20977067745734;1294.092108612997
4;70.4990477595677;69469.2030673737;14198.941847708695;15493.0;14198.941847708695;484.3346313909882;1582.7323185069092;1582.7323185069092;6312.103265546686;7131.856278373387;7131.856278373387;0.0;5484.353250825023;5484.353250825023;1503.8461572;0.0;8300.0;0.0;0.0;18662.0;-8194.578440988193;-7872.345230399999;-322.2332105881926;0.0;15493.0;-105.70587679046332;1294.092108612997
5;70.19178657690813;69469.2030673737;14198.941847708695;15493.0;14198.941847708695;474.7279107598435;1582.7323185069092;1582.7323185069092;6273.570327352214;7131.856278373387;7131.856278373387;0.0;5484.353250825023;5484.353250825023;1802.5000025;0.0;8300.0;0.0;0.0;18662.0;-8362.906574384013;-8034.029538240001;-328.87703614401227;0.0;15493.0;-187.89204906891783;1294.092108612997
6;72.12866524114024;69469.2030673737;14198.941847708695;15493.0;14198.941847708695;535.2562401821833;1582.7323185069092;1582.7323185069092;6515.7010849765165;7131.856278373387;7131.856278373387;0.0;5484.353250825023;5484.353250825023;2037.3076914;0.0;8300.0;0.0;0.0;18662.0;-8880.893554495926;-8531.811692160001;-349.0818623359241;0.0;15493.0;-207.37182419405633;1294.092108612997
7;86.615223613964;69469.2030673737;14198.941847708695;15493.0;14198.941847708695;987.9427594295278;1582.7323185069092;1582.7323185069092;7131.856278373077;7131.856278373387;7131.856278373387;0.0;5484.353250825023;5484.353250825023;2269.6153871;0.0;8300.0;0.0;0.0;18662.0;-9790.629786009864;-9407.152615680001;-383.4771703298621;0.0;15493.0;-598.7854616406323;1294.092108612997
8;118.51475915583033;69469.2030673737;14198.941847708695;15493.0;14198.941847708695;1582.7323185100258;1582.7323185069092;1582.7323185069092;7131.856278373077;7131.856278373387;7131.856278373387;231.42733153776194;5484.353250825023;5484.353250825023;2469.4230798999997;0.0;8300.0;0.0;0.0;18662.0;-11276.40840279044;-10838.1969216;-438.21148119044;0.0;15493.0;-139.03171111747142;1294.092108612997
9;133.21225046388915;69469.2030673737;14198.941847708695;15493.0;14198.941847708695;1582.7323185092819;1582.7323185069092;1582.7323185069092;7131.856278373076;7131.856278373387;7131.856278373387;415.1459725879407;5484.353250825023;5484.353250825023;2599.8076886;0.0;8300.0;76.921815404;0.0;18662.0;-12062.640429930214;-11595.5815392;-467.0588907302139;0.0;15493.0;256.1752508238797;1294.092108612997
10;108.97818123901203;69469.2030673737;14198.941847708695;15493.0;14198.941847708695;1582.7323185097791;1582.7323185069092;1582.7323185069092;7131.856278373076;7131.856278373387;7131.856278373387;112.22010764942436;5484.353250825023;5484.353250825023;2720.5769216;0.0;8300.0;682.104143322;0.0;18662.0;-11983.455259998245;-11516.667696;-466.7875639982453;0.0;15493.0;-246.03561502984905;1294.092108612997
11;79.79513623423757;69469.2030673737;14198.941847708695;15493.0;14198.941847708695;774.8150205100881;1582.7323185069092;1582.7323185069092;7131.856278374691;7131.856278373387;7131.856278373387;0.0;5484.353250825023;5484.353250825023;2856.1538443;0.0;8300.0;1591.7045236959998;0.0;18662.0;-11542.457331596032;-11089.607999999998;-452.849331596034;0.0;15493.0;-812.0731582342295;1294.092108612997
12;493.1585985698784;69469.2030673737;14198.941847708695;15493.0;14198.941847708695;1582.7323185097464;1582.7323185069092;1582.7323185069092;7131.8562783759035;7131.856278373387;7131.856278373387;4914.432028063742;5484.353250825023;5484.353250825023;830.083;0.0;8300.0;1882.46897174;0.0;18662.0;-16120.118334126688;-15552.009599999998;-568.1087341266905;1.8189894035458565e-12;15493.0;-221.46140563940202;1294.092108612997
13;70.17778284427851;69469.2030673737;14198.941847708695;15493.0;14198.941847708695;474.2715581705368;1582.7323185069092;1582.7323185069092;6271.324148018001;7131.856278373387;7131.856278373387;0.0;5484.353250825023;5484.353250825023;3217.6923076000003;0.0;8300.0;2082.273357486;0.0;18662.0;-11353.65358863315;-10907.1618432;-446.49174543314984;0.0;15493.0;-691.9086337096119;1294.092108612997
14;70.29807211176637;69469.2030673737;14198.941847708695;15493.0;14198.941847708695;478.03683998155975;1582.7323185069092;1582.7323185069092;6286.521058792748;7131.856278373387;7131.856278373387;0.0;5484.353250825023;5484.353250825023;3400.1923092;0.0;8300.0;1853.2386811400002;0.0;18662.0;-11490.668524477622;-11038.8018432;-451.86668127762056;0.0;15493.0;-527.3210619049659;1294.092108612997
15;72.44154675527871;69469.2030673737;14198.941847708695;15493.0;14198.941847708695;545.0354242187628;1582.7323185069092;1582.7323185069092;6554.844522512799;7131.856278373387;7131.856278373387;0.0;5484.353250825023;5484.353250825023;3565.961536;0.0;8300.0;1297.8632157260001;0.0;18662.0;-11730.421143738127;-11269.367999999999;-461.0531437381293;0.0;15493.0;-233.28388096965577;1294.092108612997
16;79.84538094606651;69469.2030673737;14198.941847708695;15493.0;14198.941847708695;776.3851719897995;1582.7323185069092;1582.7323185069092;7131.856278373948;7131.856278373387;7131.856278373387;0.0;5484.353250825023;5484.353250825023;3709.2307659;0.0;8300.0;1020.944702666;0.0;18662.0;-12035.259648827721;-11563.0818432;-472.1778056277214;0.0;15493.0;-603.1580929493673;1294.092108612997
