Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_A_MidMerit;new_capacity_Gen_A_MidMerit;Capacity_Gen_A_MidMerit;Gen_A_Baseload;new_capacity_Gen_A_Baseload;Capacity_Gen_A_Baseload;Gen_A_Peak;new_capacity_Gen_A_Peak;Capacity_Gen_A_Peak;Gen_A_WindOnshore;new_capacity_Gen_A_WindOnshore;Capacity_Gen_A_WindOnshore;Gen_A_PV;new_capacity_Gen_A_PV;Capacity_Gen_A_PV;Cons_A;Inelastic_Cons_A;Elastic_Cons_A;ENS_Cons_A;CapDemand_Cons_A;NetworkManager;CapacityManager
1;86.7105163710996;38254.07014251532;14777.986866354648;14778.0;14777.986866354648;990.9942400617152;1285.5429631575869;1285.5429631575869;6601.075381873287;6601.075381887575;6601.075381887575;0.0;6891.368521325833;6891.368521325833;886.0567338000001;0.0;13700.0;0.0;0.0;15403.0;-8734.992345224742;-8392.87008;-342.12226522474134;0.0;14778.0;256.87255092327064;0.0
2;75.2535813607774;38254.07014251532;14777.986866354648;14778.0;14777.986866354648;632.9629797565059;1285.5429631575869;1285.5429631575869;6601.075381872954;6601.075381887575;6601.075381887575;0.0;6891.368521325833;6891.368521325833;1010.8928189000001;0.0;13700.0;0.0;0.0;15403.0;-8537.014322892437;-8201.705759999999;-335.3085628924389;0.0;14778.0;292.0893825006408;0.0
3;72.09406693543478;38254.07014251532;14777.986866354648;14778.0;14777.986866354648;534.197726056626;1285.5429631575869;1285.5429631575869;6512.093689190792;6601.075381887575;6601.075381887575;0.0;6891.368521325833;6891.368521325833;1138.9221822;0.0;13700.0;0.0;0.0;15403.0;-8563.104570554988;-8226.511199999999;-336.59337055498963;0.0;14778.0;377.89228808642105;0.0
4;70.50549564133078;38254.07014251532;14777.986866354648;14778.0;14777.986866354648;484.55637119472414;1285.5429631575869;1285.5429631575869;6313.588692246663;6601.075381887575;6601.075381887575;0.0;6891.368521325833;6891.368521325833;1277.6298324;0.0;13700.0;0.0;0.0;15403.0;-8729.596829784998;-8386.32576;-343.2710697849976;0.0;14778.0;653.8234881211138;0.0
5;70.20098544293793;38254.07014251532;14777.986866354648;14778.0;14777.986866354648;475.0444176244085;1285.5429631575869;1285.5429631575869;6275.691948135673;6601.075381887575;6601.075381887575;0.0;6891.368521325833;6891.368521325833;1465.214178;0.0;13700.0;0.0;0.0;15403.0;-9188.192293756243;-8826.861120000001;-361.33117375624136;0.0;14778.0;972.2439475836024;0.0
6;72.13993279342992;38254.07014251532;14777.986866354648;14778.0;14777.986866354648;535.6418008309314;1285.5429631575869;1285.5429631575869;6518.279232581056;6601.075381887575;6601.075381887575;0.0;6891.368521325833;6891.368521325833;1734.5955107;0.0;13700.0;0.0;0.0;15403.0;-10066.57927426506;-9670.89264;-395.68663426505873;0.0;14778.0;1278.0657802420671;0.0
7;86.64608218570979;38254.07014251532;14777.986866354648;14778.0;14777.986866354648;988.9806636126092;1285.5429631575869;1285.5429631575869;6601.075381878288;6601.075381887575;6601.075381887575;0.0;6891.368521325833;6891.368521325833;1995.2434359;0.0;13700.0;0.0;0.0;15403.0;-11847.294483493533;-11383.265759999998;-464.0287234935363;0.0;14778.0;2262.0015622166065;0.0
8;118.58580821296269;38254.07014251532;14777.986866354648;14778.0;14777.986866354648;1285.5429631584893;1285.5429631575869;1285.5429631575869;6601.075381878288;6601.075381887575;6601.075381887575;464.6659874748278;6891.368521325833;6891.368521325833;2149.0095644;0.0;13700.0;20.447852172;0.0;15403.0;-13000.08954894348;-12494.90304;-505.18650894348195;0.0;14778.0;2479.354439619949;0.0
9;133.28328677483444;38254.07014251532;14777.986866354648;14778.0;14777.986866354648;1285.5429631584088;1285.5429631575869;1285.5429631575869;6601.075381878288;6601.075381887575;6601.075381887575;832.1029515804731;6891.368521325833;6891.368521325833;2246.6039803999997;0.0;13700.0;202.589528606;0.0;15403.0;-13591.256568757935;-13065.01968;-526.2368887579358;0.0;14778.0;2423.348402912516;0.0
10;109.04921300680691;38254.07014251532;14777.986866354648;14778.0;14777.986866354648;1285.5429631584877;1285.5429631575869;1285.5429631575869;6601.075381878288;6601.075381887575;6601.075381887575;226.2511087456318;6891.368521325833;6891.368521325833;2266.9740994;0.0;13700.0;533.144624314;0.0;15403.0;-13736.107150563004;-13201.0584;-535.0487505630055;0.0;14778.0;2823.1256132809826;0.0
11;79.82599364179214;38254.07014251532;14777.986866354648;14778.0;14777.986866354648;775.8528975453166;1285.5429631575869;1285.5429631575869;6601.075381878287;6601.075381887575;6601.075381887575;0.0;6891.368521325833;6891.368521325833;2229.3351441;0.0;13700.0;901.557444467;0.0;15403.0;-13900.341169544048;-13354.988159999999;-545.3530095440505;0.0;14778.0;3392.526861817296;0.0
12;3999.9964845842765;38254.07014251532;14777.986866354648;14778.0;14777.986866354648;1285.5429631587974;1285.5429631575869;1285.5429631575869;6601.075381878471;6601.075381887575;6601.075381887575;6891.368521325757;6891.368521325833;6891.368521325833;1370.137;0.0;13700.0;0.0;0.0;15403.0;-18237.48026057937;-18237.47490331969;-0.005357259681100802;2.534696680308116;14778.0;2089.356407658731;0.0
