Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_B_MidMerit;new_capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_Baseload;new_capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_Peak;new_capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Gen_B_PV;new_capacity_Gen_B_PV;Capacity_Gen_B_PV;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;ENS_Cons_B;CapDemand_Cons_B;NetworkManager;CapacityManager
1;86.68125786715596;48333.59280733286;13084.016515469291;13084.0;13084.016515469291;990.0123991070225;1422.0463283104384;1422.0463283104384;6846.161695464343;6846.161695462956;6846.161695462956;0.0;4815.80849168876;4815.80849168876;424.55263299999996;0.0;5315.0;0.0;0.0;8788.0;-8108.268007150482;-7790.6903999999995;-317.577607150483;0.0;13084.0;-152.46308311619651;0.0
2;75.22432321558368;48333.59280733286;13084.016515469291;13084.0;13084.016515469291;631.9811508699262;1422.0463283104384;1422.0463283104384;6846.161694673477;6846.161695462956;6846.161695462956;0.0;4815.80849168876;4815.80849168876;590.04391712;0.0;5315.0;0.0;0.0;8788.0;-7743.233272429105;-7439.099999999999;-304.1332724291063;0.0;13084.0;-324.9581740895533;0.0
3;72.08647791114251;48333.59280733286;13084.016515469291;13084.0;13084.016515469291;533.9427947495824;1422.0463283104384;1422.0463283104384;6510.408896082418;6846.161695462956;6846.161695462956;0.0;4815.80849168876;4815.80849168876;805.7575504199999;0.0;5315.0;0.0;0.0;8788.0;-7397.133804938663;-7106.3712;-290.762604938664;0.0;13084.0;-452.97699248566585;0.0
4;70.49840583001257;48333.59280733286;13084.016515469291;13084.0;13084.016515469291;484.3182095719485;1422.0463283104384;1422.0463283104384;6312.014731337344;6846.161695462956;6846.161695462956;0.0;4815.80849168876;4815.80849168876;1017.8963785;0.0;5315.0;0.0;0.0;8788.0;-7266.488616551277;-6980.7504;-285.7382165512772;0.0;13084.0;-547.7418309548976;0.0
5;70.19121015280456;48333.59280733286;13084.016515469291;13084.0;13084.016515469291;474.7160452920628;1422.0463283104384;1422.0463283104384;6273.521812892402;6846.161695462956;6846.161695462956;0.0;4815.80849168876;4815.80849168876;1277.357707705;0.0;5315.0;0.0;0.0;8788.0;-7241.738351522787;-6956.951999999999;-284.7863515227877;0.0;13084.0;-783.8587150237299;0.0
6;72.12575313427854;48333.59280733286;13084.016515469291;13084.0;13084.016515469291;535.1654770109598;1422.0463283104384;1422.0463283104384;6515.131347556122;6846.161695462956;6846.161695462956;0.0;4815.80849168876;4815.80849168876;1485.4467449600002;0.0;5315.0;0.0;0.0;8788.0;-7465.469065010648;-7172.0232;-293.445865010648;0.0;13084.0;-1070.276818896735;0.0
7;86.61682149623421;48333.59280733286;13084.016515469291;13084.0;13084.016515469291;987.998749241085;1422.0463283104384;1422.0463283104384;6846.161695457379;6846.161695462956;6846.161695462956;0.0;4815.80849168876;4815.80849168876;1671.11196198;0.0;5315.0;0.0;0.0;8788.0;-7850.753986166417;-7543.2576;-307.4963861664175;0.0;13084.0;-1654.5227853543347;0.0
8;118.55355342404911;48333.59280733286;13084.016515469291;13084.0;13084.016515469291;1422.0463283116644;1422.0463283104384;1422.0463283104384;6846.161695457393;6846.161695462956;6846.161695462956;309.2228552438553;4815.80849168876;4815.80849168876;1879.6509777649999;0.0;5315.0;0.5422195999999999;0.0;8788.0;-8129.35586248864;-7813.4448;-315.9110624886402;0.0;13084.0;-2328.2736202587753;0.0
9;133.2510314181694;48333.59280733286;13084.016515469291;13084.0;13084.016515469291;1422.0463283116621;1422.0463283104384;1422.0463283104384;6846.161695457394;6846.161695462956;6846.161695462956;554.1808217029418;4815.80849168876;4815.80849168876;1953.072111385;0.0;5315.0;284.89188858;0.0;8788.0;-8392.88391364136;-8067.9192;-324.96471364135994;0.0;13084.0;-2667.474338360746;0.0
10;109.01695716321609;48333.59280733286;13084.016515469291;13084.0;13084.016515469291;1422.0463283113222;1422.0463283104384;1422.0463283104384;6846.161695457391;6846.161695462956;6846.161695462956;150.27958426414762;4815.80849168876;4815.80849168876;1952.122161435;0.0;5315.0;1192.60779196;0.0;8788.0;-8998.182185764344;-8647.6824;-350.4997857643448;0.0;13084.0;-2565.0407819723214;0.0
