Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_C_MidMerit;new_capacity_Gen_C_MidMerit;Capacity_Gen_C_MidMerit;Gen_C_Baseload;new_capacity_Gen_C_Baseload;Capacity_Gen_C_Baseload;Gen_C_Peak;new_capacity_Gen_C_Peak;Capacity_Gen_C_Peak;Gen_C_WindOnshore;new_capacity_Gen_C_WindOnshore;Capacity_Gen_C_WindOnshore;Gen_C_PV;new_capacity_Gen_C_PV;Capacity_Gen_C_PV;Cons_C;Inelastic_Cons_C;Elastic_Cons_C;ENS_Cons_C;CapDemand_Cons_C;NetworkManager;CapacityManager
1;86.68885014462664;59245.70223189378;14238.007043045207;14238.0;14238.007043045207;990.2677742936;1585.7976327671377;1585.7976327671377;7140.236256948602;7140.236256948706;7140.236256948706;0.0;5511.973153328903;5511.973153328903;748.4615387;0.0;8300.0;0.0;0.0;18662.0;-8774.55797117488;-8430.884307839999;-343.67366333488076;0.0;14238.0;-104.40946780707489;0.0
2;75.23223508686924;59245.70223189378;14238.007043045207;14238.0;14238.007043045207;632.247646712827;1585.7976327671377;1585.7976327671377;6903.616084546281;7140.236256948706;7140.236256948706;0.0;5511.973153328903;5511.973153328903;916.5384643;0.0;8300.0;0.0;0.0;18662.0;-8485.273050269658;-8151.99507648;-333.2779737896585;0.0;14238.0;32.86879158891297;0.0
3;72.09121793321295;59245.70223189378;14238.007043045207;14238.0;14238.007043045207;534.101908255983;1585.7976327671377;1585.7976327671377;6511.460534431829;7140.236256948706;7140.236256948706;0.0;5511.973153328903;5511.973153328903;1173.8461501000002;0.0;8300.0;0.0;0.0;18662.0;-8294.493010934997;-7968.45784608;-326.03516485499665;0.0;14238.0;75.08470439924356;0.0
4;70.50027983425062;59245.70223189378;14238.007043045207;14238.0;14238.007043045207;484.381362801231;1585.7976327671377;1585.7976327671377;6312.431964831636;7140.236256948706;7140.236256948706;0.0;5511.973153328903;5511.973153328903;1503.8461572;0.0;8300.0;0.0;0.0;18662.0;-8194.578333559708;-7872.345230399999;-322.23310315970946;0.0;14238.0;-106.08165716621511;0.0
5;70.19336468255139;59245.70223189378;14238.007043045207;14238.0;14238.007043045207;474.7887500372839;1585.7976327671377;1585.7976327671377;6274.002084436787;7140.236256948706;7140.236256948706;0.0;5511.973153328903;5511.973153328903;1802.5000025;0.0;8300.0;0.0;0.0;18662.0;-8362.906431909309;-8034.029538240001;-328.8768936693085;0.0;14238.0;-188.3852325598742;0.0
6;72.12995735348412;59245.70223189378;14238.007043045207;14238.0;14238.007043045207;535.307053592535;1585.7976327671377;1585.7976327671377;6516.066770918071;7140.236256948706;7140.236256948706;0.0;5511.973153328903;5511.973153328903;2037.3076914;0.0;8300.0;0.0;0.0;18662.0;-8880.893428238642;-8531.811692160001;-349.08173607864074;0.0;14238.0;-207.7889613453341;0.0
7;86.62441355780146;59245.70223189378;14238.007043045207;14238.0;14238.007043045207;988.2541194959623;1585.7976327671377;1585.7976327671377;7140.236256948665;7140.236256948706;7140.236256948706;0.0;5511.973153328903;5511.973153328903;2269.6153871;0.0;8300.0;0.0;0.0;18662.0;-9790.628858176182;-9407.152615680001;-383.4762424961819;0.0;14238.0;-607.478776862272;0.0
8;118.56187960051429;59245.70223189378;14238.007043045207;14238.0;14238.007043045207;1585.797632767378;1585.7976327671377;1585.7976327671377;7140.236256948665;7140.236256948706;7140.236256948706;232.02416100688725;5511.973153328903;5511.973153328903;2469.4230798999997;0.0;8300.0;0.0;0.0;18662.0;-11276.403037840073;-10838.1969216;-438.2061162400738;0.0;14238.0;-151.0808193611745;0.0
9;133.25935757032724;59245.70223189378;14238.007043045207;14238.0;14238.007043045207;1585.7976327673755;1585.7976327671377;1585.7976327671377;7140.236256948665;7140.236256948706;7140.236256948706;415.7426356854872;5511.973153328903;5511.973153328903;2599.8076886;0.0;8300.0;76.921815404;0.0;18662.0;-12062.634691662392;-11595.5815392;-467.05315246239246;0.0;14238.0;244.12593544822943;0.0
10;109.0252836545211;59245.70223189378;14238.007043045207;14238.0;14238.007043045207;1585.7976327670667;1585.7976327671377;1585.7976327671377;7140.236256948665;7140.236256948706;7140.236256948706;112.81671163588096;5511.973153328903;5511.973153328903;2720.5769216;0.0;8300.0;682.104143322;0.0;18662.0;-11983.449561353205;-11516.667696;-466.7818653532061;0.0;14238.0;-258.08483130866153;0.0
11;79.80432320110793;59245.70223189378;14238.007043045207;14238.0;14238.007043045207;775.1262930649154;1585.7976327671377;1585.7976327671377;7140.236256950118;7140.236256948706;7140.236256948706;0.0;5511.973153328903;5511.973153328903;2856.1538443;0.0;8300.0;1591.7045236959998;0.0;18662.0;-11542.456238126215;-11089.607999999998;-452.8482381262173;0.0;14238.0;-820.7665519737247;0.0
