Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_A_MidMerit;new_capacity_Gen_A_MidMerit;Capacity_Gen_A_MidMerit;Gen_A_Baseload;new_capacity_Gen_A_Baseload;Capacity_Gen_A_Baseload;Gen_A_Peak;new_capacity_Gen_A_Peak;Capacity_Gen_A_Peak;Gen_A_WindOnshore;new_capacity_Gen_A_WindOnshore;Capacity_Gen_A_WindOnshore;Gen_A_PV;new_capacity_Gen_A_PV;Capacity_Gen_A_PV;Cons_A;Inelastic_Cons_A;Elastic_Cons_A;ENS_Cons_A;CapDemand_Cons_A;NetworkManager;CapacityManager
1;87.1448819019301;0.0;0.0;0.0;0.0;1004.5921244847772;1424.3443145811668;1424.3443145811668;6871.352349793609;6871.35234979608;6871.35234979608;0.0;1194.0042498269895;1194.0042498269895;886.0567338000001;0.0;13700.0;0.0;0.0;15403.0;-8734.954279622856;-8392.87008;-342.08419962285507;0.0;0.0;-27.043147560619218;0.0
2;74.47020489708864;0.0;0.0;0.0;0.0;608.4786769251021;1424.3443145811668;1424.3443145811668;6809.682842288458;6871.35234979608;6871.35234979608;0.0;1194.0042498269895;1194.0042498269895;1010.8928189000001;0.0;13700.0;0.0;0.0;15403.0;-8537.081173328526;-8201.705759999999;-335.37541332852715;0.0;0.0;108.02862507596747;0.0
3;72.09332453540237;0.0;0.0;0.0;0.0;534.1797228845944;1424.3443145811668;1424.3443145811668;6512.018231683853;6871.35234979608;6871.35234979608;0.0;1194.0042498269895;1194.0042498269895;1138.9221822;0.0;13700.0;0.0;0.0;15403.0;-8563.104616750928;-8226.511199999999;-336.5934167509294;0.0;0.0;377.9851647394755;0.0
4;70.50620150190082;0.0;0.0;0.0;0.0;484.5913655432766;1424.3443145811668;1424.3443145811668;6313.859392066012;6871.35234979608;6871.35234979608;0.0;1194.0042498269895;1194.0042498269895;1277.6298324;0.0;13700.0;0.0;0.0;15403.0;-8729.596745755944;-8386.32576;-343.27098575594425;0.0;0.0;653.5173187235504;0.0
5;70.20209624275734;0.0;0.0;0.0;0.0;475.0977888361204;1424.3443145811668;1424.3443145811668;6276.094766657994;6871.35234979608;6871.35234979608;0.0;1194.0042498269895;1194.0042498269895;1465.214178;0.0;13700.0;0.0;0.0;15403.0;-9188.192158249938;-8826.861120000001;-361.3310382499362;0.0;0.0;971.7870890730596;0.0
6;72.14022094509534;0.0;0.0;0.0;0.0;535.6709846499068;1424.3443145811668;1424.3443145811668;6518.537659409807;6871.35234979608;6871.35234979608;0.0;1194.0042498269895;1194.0042498269895;1734.5955107;0.0;13700.0;0.0;0.0;15403.0;-10066.579195813154;-9670.89264;-395.6865558131551;0.0;0.0;1277.77705533982;0.0
7;87.08026781570342;0.0;0.0;0.0;0.0;1002.572923072924;1424.3443145811668;1424.3443145811668;6871.352349791003;6871.35234979608;6871.35234979608;0.0;1194.0042498269895;1194.0042498269895;1995.2434359;0.0;13700.0;0.0;0.0;15403.0;-11847.242876423521;-11383.265759999998;-463.9771164235235;0.0;0.0;1978.0779466200272;0.0
8;121.20200204846888;0.0;0.0;0.0;0.0;1424.3443145810695;1424.3443145811668;1424.3443145811668;6871.352349791007;6871.35234979608;6871.35234979608;530.0898255680206;1194.0042498269895;1194.0042498269895;2149.0095644;0.0;13700.0;20.447852172;0.0;15403.0;-12999.748893653883;-12494.90304;-504.8458536538837;0.0;0.0;2004.5094311079295;0.0
9;236.42852861790064;0.0;0.0;0.0;0.0;1424.3443145810984;1424.3443145811668;1424.3443145811668;6871.352349791008;6871.35234979608;6871.35234979608;1194.0042498269445;1194.0042498269895;1194.0042498269895;2246.6039803999997;0.0;13700.0;202.589528606;0.0;15403.0;-13577.219006741972;-13065.01968;-512.1993267419741;0.0;0.0;1638.3245835359485;0.0
10;110.78589547835243;0.0;0.0;0.0;0.0;1424.3443145811323;1424.3443145811668;1424.3443145811668;6871.352349791007;6871.35234979608;6871.35234979608;269.69135619838534;1194.0042498269895;1194.0042498269895;2266.9740994;0.0;13700.0;533.144624314;0.0;15403.0;-13735.86818368701;-13201.0584;-534.8097836870099;0.0;0.0;2370.3661968355314;0.0
