Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_B_MidMerit;new_capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_Baseload;new_capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_Peak;new_capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Gen_B_PV;new_capacity_Gen_B_PV;Capacity_Gen_B_PV;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;ENS_Cons_B;CapDemand_Cons_B;NetworkManager;CapacityManager
1;87.12042160552102;0.0;0.0;0.0;0.0;1003.7183349361288;1405.4784734248487;1405.4784734248487;6832.830740114763;6832.830740115553;6832.830740115553;0.0;450.95400741455336;450.95400741455336;424.55263299999996;0.0;5315.0;0.0;0.0;8788.0;-8108.232426058087;-7790.6903999999995;-317.54202605808814;0.0;0.0;-152.87307749850228;0.0
2;74.45547448493676;0.0;0.0;0.0;0.0;607.9524043948609;1405.4784734248487;1405.4784734248487;6806.202496992072;6832.830740115553;6832.830740115553;0.0;450.95400741455336;450.95400741455336;590.04391712;0.0;5315.0;0.0;0.0;8788.0;-7743.29290537368;-7439.099999999999;-304.19290537368096;0.0;0.0;-260.90826299457837;0.0
3;72.08626894184079;0.0;0.0;0.0;0.0;533.9275997754273;1405.4784734248487;1405.4784734248487;6510.350787328406;6832.830740115553;6832.830740115553;0.0;450.95400741455336;450.95400741455336;805.7575504199999;0.0;5315.0;0.0;0.0;8788.0;-7397.1338392743955;-7106.3712;-290.7626392743961;0.0;0.0;-452.90347607855966;0.0
4;70.49797318263575;0.0;0.0;0.0;0.0;484.29743841553017;1405.4784734248487;1405.4784734248487;6311.915686257395;6832.830740115553;6832.830740115553;0.0;450.95400741455336;450.95400741455336;1017.8963785;0.0;5315.0;0.0;0.0;8788.0;-7266.48866164581;-6980.7504;-285.7382616458098;0.0;0.0;-547.6219155861288;0.0
5;70.19116155226467;0.0;0.0;0.0;0.0;474.70721990120524;1405.4784734248487;1405.4784734248487;6273.512061510402;6832.830740115553;6832.830740115553;0.0;450.95400741455336;450.95400741455336;1277.357707705;0.0;5315.0;0.0;0.0;8788.0;-7241.738372658649;-6956.951999999999;-284.78637265864967;0.0;0.0;-783.8398700309839;0.0
6;72.12642361570104;0.0;0.0;0.0;0.0;535.1781439517986;1405.4784734248487;1405.4784734248487;6515.278645548134;6832.830740115553;6832.830740115553;0.0;450.95400741455336;450.95400741455336;1485.4467449600002;0.0;5315.0;0.0;0.0;8788.0;-7465.469042309809;-7172.0232;-293.4458423098094;0.0;0.0;-1070.4361991973894;0.0
7;87.05580591400445;0.0;0.0;0.0;0.0;1001.6990795323164;1405.4784734248487;1405.4784734248487;6832.830740135127;6832.830740115553;6832.830740115553;0.0;450.95400741455336;450.95400741455336;1671.11196198;0.0;5315.0;0.0;0.0;8788.0;-7850.719549247324;-7543.2576;-307.46194924732373;0.0;0.0;-1654.9260289349684;0.0
8;121.1751453151334;0.0;0.0;0.0;0.0;1405.4784734243285;1405.4784734248487;1405.4784734248487;6832.830740135134;6832.830740115553;6832.830740115553;352.89999000473733;450.95400741455336;450.95400741455336;1879.6509777649999;0.0;5315.0;0.5422195999999999;0.0;8788.0;-8129.142567724502;-7813.4448;-315.69776772450285;0.0;0.0;-2342.2655674676257;0.0
9;234.97914723848322;0.0;0.0;0.0;0.0;1405.4784734243426;1405.4784734248487;1405.4784734248487;6832.830740135136;6832.830740115553;6832.830740115553;450.95400741458246;450.95400741455336;450.95400741455336;1953.072111385;0.0;5315.0;284.89188858;0.0;8788.0;-8384.334662312434;-8067.9192;-316.4154623124337;0.0;0.0;-2542.8936516175645;0.0
10;110.75896409266407;0.0;0.0;0.0;0.0;1405.4784734242219;1405.4784734248487;1405.4784734248487;6832.830740135133;6832.830740115553;6832.830740115553;179.29852925801973;450.95400741455336;450.95400741455336;1952.122161435;0.0;5315.0;1192.60779196;0.0;8788.0;-8998.025349558784;-8647.6824;-350.3429495587847;0.0;0.0;-2564.3177131755197;0.0
11;80.2354671155039;0.0;0.0;0.0;0.0;788.5634877362608;1405.4784734248487;1405.4784734248487;6832.83074013369;6832.830740115553;6832.830740115553;0.0;450.95400741455336;450.95400741455336;2001.56955704;0.0;5315.0;2332.255343444;0.0;8788.0;-9383.060425953263;-9014.971199999998;-368.0892259532656;0.0;0.0;-2572.1624988077065;0.0
12;4000.0061813920825;0.0;0.0;0.0;0.0;1405.478473424305;1405.4784734248487;1405.4784734248487;6832.830740133752;6832.830740115553;6832.830740115553;450.9540074145824;450.95400741455336;450.95400741455336;531.55315;0.0;5315.0;882.985821068;0.0;8788.0;-10551.100342624855;-10551.097212328259;-0.0031302965972019358;3272.9123876717404;0.0;447.2976153639955;0.0
13;70.17233315876672;0.0;0.0;0.0;0.0;474.0821669369333;1405.4784734248487;1405.4784734248487;6270.313817412434;6832.830740115553;6832.830740115553;0.0;450.95400741455336;450.95400741455336;2309.578330105;0.0;5315.0;3377.281400428;0.0;8788.0;-9518.545937911933;-9144.2208;-374.32513791193446;0.0;0.0;-2912.713804668109;0.0
14;70.2905165057278;0.0;0.0;0.0;0.0;477.7720980615215;1405.4784734248487;1405.4784734248487;6285.006294436761;6832.830740115553;6832.830740115553;0.0;450.95400741455336;450.95400741455336;2473.819675045;0.0;5315.0;3304.9504042880003;0.0;8788.0;-9454.512214808956;-9082.716;-371.7962148089555;0.0;0.0;-3087.0405314417935;0.0
15;72.4310643612627;0.0;0.0;0.0;0.0;544.6652126941665;1405.4784734248487;1405.4784734248487;6552.5894973479835;6832.830740115553;6832.830740115553;0.0;450.95400741455336;450.95400741455336;2667.884452315;0.0;5315.0;2613.375070904;0.0;8788.0;-9281.532428665767;-8916.7296;-364.8028286657667;0.0;0.0;-3096.9859985777057;0.0
16;80.28572497373008;0.0;0.0;0.0;0.0;790.134048036069;1405.4784734248487;1405.4784734248487;6832.830740133737;6832.830740115553;6832.830740115553;0.0;450.95400741455336;450.95400741455336;2822.4763084549995;0.0;5315.0;1431.583804196;0.0;8788.0;-9084.620499383342;-8728.243199999999;-356.3772993833436;0.0;0.0;-2792.408197785999;0.0
17;109.59827643952248;0.0;0.0;0.0;0.0;1405.4784734242796;1405.4784734248487;1405.4784734248487;6832.830740135133;6832.830740115553;6832.830740115553;159.9537366573728;450.95400741455336;450.95400741455336;2929.87065101;0.0;5315.0;307.25238336;0.0;8788.0;-9232.203083215165;-8872.6392;-359.563883215165;0.0;0.0;-2403.1882674442722;0.0
18;4000.004283769808;0.0;0.0;0.0;0.0;1405.4784734240159;1405.4784734248487;1405.4784734248487;6832.830740111549;6832.830740115553;6832.830740115553;450.9540074145824;450.95400741455336;450.95400741455336;531.55315;0.0;5315.0;0.0050003719999999995;0.0;8788.0;-9346.32688641446;-9346.323742092885;-0.003144321574803736;4477.685857907114;0.0;125.50532277420966;0.0
19;4000.0042753783146;0.0;0.0;0.0;0.0;1405.4784734240159;1405.4784734248487;1405.4784734248487;6832.830740111549;6832.830740115553;6832.830740115553;450.9540074145824;450.95400741455336;450.95400741455336;531.55315;0.0;5315.0;0.0;0.0;8788.0;-9346.319939329507;-9346.316595870943;-0.003343458563832746;6013.693004129056;0.0;125.50337944291005;0.0
20;131.54585318803933;0.0;0.0;0.0;0.0;1405.4784734239863;1405.4784734248487;1405.4784734248487;6832.830740112936;6832.830740115553;6832.830740115553;450.9540074129551;450.95400741455336;450.95400741455336;3184.90721614;0.0;5315.0;0.0;0.0;8788.0;-9860.299604069121;-9478.356;-381.9436040691227;0.0;0.0;-2013.8719260349649;0.0
