Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_C_MidMerit;new_capacity_Gen_C_MidMerit;Capacity_Gen_C_MidMerit;Gen_C_Baseload;new_capacity_Gen_C_Baseload;Capacity_Gen_C_Baseload;Gen_C_Peak;new_capacity_Gen_C_Peak;Capacity_Gen_C_Peak;Gen_C_WindOnshore;new_capacity_Gen_C_WindOnshore;Capacity_Gen_C_WindOnshore;Gen_C_PV;new_capacity_Gen_C_PV;Capacity_Gen_C_PV;Cons_C;Inelastic_Cons_C;Elastic_Cons_C;ENS_Cons_C;CapDemand_Cons_C;NetworkManager;CapacityManager
1;87.128203681256;0.0;0.0;0.0;0.0;1003.9936965754;1409.8661358162815;1409.8661358162815;6842.147154517441;6842.147154507121;6842.147154507121;0.0;216.96563373661135;216.96563373661135;748.4615387;0.0;8300.0;0.0;0.0;18662.0;-8774.519408816914;-8430.884307839999;-343.63510097691494;0.0;0.0;179.91622505912093;0.0
2;74.4619566082404;0.0;0.0;0.0;0.0;608.1842528856708;1409.8661358162815;1409.8661358162815;6807.735991185675;6842.147154507121;6842.147154507121;0.0;216.96563373661135;216.96563373661135;916.5384643;0.0;8300.0;0.0;0.0;18662.0;-8485.33848113674;-8151.99507648;-333.3434046567397;0.0;0.0;152.87963791861165;0.0
3;72.09159714166572;0.0;0.0;0.0;0.0;534.1181586778176;1409.8661358162815;1409.8661358162815;6511.610705164079;6842.147154507121;6842.147154507121;0.0;216.96563373661135;216.96563373661135;1173.8461501000002;0.0;8300.0;0.0;0.0;18662.0;-8294.492975450907;-7968.45784608;-326.0351293709068;0.0;0.0;74.918311339084;0.0
4;70.49949141207837;0.0;0.0;0.0;0.0;484.3517576351647;1409.8661358162815;1409.8661358162815;6312.275425774194;6842.147154507121;6842.147154507121;0.0;216.96563373661135;216.96563373661135;1503.8461572;0.0;8300.0;0.0;0.0;18662.0;-8194.578404720753;-7872.345230399999;-322.2331743207536;0.0;0.0;-105.89540313742053;0.0
5;70.19164777181825;0.0;0.0;0.0;0.0;474.72464384632684;1409.8661358162815;1409.8661358162815;6273.628253262771;6842.147154507121;6842.147154507121;0.0;216.96563373661135;216.96563373661135;1802.5000025;0.0;8300.0;0.0;0.0;18662.0;-8362.90658693477;-8034.029538240001;-328.87704869476914;0.0;0.0;-187.947219042077;0.0
6;72.12814142291192;0.0;0.0;0.0;0.0;535.2396188997482;1409.8661358162815;1409.8661358162815;6515.68621031006;6842.147154507121;6842.147154507121;0.0;216.96563373661135;216.96563373661135;2037.3076914;0.0;8300.0;0.0;0.0;18662.0;-8880.893602276854;-8531.811692160001;-349.08191011685295;0.0;0.0;-207.34085614243025;0.0
7;87.06358770256438;0.0;0.0;0.0;0.0;1001.9744292235818;1409.8661358162815;1409.8661358162815;6842.147154512455;6842.147154507121;6842.147154507121;0.0;216.96563373661135;216.96563373661135;2269.6153871;0.0;8300.0;0.0;0.0;18662.0;-9790.585848033073;-9407.152615680001;-383.43323235307236;0.0;0.0;-323.1519176850584;0.0
8;120.7314004624338;0.0;0.0;0.0;0.0;1409.8661358164238;1409.8661358162815;1409.8661358162815;6842.147154512458;6842.147154507121;6842.147154507121;216.9656337365037;216.96563373661135;216.96563373661135;2469.4230798999997;0.0;8300.0;0.0;0.0;18662.0;-11276.158140284082;-10838.1969216;-437.9612186840823;0.0;0.0;337.75613635970046;0.0
9;235.56509698064377;0.0;0.0;0.0;0.0;1409.8661358164481;1409.8661358162815;1409.8661358162815;6842.147154512459;6842.147154507121;6842.147154507121;216.9656337366095;216.96563373661135;216.96563373661135;2599.8076886;0.0;8300.0;76.921815404;0.0;18662.0;-12050.277496147566;-11595.5815392;-454.69595694756583;0.0;0.0;904.5690680815214;0.0
10;110.76775334169466;0.0;0.0;0.0;0.0;1409.8661358164431;1409.8661358162815;1409.8661358162815;6842.147154512458;6842.147154507121;6842.147154507121;134.59345696731936;216.96563373661135;216.96563373661135;2720.5769216;0.0;8300.0;682.104143322;0.0;18662.0;-11983.24057032849;-11516.667696;-466.57287432849006;0.0;0.0;193.95151633998668;0.0
