Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_A_MidMerit;new_capacity_Gen_A_MidMerit;Capacity_Gen_A_MidMerit;Gen_A_Baseload;new_capacity_Gen_A_Baseload;Capacity_Gen_A_Baseload;Gen_A_Peak;new_capacity_Gen_A_Peak;Capacity_Gen_A_Peak;Gen_A_WindOnshore;new_capacity_Gen_A_WindOnshore;Capacity_Gen_A_WindOnshore;Gen_A_PV;new_capacity_Gen_A_PV;Capacity_Gen_A_PV;Cons_A;Inelastic_Cons_A;Elastic_Cons_A;ENS_Cons_A;CapDemand_Cons_A;NetworkManager;CapacityManager
1;39.66636049319947;60000.00000006881;63928.93500145749;63928.935;63928.93500145749;0.0;6184.724805992565;6184.724805992565;17666.360493198663;24978.646091342205;24978.646091342205;0.0;32765.564104139718;32765.564104139718;22045.749980981996;0.0;72618.0;0.0;0.0;86952.0;-45712.11047418054;-43901.04;-1811.0704741805375;0.0;63928.935;5999.999999999881;0.0
2;39.40404299087013;60000.00000006881;63928.93500145749;63928.935;63928.93500145749;0.0;6184.724805992565;6184.724805992565;17404.042990870075;24978.646091342205;24978.646091342205;0.0;32765.564104139718;32765.564104139718;20881.000032984;0.0;72618.0;0.0;0.0;86952.0;-44285.04302385395;-42530.4;-1754.643023853947;0.0;63928.935;5999.999999999871;0.0
3;39.65390793854207;60000.00000006881;63928.93500145749;63928.935;63928.93500145749;0.0;6184.724805992565;6184.724805992565;17653.90793854179;24978.646091342205;24978.646091342205;0.0;32765.564104139718;32765.564104139718;20062.25001963;0.0;72618.0;0.0;0.0;86952.0;-43716.15795817167;-41984.159999999996;-1731.9979581716743;0.0;63928.935;5999.999999999881;0.0
4;40.4294457457405;60000.00000006881;63928.93500145749;63928.935;63928.93500145749;0.0;6184.724805992565;6184.724805992565;18429.44574574019;24978.646091342205;24978.646091342205;0.0;32765.564104139718;32765.564104139718;19590.500036016;0.0;72618.0;0.0;0.0;86952.0;-44019.94578175608;-42276.24;-1743.7057817560844;0.0;63928.935;5999.999999999882;0.0
5;42.06610222871854;60000.00000006881;63928.93500145749;63928.935;63928.93500145749;0.0;6184.724805992565;6184.724805992565;20066.102228718348;24978.646091342205;24978.646091342205;0.0;32765.564104139718;32765.564104139718;19433.000017704;0.0;72618.0;0.0;0.0;86952.0;-45499.102246422255;-43697.52;-1801.5822464222608;0.0;63928.935;5999.999999999904;0.0
6;45.55911976700698;60000.00000006881;63928.93500145749;63928.935;63928.93500145749;0.0;6184.724805992565;6184.724805992565;23559.119767007323;24978.646091342205;24978.646091342205;0.0;32765.564104139718;32765.564104139718;19541.999998794;0.0;72618.0;0.0;0.0;86952.0;-49101.119765801246;-47158.56;-1942.5597658012468;0.0;63928.935;5999.999999999925;0.0
7;101.40526686734187;60000.00000006881;63928.93500145749;63928.935;63928.93500145749;4640.5267208196765;6184.724805992565;6184.724805992565;24978.646091327893;24978.646091342205;24978.646091342205;292.5658362816186;32765.564104139718;32765.564104139718;19970.750032506003;0.0;72618.0;35.499979992;0.0;86952.0;-55917.988655435154;-53735.759999999995;-2182.2286554351595;0.0;63928.935;5999.99999999998;0.0
8;166.85172335800664;60000.00000006881;63928.93500145749;63928.935;63928.93500145749;6184.724805992557;6184.724805992565;6184.724805992565;24978.646091327893;24978.646091342205;24978.646091342205;1110.646541139991;32765.564104139718;32765.564104139718;19768.749994266;0.0;72618.0;2228.999999016;0.0;86952.0;-60271.767443192875;-57957.6;-2314.167443192874;0.0;63928.935;5999.999999999921;0.0
9;97.80031242365925;60000.00000006881;63928.93500145749;63928.935;63928.93500145749;4280.031276395371;6184.724805992565;6184.724805992565;24978.646091327893;24978.646091342205;24978.646091342205;247.50390573521173;32765.564104139718;32765.564104139718;17854.999985004;0.0;72618.0;9530.7500274;0.0;86952.0;-62891.931280375175;-60435.36;-2456.5712803751735;0.0;63928.935;5999.999999999941;0.0
10;53.01022205071032;60000.00000006881;63928.93500145749;63928.935;63928.93500145749;0.0;6184.724805992565;6184.724805992565;24978.64609131187;24978.646091342205;24978.646091342205;0.0;32765.564104139718;32765.564104139718;14545.000016274;0.0;72618.0;19428.999987288;0.0;86952.0;-63103.28106835211;-60611.28;-2492.0010683521086;0.0;63928.935;4150.634947752608;0.0
