Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_B_MidMerit;new_capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_Baseload;new_capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_Peak;new_capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Gen_B_PV;new_capacity_Gen_B_PV;Capacity_Gen_B_PV;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;ENS_Cons_B;CapDemand_Cons_B;NetworkManager;CapacityManager
1;61.44747363753703;70000.00006485757;18406.399139158828;18406.399;18406.399139158828;263.98266247531;1895.3683164137158;1895.3683164137158;3930.9101129439673;4599.352031774845;4599.352031774845;0.0;11911.678790964317;11911.678790964317;2850.9999974820003;0.0;5439.0;0.0;0.0;10794.0;-8205.954547874117;-7882.5599999999995;-323.394547874117;0.0;18406.399;1160.0617287174991;0.0
2;59.26494702635221;70000.00006485757;18406.399139158828;18406.399;18406.399139158828;195.77881873419588;1895.3683164137158;1895.3683164137158;3658.097345886443;4599.352031774845;4599.352031774845;0.0;11911.678790964317;11911.678790964317;2692.000002636;0.0;5439.0;0.0;0.0;10794.0;-7809.618888822331;-7501.679999999999;-307.9388888223322;0.0;18406.399;1263.7426811845032;0.0
3;58.41846351247428;70000.00006485757;18406.399139158828;18406.399;18406.399139158828;169.32637425111113;1895.3683164137158;1895.3683164137158;3552.2913884376626;4599.352031774845;4599.352031774845;0.0;11911.678790964317;11911.678790964317;2451.000001212;0.0;5439.0;0.0;0.0;10794.0;-7638.285222837742;-7337.04;-301.2452228377424;0.0;18406.399;1465.6674271607362;0.0
4;57.96161299675439;70000.00006485757;18406.399139158828;18406.399;18406.399139158828;155.04989178703553;1895.3683164137158;1895.3683164137158;3495.189403067184;4599.352031774845;4599.352031774845;0.0;11911.678790964317;11911.678790964317;2378.0000003970003;0.0;5439.0;0.0;0.0;10794.0;-7495.902734088238;-7200.24;-295.6627340882376;0.0;18406.399;1467.663413723292;0.0
5;60.59147682861671;70000.00006485757;18406.399139158828;18406.399;18406.399139158828;237.33224423577238;1895.3683164137158;1895.3683164137158;3826.135149852175;4599.352031774845;4599.352031774845;0.0;11911.678790964317;11911.678790964317;2491.0000008389998;0.0;5439.0;0.0;0.0;10794.0;-7569.660656769181;-7271.28;-298.38065676918086;0.0;18406.399;1015.1984595673238;0.0
6;67.39191252706242;70000.00006485757;18406.399139158828;18406.399;18406.399139158828;449.78923529497047;1895.3683164137158;1895.3683164137158;4599.352031065214;4599.352031774845;4599.352031774845;0.0;11911.678790964317;11911.678790964317;2617.999998159;0.0;5439.0;0.0;0.0;10794.0;-7976.620780370049;-7662.719999999999;-313.9007803700495;0.0;18406.399;309.4816201179462;0.0
7;89.92663553587792;70000.00006485757;18406.399139158828;18406.399;18406.399139158828;1153.9803289457675;1895.3683164137158;1895.3683164137158;4599.35203177239;4599.352031774845;4599.352031774845;174.08624074400504;11911.678790964317;11911.678790964317;2687.000000643;0.0;5439.0;0.0;0.0;10794.0;-8866.519462575576;-8519.52;-346.9994625755758;0.0;18406.399;252.10209114304337;0.0
8;183.03859456160475;70000.00006485757;18406.399139158828;18406.399;18406.399139158828;1895.3683164113859;1895.3683164137158;1895.3683164137158;4599.352031772398;4599.352031774845;4599.352031774845;1337.9801305035187;11911.678790964317;11911.678790964317;707.6372659440001;0.0;5439.0;91.00000434;0.0;10794.0;-9631.338604617997;-9263.039999999999;-368.2986046179981;0.0;18406.399;999.9999999999992;0.0
9;113.75762869998934;70000.00006485757;18406.399139158828;18406.399;18406.399139158828;1895.3683163620656;1895.3683164137158;1895.3683164137158;4599.352031772395;4599.352031774845;4599.352031774845;471.96985120606644;11911.678790964317;11911.678790964317;687.446528559;0.0;5439.0;1063.999995114;0.0;10794.0;-10216.36486942181;-9818.88;-397.4848694218102;0.0;18406.399;1498.227960085006;0.0
10;83.67999575709055;70000.00006485757;18406.399139158828;18406.399;18406.399139158828;958.7383784868218;1895.3683164137158;1895.3683164137158;4599.352031772386;4599.352031774845;4599.352031774845;95.99830485686773;11911.678790964317;11911.678790964317;623.028459333;0.0;5439.0;3029.999995764;0.0;10794.0;-10307.117779788403;-9903.119999999999;-403.9977797884048;0.0;18406.399;1000.0000000000024;0.0
