Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_C_MidMerit;new_capacity_Gen_C_MidMerit;Capacity_Gen_C_MidMerit;Gen_C_Baseload;new_capacity_Gen_C_Baseload;Capacity_Gen_C_Baseload;Gen_C_Peak;new_capacity_Gen_C_Peak;Capacity_Gen_C_Peak;Gen_C_WindOnshore;new_capacity_Gen_C_WindOnshore;Capacity_Gen_C_WindOnshore;Gen_C_PV;new_capacity_Gen_C_PV;Capacity_Gen_C_PV;Cons_C;Inelastic_Cons_C;Elastic_Cons_C;ENS_Cons_C;CapDemand_Cons_C;NetworkManager;CapacityManager
1;61.44792096588763;60000.00000842805;21510.59901189715;21510.599000000002;21510.59901189715;201.4984187738627;2319.5647778664083;2319.5647778664083;3681.014209560245;4691.4360650404415;4691.4360650404415;0.0;14499.598168990286;14499.598168990286;2742.249994848;0.0;11706.0;0.0;0.0;27259.0;-11464.700848214876;-11012.88;-451.8208482148759;0.0;21510.599000000002;4839.938271282495;0.0
2;59.26533754366779;60000.00000842805;21510.59901189715;21510.599000000002;21510.59901189715;133.29257398728168;2319.5647778664083;2319.5647778664083;3408.1882228818795;4691.4360650404415;4691.4360650404415;0.0;14499.598168990286;14499.598168990286;2703.49999764;0.0;11706.0;0.0;0.0;27259.0;-10981.238072948228;-10548.24;-432.99807294822887;0.0;21510.599000000002;4736.257318815479;0.0
3;58.41877081251776;60000.00000842805;21510.59901189715;21510.599000000002;21510.59901189715;106.8371983365653;2319.5647778664083;2319.5647778664083;3302.3629003389515;4691.4360650404415;4691.4360650404415;0.0;14499.598168990286;14499.598168990286;2692.999996584;0.0;11706.0;0.0;0.0;27259.0;-10636.532636326081;-10217.039999999999;-419.4926363260817;0.0;21510.599000000002;4534.332572839239;0.0
4;57.96184408633434;60000.00000842805;21510.59901189715;21510.599000000002;21510.59901189715;92.55803147669519;2319.5647778664083;2319.5647778664083;3245.2431802998126;4691.4360650404415;4691.4360650404415;0.0;14499.598168990286;14499.598168990286;2669.000004204;0.0;11706.0;0.0;0.0;27259.0;-10539.137778676315;-10123.44;-415.6977786763153;0.0;21510.599000000002;4532.336585370475;0.0
5;60.59204558033817;60000.00000842805;21510.59901189715;21510.599000000002;21510.59901189715;174.85226943888244;2319.5647778664083;2319.5647778664083;3576.2671765997798;4691.4360650404415;4691.4360650404415;0.0;14499.598168990286;14499.598168990286;2624.250003048;0.0;11706.0;0.0;0.0;27259.0;-10637.550591991647;-10218.24;-419.3105919916466;0.0;21510.599000000002;4262.186457708808;0.0
6;67.40719626775575;60000.00000842805;21510.59901189715;21510.599000000002;21510.59901189715;387.8060769613415;2319.5647778664083;2319.5647778664083;4427.698318715243;4691.4360650404415;4691.4360650404415;0.0;14499.598168990286;14499.598168990286;2601.249995718;0.0;11706.0;0.0;0.0;27259.0;-11033.307747804896;-10599.119999999999;-434.1877478048968;0.0;21510.599000000002;3616.5576566493132;0.0
7;89.92609884835817;60000.00000842805;21510.59901189715;21510.599000000002;21510.59901189715;1091.462244645227;2319.5647778664083;2319.5647778664083;4691.436065040386;4691.4360650404415;4691.4360650404415;149.07932911902682;14499.598168990286;14499.598168990286;2637.249995994;0.0;11706.0;0.0;0.0;27259.0;-12424.56701749038;-11938.32;-486.2470174903812;0.0;21510.599000000002;3855.3405340528375;0.0
8;198.13599608207875;60000.00000842805;21510.59901189715;21510.599000000002;21510.59901189715;2319.564777866416;2319.5647778664083;2319.5647778664083;4691.436065040387;4691.4360650404415;4691.4360650404415;1501.699798364414;14499.598168990286;14499.598168990286;316.80000477;0.0;11706.0;22.000002907;0.0;27259.0;-13851.500704976756;-13323.84;-527.6607049767557;0.0;21510.599000000002;4999.999999999989;0.0
9;113.75731809472782;60000.00000842805;21510.59901189715;21510.599000000002;21510.59901189715;1836.1617619858619;2319.5647778664083;2319.5647778664083;4691.436065040387;4691.4360650404415;4691.4360650404415;446.96584229682014;14499.598168990286;14499.598168990286;2507.999999718;0.0;11706.0;428.25001167199997;0.0;27259.0;-14412.585956030842;-13851.84;-560.7459560308422;0.0;21510.599000000002;4501.772039914999;0.0
10;86.53180101413096;60000.00000842805;21510.59901189715;21510.599000000002;21510.59901189715;985.3677546947456;2319.5647778664083;2319.5647778664083;4691.436065040386;4691.4360650404415;4691.4360650404415;106.64736798765287;14499.598168990286;14499.598168990286;1996.99999515;0.0;11706.0;1420.2499990219999;0.0;27259.0;-14200.701234999391;-13644.48;-556.2212349993923;0.0;21510.599000000002;4999.999999999994;0.0
11;67.25930750548557;60000.00000842805;21510.59901189715;21510.599000000002;21510.59901189715;383.1033595464093;2319.5647778664083;2319.5647778664083;4407.413438185483;4691.4360650404415;4691.4360650404415;0.0;14499.598168990286;14499.598168990286;1548.250005204;0.0;11706.0;2379.750007478;0.0;27259.0;-13718.516810413872;-13178.64;-539.8768104138726;0.0;21510.599000000002;4999.9999999999845;0.0
12;55.958286192260644;60000.00000842805;21510.59901189715;21510.599000000002;21510.59901189715;29.94225123173393;2319.5647778664083;2319.5647778664083;2994.675560564557;4691.4360650404415;4691.4360650404415;0.0;14499.598168990286;14499.598168990286;1360.249994658;0.0;11706.0;3263.5000080930004;0.0;27259.0;-13318.293138203684;-12792.72;-525.5731382036853;0.0;21510.599000000002;5669.925105530652;0.0
13;44.86355562544693;60000.00000842805;21510.59901189715;21510.599000000002;21510.59901189715;0.0;2319.5647778664083;2319.5647778664083;1607.8552205693381;4691.4360650404415;4691.4360650404415;0.0;14499.598168990286;14499.598168990286;1595.999996628;0.0;11706.0;3975.000006082;0.0;27259.0;-12915.453067461962;-12404.4;-511.05306746196203;0.0;21510.599000000002;5736.597673945019;0.0
14;40.78975094527335;60000.00000842805;21510.59901189715;21510.599000000002;21510.59901189715;0.0;2319.5647778664083;2319.5647778664083;1098.6307478044257;4691.4360650404415;4691.4360650404415;0.0;14499.598168990286;14499.598168990286;1905.750004368;0.0;11706.0;4362.499993474;0.0;27259.0;-12904.983940826127;-12393.84;-511.1439408261263;0.0;21510.599000000002;5538.103027073725;0.0
15;36.907666695102016;60000.00000842805;21510.59901189715;21510.599000000002;21510.59901189715;0.0;2319.5647778664083;2319.5647778664083;613.3482684430957;4691.4360650404415;4691.4360650404415;0.0;14499.598168990286;14499.598168990286;2355.000004398;0.0;11706.0;4377.2500019280005;0.0;27259.0;-12770.534952873582;-12264.24;-506.2949528735835;0.0;21510.599000000002;5424.936468147709;0.0
16;38.44440881871107;60000.00000842805;21510.59901189715;21510.599000000002;21510.59901189715;0.0;2319.5647778664083;2319.5647778664083;810.9294740362518;4691.4360650404415;4691.4360650404415;0.0;14499.598168990286;14499.598168990286;3071.9999962379998;0.0;11706.0;4046.2499891670004;0.0;27259.0;-12669.127581353368;-12167.039999999999;-502.08758135336984;0.0;21510.599000000002;4739.961120107102;0.0
17;39.56400861732359;60000.00000842805;21510.59901189715;21510.599000000002;21510.59901189715;0.0;2319.5647778664083;2319.5647778664083;945.519152712125;4691.4360650404415;4691.4360650404415;0.0;14499.598168990286;14499.598168990286;3758.500005078;0.0;11706.0;3579.7500124000003;0.0;27259.0;-12716.46686471074;-12212.64;-503.82686471073924;0.0;21510.599000000002;4432.6977269430945;0.0
