Timestep;EOM_price;CM_price;TotalCapOffer;Gen_A_Baseload;new_Capacity_Gen_A_Baseload;Capacity_Gen_A_Baseload;Gen_A_MidMerit;new_Capacity_Gen_A_MidMerit;Capacity_Gen_A_MidMerit;Gen_A_PV;new_Capacity_Gen_A_PV;Capacity_Gen_A_PV;Gen_A_Peak;new_Capacity_Gen_A_Peak;Capacity_Gen_A_Peak;Gen_A_WindOnshore;new_Capacity_Gen_A_WindOnshore;Capacity_Gen_A_WindOnshore;Cons_A;Inelastic_Cons_A;Elastic_Cons_A;CapDemand_Cons_A;NetworkManager;CapacityManager;ENS_Cons_A
1.0;35.67;70000.0;71032.15;17668.19;25272.74;25272.74;0.0;5960.35;5960.35;0.0;0.0;86952.0;0.0;39799.06;39799.06;22045.75;0.0;72618.0;45713.94;36584.2;9129.74;71032.15;6000.0;0.0;0.0
2.0;35.41;70000.0;71032.15;17405.81;25272.74;25272.74;0.0;5960.35;5960.35;0.0;0.0;86952.0;0.0;39799.06;39799.06;20881.0;0.0;72618.0;44286.81;35442.0;8844.81;71032.15;6000.0;0.0;0.0
3.0;35.66;70000.0;71032.15;17655.66;25272.74;25272.74;0.0;5960.35;5960.35;0.0;0.0;86952.0;0.0;39799.06;39799.06;20062.25;0.0;72618.0;43717.91;34986.8;8731.11;71032.15;6000.0;0.0;0.0
4.0;36.43;70000.0;71032.15;18431.21;25272.74;25272.74;0.0;5960.35;5960.35;0.0;0.0;86952.0;0.0;39799.06;39799.06;19590.5;0.0;72618.0;44021.71;35230.2;8791.51;71032.15;6000.0;0.0;0.0
5.0;38.07;70000.0;71032.15;20067.92;25272.74;25272.74;0.0;5960.35;5960.35;0.0;0.0;86952.0;0.0;39799.06;39799.06;19433.0;0.0;72618.0;45500.92;36414.6;9086.32;71032.15;6000.0;0.0;0.0
6.0;41.56;70000.0;71032.15;23561.08;25272.74;25272.74;0.0;5960.35;5960.35;0.0;0.0;86952.0;0.0;39799.06;39799.06;19542.0;0.0;72618.0;49103.08;39298.8;9804.28;71032.15;6000.0;0.0;0.0
7.0;95.27;70000.0;71032.15;25272.74;25272.74;25272.74;4426.61;5960.35;5960.35;35.5;0.0;86952.0;215.83;39799.06;39799.06;19970.75;0.0;72618.0;55921.43;44779.8;11141.63;71032.15;6000.0;0.0;0.0
8.0;161.53;70000.0;71032.15;25272.74;25272.74;25272.74;5960.35;5960.35;5960.35;2229.0;0.0;86952.0;1044.14;39799.06;39799.06;19768.75;0.0;72618.0;60274.98;48298.0;11976.98;71032.15;6000.0;0.0;0.0
9.0;91.66;70000.0;71032.15;25272.74;25272.74;25272.74;4066.49;5960.35;5960.35;9530.75;0.0;86952.0;170.81;39799.06;39799.06;17855.0;0.0;72618.0;62895.79;50362.8;12532.99;71032.15;6000.0;0.0;0.0
10.0;41.14;70000.0;71032.15;23136.78;25272.74;25272.74;0.0;5960.35;5960.35;19429.0;0.0;86952.0;0.0;39799.06;39799.06;14545.0;0.0;72618.0;63110.78;50509.4;12601.38;71032.15;6000.0;0.0;0.0
