Timestep;EOM_price;CM_price;TotalCapOffer;Gen_B_Baseload;new_Capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_MidMerit;new_Capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_PV;new_Capacity_Gen_B_PV;Capacity_Gen_B_PV;Gen_B_Peak;new_Capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_Capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;CapDemand_Cons_B;NetworkManager;CapacityManager;ENS_Cons_B
1.0;26.95;73866.3;14505.14;8945.11;9358.01;9358.01;0.0;2586.84;2586.84;0.0;0.0;10794.0;0.0;2560.29;2560.29;1651.2;0.0;5439.0;8208.79;6568.8;1639.99;14505.14;-2387.53;0.0;0.0
2.0;26.72;73866.3;14505.14;8719.6;9358.01;9358.01;0.0;2586.84;2586.84;0.0;0.0;10794.0;0.0;2560.29;2560.29;1563.96;0.0;5439.0;7812.16;6251.4;1560.76;14505.14;-2471.4;0.0;0.0
3.0;26.75;73866.3;14505.14;8751.42;9358.01;9358.01;0.0;2586.84;2586.84;0.0;0.0;10794.0;0.0;2560.29;2560.29;1502.64;0.0;5439.0;7640.71;6114.2;1526.51;14505.14;-2613.36;0.0;0.0
4.0;26.73;73866.3;14505.14;8727.68;9358.01;9358.01;0.0;2586.84;2586.84;0.0;0.0;10794.0;0.0;2560.29;2560.29;1467.3;0.0;5439.0;7498.25;6000.2;1498.05;14505.14;-2696.74;0.0;0.0
5.0;26.7;73866.3;14505.14;8698.33;9358.01;9358.01;0.0;2586.84;2586.84;0.0;0.0;10794.0;0.0;2560.29;2560.29;1455.51;0.0;5439.0;7572.23;6059.4;1512.83;14505.14;-2581.61;0.0;0.0
6.0;26.96;73866.3;14505.14;8959.7;9358.01;9358.01;0.0;2586.84;2586.84;0.0;0.0;10794.0;0.0;2560.29;2560.29;1463.67;0.0;5439.0;7979.85;6385.6;1594.25;14505.14;-2443.52;0.0;0.0
7.0;56.34;73866.3;14505.14;9358.01;9358.01;9358.01;534.28;2586.84;2586.84;4.41;0.0;10794.0;0.0;2560.29;2560.29;1495.78;0.0;5439.0;8869.5;7099.6;1769.9;14505.14;-2522.99;0.0;0.0
8.0;147.04;73866.3;14505.14;9358.01;9358.01;9358.01;2586.84;2586.84;2586.84;276.7;0.0;10794.0;863.04;2560.29;2560.29;1480.66;0.0;5439.0;9634.81;7719.2;1915.61;14505.14;-4930.44;0.0;0.0
9.0;76.02;73866.3;14505.14;9358.01;9358.01;9358.01;2502.41;2586.84;2586.84;1183.12;0.0;10794.0;0.0;2560.29;2560.29;1337.32;0.0;5439.0;10220.22;8182.4;2037.82;14505.14;-4160.64;0.0;0.0
10.0;27.01;73866.3;14505.14;9014.02;9358.01;9358.01;0.0;2586.84;2586.84;2411.87;0.0;10794.0;0.0;2560.29;2560.29;1089.4;0.0;5439.0;10312.96;8252.6;2060.36;14505.14;-2202.32;0.0;0.0
11.0;24.66;73866.3;14505.14;6663.05;9358.01;9358.01;0.0;2586.84;2586.84;3539.78;0.0;10794.0;0.0;2560.29;2560.29;1042.14;0.0;5439.0;10244.97;8198.0;2046.97;14505.14;-1000.0;0.0;0.0
12.0;21.69;73866.3;14505.14;3692.25;9358.01;9358.01;0.0;2586.84;2586.84;4382.83;0.0;10794.0;0.0;2560.29;2560.29;1120.2;0.0;5439.0;10195.29;8158.0;2037.29;14505.14;1000.0;0.0;0.0
13.0;18.28;73866.3;14505.14;284.14;9358.01;9358.01;0.0;2586.84;2586.84;4855.39;0.0;10794.0;0.0;2560.29;2560.29;1204.43;0.0;5439.0;9922.44;7939.4;1983.04;14505.14;3578.48;0.0;0.0
14.0;0.0;73866.3;14505.14;0.0;9358.01;9358.01;0.0;2586.84;2586.84;4572.49;0.0;10794.0;0.0;2560.29;2560.29;1317.73;0.0;5439.0;9793.5;7834.8;1958.7;14505.14;3903.28;0.0;0.0
15.0;0.0;73866.3;14505.14;0.0;9358.01;9358.01;0.0;2586.84;2586.84;4694.66;0.0;10794.0;0.0;2560.29;2560.29;989.59;0.0;5439.0;9589.5;7671.6;1917.9;14505.14;3905.25;0.0;0.0
