Timestep;EOM_price;CM_price;TotalCapOffer;Gen_C_Baseload;new_Capacity_Gen_C_Baseload;Capacity_Gen_C_Baseload;Gen_C_MidMerit;new_Capacity_Gen_C_MidMerit;Capacity_Gen_C_MidMerit;Gen_C_PV;new_Capacity_Gen_C_PV;Capacity_Gen_C_PV;Gen_C_Peak;new_Capacity_Gen_C_Peak;Capacity_Gen_C_Peak;Gen_C_WindOnshore;new_Capacity_Gen_C_WindOnshore;Capacity_Gen_C_WindOnshore;Cons_C;Inelastic_Cons_C;Elastic_Cons_C;CapDemand_Cons_C;NetworkManager;CapacityManager;ENS_Cons_C
1.0;26.95;80000.0;17853.55;8945.11;9588.42;9588.42;0.0;2723.88;2723.88;0.0;0.0;27259.0;0.0;5541.25;5541.25;6136.02;0.0;11706.0;11468.66;9177.4;2291.26;17853.55;-3612.47;0.0;0.0
2.0;26.72;80000.0;17853.55;8719.6;9588.42;9588.42;0.0;2723.88;2723.88;0.0;0.0;27259.0;0.0;5541.25;5541.25;5793.81;0.0;11706.0;10984.81;8790.2;2194.61;17853.55;-3528.6;0.0;0.0
3.0;26.75;80000.0;17853.55;8751.42;9588.42;9588.42;0.0;2723.88;2723.88;0.0;0.0;27259.0;0.0;5541.25;5541.25;5275.13;0.0;11706.0;10639.9;8514.2;2125.7;17853.55;-3386.64;0.0;0.0
4.0;26.73;80000.0;17853.55;8727.68;9588.42;9588.42;0.0;2723.88;2723.88;0.0;0.0;27259.0;0.0;5541.25;5541.25;5118.01;0.0;11706.0;10542.43;8436.2;2106.23;17853.55;-3303.26;0.0;0.0
5.0;26.7;80000.0;17853.55;8698.33;9588.42;9588.42;0.0;2723.88;2723.88;0.0;0.0;27259.0;0.0;5541.25;5541.25;5361.21;0.0;11706.0;10641.16;8515.2;2125.96;17853.55;-3418.39;0.0;0.0
6.0;26.96;80000.0;17853.55;8959.7;9588.42;9588.42;0.0;2723.88;2723.88;0.0;0.0;27259.0;0.0;5541.25;5541.25;5634.55;0.0;11706.0;11037.77;8832.6;2205.17;17853.55;-3556.48;0.0;0.0
7.0;56.34;80000.0;17853.55;9588.42;9588.42;9588.42;534.28;2723.88;2723.88;0.0;0.0;27259.0;0.0;5541.25;5541.25;5783.05;0.0;11706.0;12428.74;9948.6;2480.14;17853.55;-3477.01;0.0;0.0
8.0;147.04;80000.0;17853.55;9588.42;9588.42;9588.42;2723.88;2723.88;2723.88;229.81;0.0;27259.0;863.04;5541.25;5541.25;1523.0;0.0;11706.0;13858.59;11103.2;2755.39;17853.55;-1069.56;0.0;0.0
9.0;76.02;80000.0;17853.55;9588.42;9588.42;9588.42;2502.41;2723.88;2723.88;2687.01;0.0;27259.0;0.0;5541.25;5541.25;1479.55;0.0;11706.0;14418.03;11543.2;2874.83;17853.55;-1839.36;0.0;0.0
10.0;27.01;80000.0;17853.55;9014.02;9588.42;9588.42;0.0;2723.88;2723.88;7651.91;0.0;27259.0;0.0;5541.25;5541.25;1340.9;0.0;11706.0;14209.16;11370.4;2838.76;17853.55;-3797.68;0.0;0.0
11.0;23.35;80000.0;17853.55;5353.33;9588.42;9588.42;0.0;2723.88;2723.88;12142.05;0.0;27259.0;0.0;5541.25;5541.25;1229.16;0.0;11706.0;13724.54;10982.2;2742.34;17853.55;-5000.0;0.0;0.0
12.0;0.0;80000.0;17853.55;0.0;9588.42;9588.42;0.0;2723.88;2723.88;14786.47;0.0;27259.0;0.0;5541.25;5541.25;4539.28;0.0;11706.0;13325.75;10660.6;2665.15;17853.55;-6000.0;0.0;0.0
13.0;0.0;80000.0;17853.55;0.0;9588.42;9588.42;0.0;2723.88;2723.88;17536.27;0.0;27259.0;0.0;5541.25;5541.25;1384.98;0.0;11706.0;12921.25;10337.0;2584.25;17853.55;-6000.0;0.0;0.0
14.0;0.0;80000.0;17853.55;0.0;9588.42;9588.42;0.0;2723.88;2723.88;17098.59;0.0;27259.0;0.0;5541.25;5541.25;0.0;0.0;11706.0;12910.25;10328.2;2582.05;17853.55;-4188.34;0.0;0.0
15.0;0.0;80000.0;17853.55;0.0;9588.42;9588.42;0.0;2723.88;2723.88;16063.36;0.0;27259.0;0.0;5541.25;5541.25;0.0;0.0;11706.0;12775.25;10220.2;2555.05;17853.55;-3288.11;0.0;0.0
16.0;19.44;80000.0;17853.55;1441.09;9588.42;9588.42;0.0;2723.88;2723.88;15235.64;0.0;27259.0;0.0;5541.25;5541.25;1994.8;0.0;11706.0;12671.54;10139.2;2532.34;17853.55;-6000.0;0.0;0.0
17.0;19.78;80000.0;17853.55;1778.56;9588.42;9588.42;0.0;2723.88;2723.88;12904.71;0.0;27259.0;0.0;5541.25;5541.25;2216.21;0.0;11706.0;12718.98;10177.2;2541.78;17853.55;-4180.5;0.0;0.0
18.0;24.26;80000.0;17853.55;6257.17;9588.42;9588.42;0.0;2723.88;2723.88;9497.97;0.0;27259.0;0.0;5541.25;5541.25;2536.96;0.0;11706.0;13317.27;10656.4;2660.87;17853.55;-4974.83;0.0;0.0
19.0;27.46;80000.0;17853.55;9459.67;9588.42;9588.42;0.0;2723.88;2723.88;4775.5;0.0;27259.0;0.0;5541.25;5541.25;2983.92;0.0;11706.0;13672.49;10941.0;2731.49;17853.55;-3546.6;0.0;0.0
20.0;314.58;80000.0;17853.55;9588.42;9588.42;9588.42;2723.88;2723.88;2723.88;1007.63;0.0;27259.0;2957.26;5541.25;5541.25;3339.84;0.0;11706.0;14180.75;11380.4;2800.35;17853.55;-5436.28;0.0;0.0
21.0;496.13;80000.0;17853.55;9588.42;9588.42;9588.42;2723.88;2723.88;2723.88;22.73;0.0;27259.0;5226.59;5541.25;5541.25;2123.72;0.0;11706.0;19900.77;16000.0;3900.77;17853.55;215.44;0.0;0.0
22.0;66.43;80000.0;17853.55;9588.42;9588.42;9588.42;1543.41;2723.88;2723.88;0.0;0.0;27259.0;0.0;5541.25;5541.25;729.63;0.0;11706.0;14268.01;11422.0;2846.01;17853.55;2406.55;0.0;0.0
23.0;41.9;80000.0;17853.55;9588.42;9588.42;9588.42;0.0;2723.88;2723.88;0.0;0.0;27259.0;0.0;5541.25;5541.25;2818.38;0.0;11706.0;13315.42;10656.8;2658.62;17853.55;908.62;0.0;0.0
