Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_A_MidMerit;new_capacity_Gen_A_MidMerit;Capacity_Gen_A_MidMerit;Gen_A_Baseload;new_capacity_Gen_A_Baseload;Capacity_Gen_A_Baseload;Gen_A_Peak;new_capacity_Gen_A_Peak;Capacity_Gen_A_Peak;Gen_A_WindOnshore;new_capacity_Gen_A_WindOnshore;Capacity_Gen_A_WindOnshore;Gen_A_PV;new_capacity_Gen_A_PV;Capacity_Gen_A_PV;Cons_A;Inelastic_Cons_A;Elastic_Cons_A;ENS_Cons_A;CapDemand_Cons_A;NetworkManager;CapacityManager
1;86.67590826899142;48904.095578383756;16155.907580227255;16156.0;16155.907580227255;989.8927093102519;1286.1910572182908;1286.1910572182908;6599.25590911168;6599.255909112183;6599.255909112183;0.0;8270.460613899857;8270.460613899857;886.0567338000001;0.0;13700.0;0.0;0.0;15403.0;-8734.995292268351;-8392.87008;-342.12521226835054;0.0;16156.0;259.790475953381;0.0
2;75.23577054042619;48904.095578383756;16155.907580227255;16156.0;16155.907580227255;632.3871592059928;1286.1910572182908;1286.1910572182908;6599.2559091049825;6599.255909112183;6599.255909112183;0.0;8270.460613899857;8270.460613899857;1010.8928189000001;0.0;13700.0;0.0;0.0;15403.0;-8537.015771562623;-8201.705759999999;-335.3100115626239;0.0;16156.0;294.4803766223637;0.0
3;72.09166340292553;48904.095578383756;16155.907580227255;16156.0;16155.907580227255;534.1187327391115;1286.1910572182908;1286.1910572182908;6511.555582252982;6599.255909112183;6599.255909112183;0.0;8270.460613899857;8270.460613899857;1138.9221822;0.0;13700.0;0.0;0.0;15403.0;-8563.104761390376;-8226.511199999999;-336.5935613903774;0.0;16156.0;378.50832485749805;0.0
4;70.5029061604482;48904.095578383756;16155.907580227255;16156.0;16155.907580227255;484.47184203146844;1286.1910572182908;1286.1910572182908;6313.010633031178;6599.255909112183;6599.255909112183;0.0;8270.460613899857;8270.460613899857;1277.6298324;0.0;13700.0;0.0;0.0;15403.0;-8729.5970372131;-8386.32576;-343.2712772130996;0.0;16156.0;654.4848918474464;0.0
5;70.19720185189304;48904.095578383756;16155.907580227255;16156.0;16155.907580227255;474.9205721874943;1286.1910572182908;1286.1910572182908;6274.847043362813;6599.255909112183;6599.255909112183;0.0;8270.460613899857;8270.460613899857;1465.214178;0.0;13700.0;0.0;0.0;15403.0;-9188.192613734436;-8826.861120000001;-361.33149373443473;0.0;16156.0;973.2110424531605;0.0
6;72.13431039364879;48904.095578383756;16155.907580227255;16156.0;16155.907580227255;535.4568098926649;1286.1910572182908;1286.1910572182908;6517.021991962335;6599.255909112183;6599.255909112183;0.0;8270.460613899857;8270.460613899857;1734.5955107;0.0;13700.0;0.0;0.0;15403.0;-10066.579798686165;-9670.89264;-395.68715868616516;0.0;16156.0;1279.5057291160324;0.0
7;86.61148599723023;48904.095578383756;16155.907580227255;16156.0;16155.907580227255;987.8795103188787;1286.1910572182908;1286.1910572182908;6599.255909112338;6599.255909112183;6599.255909112183;0.0;8270.460613899857;8270.460613899857;1995.2434359;0.0;13700.0;0.0;0.0;15403.0;-11847.298479344787;-11383.265759999998;-464.0327193447887;0.0;16156.0;2264.920160906903;0.0
8;118.46487085900266;48904.095578383756;16155.907580227255;16156.0;16155.907580227255;1286.191057215696;1286.1910572182908;1286.1910572182908;6599.255909112347;6599.255909112183;6599.255909112183;461.63441010895764;8270.460613899857;8270.460613899857;2149.0095644;0.0;13700.0;20.447852172;0.0;15403.0;-13000.105170587778;-12494.90304;-505.2021305877792;0.0;16156.0;2483.566959040009;0.0
9;133.16238226194793;48904.095578383756;16155.907580227255;16156.0;16155.907580227255;1286.1910572156958;1286.1910572182908;1286.1910572182908;6599.255909112348;6599.255909112183;6599.255909112183;829.0721958025478;8270.460613899857;8270.460613899857;2246.6039803999997;0.0;13700.0;202.589528606;0.0;15403.0;-13591.272898755065;-13065.01968;-526.2532187550663;0.0;16156.0;2427.5608091359077;0.0
10;108.92832061374864;48904.095578383756;16155.907580227255;16156.0;16155.907580227255;1286.191057215696;1286.1910572182908;1286.1910572182908;6599.255909112346;6599.255909112183;6599.255909112183;223.22065488871047;8270.460613899857;8270.460613899857;2266.9740994;0.0;13700.0;533.144624314;0.0;15403.0;-13736.123648929606;-13201.0584;-535.0652489296061;0.0;16156.0;2827.3378855772175;0.0
