Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_B_MidMerit;new_capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_Baseload;new_capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_Peak;new_capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Gen_B_PV;new_capacity_Gen_B_PV;Capacity_Gen_B_PV;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;ENS_Cons_B;CapDemand_Cons_B;NetworkManager;CapacityManager
1;86.66911248784787;58965.48244593255;13956.985155436088;13957.0;13956.985155436088;989.6511470425239;1423.7521708494944;1423.7521708494944;6848.897334941125;6848.897334940526;6848.897334940526;0.0;5684.335649645751;5684.335649645751;424.55263299999996;0.0;5315.0;0.0;0.0;8788.0;-8108.269041160526;-7790.6903999999995;-317.5786411605265;0.0;13957.0;-154.83230472541567;0.0
2;75.2289586424784;58965.48244593255;13956.985155436088;13957.0;13956.985155436088;632.1445765163719;1423.7521708494944;1423.7521708494944;6848.897333602172;6848.897334940526;6848.897334940526;0.0;5684.335649645751;5684.335649645751;590.04391712;0.0;5315.0;0.0;0.0;8788.0;-7743.232962898453;-7439.099999999999;-304.1329628984533;0.0;13957.0;-327.8531284071279;0.0
3;72.08945464496166;58965.48244593255;13956.985155436088;13957.0;13956.985155436088;534.0400132004515;1423.7521708494944;1423.7521708494944;6511.035779051604;6848.897334940526;6848.897334940526;0.0;5684.335649645751;5684.335649645751;805.7575504199999;0.0;5315.0;0.0;0.0;8788.0;-7397.133600755252;-7106.3712;-290.76240075525203;0.0;13957.0;-453.69988543702766;0.0
4;70.50087285001348;58965.48244593255;13956.985155436088;13957.0;13956.985155436088;484.39932769823236;1423.7521708494944;1423.7521708494944;6312.531847341096;6848.897334940526;6848.897334940526;0.0;5684.335649645751;5684.335649645751;1017.8963785;0.0;5315.0;0.0;0.0;8788.0;-7266.4884484328395;-6980.7504;-285.7380484328399;0.0;13957.0;-548.339171756118;0.0
5;70.19459193323625;58965.48244593255;13956.985155436088;13957.0;13956.985155436088;474.8274877555158;1423.7521708494944;1423.7521708494944;6274.232449695167;6848.897334940526;6848.897334940526;0.0;5684.335649645751;5684.335649645751;1277.357707705;0.0;5315.0;0.0;0.0;8788.0;-7241.738121317265;-6956.951999999999;-284.7861213172656;0.0;13957.0;-784.6796006851312;0.0
6;72.1308388290396;58965.48244593255;13956.985155436088;13957.0;13956.985155436088;535.3330176165787;1423.7521708494944;1423.7521708494944;6516.204635208066;6848.897334940526;6848.897334940526;0.0;5684.335649645751;5684.335649645751;1485.4467449600002;0.0;5315.0;0.0;0.0;8788.0;-7465.468708799426;-7172.0232;-293.4455087994263;0.0;13957.0;-1071.5158237591336;0.0
7;86.60468957099378;58965.48244593255;13956.985155436088;13957.0;13956.985155436088;987.637921954102;1423.7521708494944;1423.7521708494944;6848.897334941248;6848.897334940526;6848.897334940526;0.0;5684.335649645751;5684.335649645751;1671.11196198;0.0;5315.0;0.0;0.0;8788.0;-7850.754986305866;-7543.2576;-307.4973863058654;0.0;13957.0;-1656.8924633190127;0.0
8;118.45731077088993;58965.48244593255;13956.985155436088;13957.0;13956.985155436088;1423.7521708492716;1423.7521708494944;1423.7521708494944;6848.897334941269;6848.897334940526;6848.897334940526;307.61818845251736;5684.335649645751;5684.335649645751;1879.6509777649999;0.0;5315.0;0.5422195999999999;0.0;8788.0;-8129.363755316842;-7813.4448;-315.91895531684173;0.0;13957.0;-2331.0973942775377;0.0
9;133.15482203104563;58965.48244593255;13956.985155436088;13957.0;13956.985155436088;1423.7521708478694;1423.7521708494944;1423.7521708494944;6848.897334941271;6848.897334940526;6848.897334940526;552.5767095900374;5684.335649645751;5684.335649645751;1953.072111385;0.0;5315.0;284.89188858;0.0;8788.0;-8392.89206072864;-8067.9192;-324.9728607286397;0.0;13957.0;-2670.298412632059;0.0
10;108.92076027843132;58965.48244593255;13956.985155436088;13957.0;13956.985155436088;1423.752170849453;1423.7521708494944;1423.7521708494944;6848.897334941266;6848.897334940526;6848.897334940526;148.67568059556933;5684.335649645751;5684.335649645751;1952.122161435;0.0;5315.0;1192.60779196;0.0;8788.0;-8998.190917152999;-8647.6824;-350.5085171529986;0.0;13957.0;-2567.8644804192195;0.0
11;79.78461280326613;58965.48244593255;13956.985155436088;13957.0;13956.985155436088;774.5105199812741;1423.7521708494944;1423.7521708494944;6848.897334941211;6848.897334940526;6848.897334940526;0.0;5684.335649645751;5684.335649645751;2001.56955704;0.0;5315.0;2332.255343444;0.0;8788.0;-9383.102752241664;-9014.971199999998;-368.1315522416669;0.0;13957.0;-2574.1302332336318;0.0
12;500.926167396432;58965.48244593255;13956.985155436088;13957.0;13956.985155436088;1423.7521708480394;1423.7521708494944;1423.7521708494944;6848.897334941127;6848.897334940526;6848.897334940526;5684.335649595572;5684.335649645751;5684.335649645751;531.55315;0.0;5315.0;882.985821068;0.0;8788.0;-14327.876350572988;-13824.009599999985;-503.8667505730033;1.4551915228366852e-11;13957.0;-1043.618249598969;0.0
13;70.18253365943949;58965.48244593255;13956.985155436088;13957.0;13956.985155436088;474.43905605928944;1423.7521708494944;1423.7521708494944;6272.416960555476;6848.897334940526;6848.897334940526;0.0;5684.335649645751;5684.335649645751;2309.578330105;0.0;5315.0;3377.281400428;0.0;8788.0;-9518.544955635924;-9144.2208;-374.32415563592366;0.0;13957.0;-2915.1711544160426;0.0
14;70.30105417801866;58965.48244593255;13956.985155436088;13957.0;13956.985155436088;478.1410671928563;1423.7521708494944;1423.7521708494944;6287.183933279135;6848.897334940526;6848.897334940526;0.0;5684.335649645751;5684.335649645751;2473.819675045;0.0;5315.0;3304.9504042880003;0.0;8788.0;-9454.511206845347;-9082.716;-371.7952068453466;0.0;13957.0;-3089.5842876273587;0.0
15;72.4408741069442;58965.48244593255;13956.985155436088;13957.0;13956.985155436088;545.0092708242672;1423.7521708494944;1423.7521708494944;6554.627311511504;6848.897334940526;6848.897334940526;0.0;5684.335649645751;5684.335649645751;2667.884452315;0.0;5315.0;2613.375070904;0.0;8788.0;-9281.531507393785;-8916.7296;-364.801907393785;0.0;13957.0;-3099.3650591953656;0.0
16;79.83485646698423;58965.48244593255;13956.985155436088;13957.0;13956.985155436088;776.0806363875794;1423.7521708494944;1423.7521708494944;6848.897334941211;6848.897334940526;6848.897334940526;0.0;5684.335649645751;5684.335649645751;2822.4763084549995;0.0;5315.0;1431.583804196;0.0;8788.0;-9084.66148075122;-8728.243199999999;-356.4182807512207;0.0;13957.0;-2794.3768333808052;0.0
17;107.76027600932639;58965.48244593255;13956.985155436088;13957.0;13956.985155436088;1423.7521708495142;1423.7521708494944;1423.7521708494944;6848.897334941266;6848.897334940526;6848.897334940526;129.33427737677906;5684.335649645751;5684.335649645751;2929.87065101;0.0;5315.0;307.25238336;0.0;8788.0;-9232.372939004154;-8872.6392;-359.73373900415413;0.0;13957.0;-2406.7341362579164;0.0
18;2353.2202968423185;58965.48244593255;13956.985155436088;13957.0;13956.985155436088;1423.7521708492804;1423.7521708494944;1423.7521708494944;6848.897334941259;6848.897334940526;6848.897334940526;5684.335649646295;5684.335649645751;5684.335649645751;531.55315;0.0;5315.0;0.0050003719999999995;0.0;8788.0;-14061.146243399597;-13824.009599999967;-237.13664339963054;3.2741809263825417e-11;13957.0;-427.4089132128098;0.0
19;3986.290370726823;58965.48244593255;13956.985155436088;13957.0;13956.985155436088;1423.752170849391;1423.7521708494944;1423.7521708494944;6848.897334940256;6848.897334940526;6848.897334940526;5684.335649646296;5684.335649645751;5684.335649645751;531.55315;0.0;5315.0;0.0;0.0;8788.0;-15362.203765907061;-15360.009599836016;-2.1941660710456223;1.639837137190625e-7;13957.0;873.6340559105653;0.0
20;125.75205319412123;58965.48244593255;13956.985155436088;13957.0;13956.985155436088;1423.7521708494457;1423.7521708494944;1423.7521708494944;6848.8973349402595;6848.897334940526;6848.897334940526;429.19723096522466;5684.335649645751;5684.335649645751;3184.90721614;0.0;5315.0;0.0;0.0;8788.0;-9860.871640410889;-9478.356;-382.5156404108893;0.0;13957.0;-2025.882569946491;0.0
21;98.22047344783469;58965.48244593255;13956.985155436088;13957.0;13956.985155436088;1350.6324382781293;1423.7521708494944;1423.7521708494944;6848.897334940252;6848.897334940526;6848.897334940526;0.0;5684.335649645751;5684.335649645751;3260.153249695;0.0;5315.0;0.0;0.0;8788.0;-9400.927287088742;-9033.7632;-367.16408708874275;0.0;13957.0;-2058.7557956201595;0.0
22;80.19316481374565;58965.48244593255;13956.985155436088;13957.0;13956.985155436088;787.2777761191036;1423.7521708494944;1423.7521708494944;6848.897334940205;6848.897334940526;6848.897334940526;0.0;5684.335649645751;5684.335649645751;3343.848841705;0.0;5315.0;0.0;0.0;8788.0;-9059.61148200211;-8704.207199999999;-355.4042820021122;0.0;13957.0;-1920.412701042571;0.0
23;72.73117600306165;58965.48244593255;13956.985155436088;13957.0;13956.985155436088;554.0889153500242;1423.7521708494944;1423.7521708494944;6591.122203430132;6848.897334940526;6848.897334940526;0.0;5684.335649645751;5684.335649645751;3435.394019025;0.0;5315.0;0.0;0.0;8788.0;-8833.168358986177;-8486.0136;-347.1547589861764;0.0;13957.0;-1747.437036018882;0.0
24;69.37989404090521;58965.48244593255;13956.985155436088;13957.0;13956.985155436088;449.36291115458266;1423.7521708494944;1423.7521708494944;6172.253819556979;6848.897334940526;6848.897334940526;0.0;5684.335649645751;5684.335649645751;3506.86525454;0.0;5315.0;0.0;0.0;8788.0;-8598.765045776927;-8260.5456;-338.21944577692824;0.0;13957.0;-1529.717155300257;0.0
