Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_A_MidMerit;new_capacity_Gen_A_MidMerit;Capacity_Gen_A_MidMerit;Gen_A_Baseload;new_capacity_Gen_A_Baseload;Capacity_Gen_A_Baseload;Gen_A_Peak;new_capacity_Gen_A_Peak;Capacity_Gen_A_Peak;Gen_A_WindOnshore;new_capacity_Gen_A_WindOnshore;Capacity_Gen_A_WindOnshore;Gen_A_PV;new_capacity_Gen_A_PV;Capacity_Gen_A_PV;Cons_A;Inelastic_Cons_A;Elastic_Cons_A;ENS_Cons_A;CapDemand_Cons_A;NetworkManager;CapacityManager
1;86.73744562632922;53260.6489677664;21100.271025423834;16349.0;21100.271025423834;991.8594307553806;1302.1287974571703;1302.1287974571703;6633.59773819245;6633.597738192026;6633.597738192026;0.0;13164.544489774487;13164.544489774487;886.0567338000001;0.0;13700.0;0.0;0.0;15403.0;-8734.989906246938;-8392.87008;-342.11982624693667;0.0;16349.0;223.47713988322676;-4751.257518889971
2;75.07048144135358;53260.6489677664;21100.271025423834;16349.0;21100.271025423834;627.2597915511589;1302.1287974571703;1302.1287974571703;6633.597738060024;6633.597738192026;6633.597738192026;0.0;13164.544489774487;13164.544489774487;1010.8928189000001;0.0;13700.0;0.0;0.0;15403.0;-8537.029887697609;-8201.705759999999;-335.3241276976096;0.0;16349.0;265.2805624927026;-4751.257518889971
3;72.09182254719023;53260.6489677664;21100.271025423834;16349.0;21100.271025423834;534.1248665440476;1302.1287974571703;1302.1287974571703;6511.615783519883;6633.597738192026;6633.597738192026;0.0;13164.544489774487;13164.544489774487;1138.9221822;0.0;13700.0;0.0;0.0;15403.0;-8563.104747300951;-8226.511199999999;-336.5935473009524;0.0;16349.0;378.4420110725265;-4751.257518889971
4;70.50444845140183;53260.6489677664;21100.271025423834;16349.0;21100.271025423834;484.5271947774574;1302.1287974571703;1302.1287974571703;6313.389388094236;6633.597738192026;6633.597738192026;0.0;13164.544489774487;13164.544489774487;1277.6298324;0.0;13700.0;0.0;0.0;15403.0;-8729.59690151943;-8386.32576;-343.2711415194292;0.0;16349.0;654.050719207828;-4751.257518889971
5;70.20009949554387;53260.6489677664;21100.271025423834;16349.0;21100.271025423834;475.0243141260409;1302.1287974571703;1302.1287974571703;6275.548361698996;6633.597738192026;6633.597738192026;0.0;13164.544489774487;13164.544489774487;1465.214178;0.0;13700.0;0.0;0.0;15403.0;-9188.19234544274;-8826.861120000001;-361.33122544273806;0.0;16349.0;972.405866285607;-4751.257518889971
6;72.13805825387185;53260.6489677664;21100.271025423834;16349.0;21100.271025423834;535.5910138353387;1302.1287974571703;1302.1287974571703;6517.9321829092905;6633.597738192026;6633.597738192026;0.0;13164.544489774487;13164.544489774487;1734.5955107;0.0;13700.0;0.0;0.0;15403.0;-10066.579418288042;-9670.89264;-395.6867782880421;0.0;16349.0;1278.4611825820125;-4751.257518889971
7;86.6730003274202;53260.6489677664;21100.271025423834;16349.0;21100.271025423834;989.8455044849171;1302.1287974571703;1302.1287974571703;6633.597738193398;6633.597738192026;6633.597738192026;0.0;13164.544489774487;13164.544489774487;1995.2434359;0.0;13700.0;0.0;0.0;15403.0;-11847.291176866014;-11383.265759999998;-464.0254168660151;0.0;16349.0;2228.6056344802664;-4751.257518889971
8;118.64475348519562;53260.6489677664;21100.271025423834;16349.0;21100.271025423834;1302.1287974572322;1302.1287974571703;1302.1287974571703;6633.597738193407;6633.597738192026;6633.597738192026;466.15954874728527;13164.544489774487;13164.544489774487;2149.0095644;0.0;13700.0;20.447852172;0.0;15403.0;-13000.081749518835;-12494.90304;-505.1787095188363;0.0;16349.0;2428.739387784242;-4751.257518889971
9;133.34221373241098;53260.6489677664;21100.271025423834;16349.0;21100.271025423834;1302.128797457229;1302.1287974571703;1302.1287974571703;6633.597738193408;6633.597738192026;6633.597738192026;833.5960558268731;13164.544489774487;13164.544489774487;2246.6039803999997;0.0;13700.0;202.589528606;0.0;15403.0;-13591.248415958873;-13065.01968;-526.2287359588734;0.0;16349.0;2372.7334547359997;-4751.257518889971
10;109.10813184187603;53260.6489677664;21100.271025423834;16349.0;21100.271025423834;1302.1287974572317;1302.1287974571703;1302.1287974571703;6633.597738193406;6633.597738192026;6633.597738192026;227.74401004756385;13164.544489774487;13164.544489774487;2266.9740994;0.0;13700.0;533.144624314;0.0;15403.0;-13736.098913983236;-13201.0584;-535.0405139832372;0.0;16349.0;2772.510783873453;-4751.257518889971
