Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_A_MidMerit;new_capacity_Gen_A_MidMerit;Capacity_Gen_A_MidMerit;Gen_A_Baseload;new_capacity_Gen_A_Baseload;Capacity_Gen_A_Baseload;Gen_A_Peak;new_capacity_Gen_A_Peak;Capacity_Gen_A_Peak;Gen_A_WindOnshore;new_capacity_Gen_A_WindOnshore;Capacity_Gen_A_WindOnshore;Gen_A_PV;new_capacity_Gen_A_PV;Capacity_Gen_A_PV;Cons_A;Inelastic_Cons_A;Elastic_Cons_A;ENS_Cons_A;CapDemand_Cons_A;NetworkManager;CapacityManager
1;86.9567851993961;50910.127074173084;28305.923162075498;16006.0;28305.923162075498;998.6602298005143;1423.0774778280506;1423.0774778280506;6854.951237970996;6854.95123797087;6854.95123797087;0.0;20027.89444627636;20027.89444627636;886.0567338000001;0.0;13700.0;0.0;0.0;15403.0;-8734.970735721055;-8392.87008;-342.10065572105515;0.0;16006.0;-4.697016641059814;-12299.83751895687
2;74.46416012438566;50910.127074173084;28305.923162075498;16006.0;28305.923162075498;608.2605144458538;1423.0774778280506;1423.0774778280506;6808.131985193153;6854.95123797087;6854.95123797087;0.0;20027.89444627636;20027.89444627636;1010.8928189000001;0.0;13700.0;0.0;0.0;15403.0;-8537.081695392995;-8201.705759999999;-335.3759353929962;0.0;16006.0;109.7965511906272;-12299.83751895687
3;72.0913553945689;50910.127074173084;28305.923162075498;16006.0;28305.923162075498;534.1082926638127;1423.0774778280506;1423.0774778280506;6511.48945879453;6854.95123797087;6854.95123797087;0.0;20027.89444627636;20027.89444627636;1138.9221822;0.0;13700.0;0.0;0.0;15403.0;-8563.1047873716;-8226.511199999999;-336.5935873715999;0.0;16006.0;378.58496263488973;-12299.83751895687
4;70.50275163504065;50910.127074173084;28305.923162075498;16006.0;28305.923162075498;484.46678342432926;1423.0774778280506;1423.0774778280506;6312.963141319503;6854.95123797087;6854.95123797087;0.0;20027.89444627636;20027.89444627636;1277.6298324;0.0;13700.0;0.0;0.0;15403.0;-8729.597050387581;-8386.32576;-343.2712903875813;0.0;16006.0;654.5374777927254;-12299.83751895687
5;70.19693769819926;50910.127074173084;28305.923162075498;16006.0;28305.923162075498;474.9117310681158;1423.0774778280506;1423.0774778280506;6274.770038242685;6854.95123797087;6854.95123797087;0.0;20027.89444627636;20027.89444627636;1465.214178;0.0;13700.0;0.0;0.0;15403.0;-9188.192637675906;-8826.861120000001;-361.33151767590454;0.0;16006.0;973.2969268446387;-12299.83751895687
6;72.1338158668663;50910.127074173084;28305.923162075498;16006.0;28305.923162075498;535.4399728710009;1423.0774778280506;1423.0774778280506;6516.895940840995;6854.95123797087;6854.95123797087;0.0;20027.89444627636;20027.89444627636;1734.5955107;0.0;13700.0;0.0;0.0;15403.0;-10066.579848051168;-9670.89264;-395.6872080511668;0.0;16006.0;1279.6486849824348;-12299.83751895687
7;86.8922459431129;50910.127074173084;28305.923162075498;16006.0;28305.923162075498;996.6433984897267;1423.0774778280506;1423.0774778280506;6854.951237970932;6854.95123797087;6854.95123797087;0.0;20027.89444627636;20027.89444627636;1995.2434359;0.0;13700.0;0.0;0.0;15403.0;-11847.26518716776;-11383.265759999998;-463.99942716776224;0.0;16006.0;2000.4275649779458;-12299.83751895687
8;119.72828194522965;50910.127074173084;28305.923162075498;16006.0;28305.923162075498;1423.0774778281814;1423.0774778280506;1423.0774778280506;6854.951237970932;6854.95123797087;6854.95123797087;493.21360402338814;20027.89444627636;20027.89444627636;2149.0095644;0.0;13700.0;20.447852172;0.0;15403.0;-12999.94072903538;-12494.90304;-505.0376890353795;0.0;16006.0;2059.2416309775217;-12299.83751895687
9;144.07349981982603;50910.127074173084;28305.923162075498;16006.0;28305.923162075498;1423.0774778281814;1423.0774778280506;1423.0774778280506;6854.951237970931;6854.95123797087;6854.95123797087;1101.8589511596085;20027.89444627636;20027.89444627636;2246.6039803999997;0.0;13700.0;202.589528606;0.0;15403.0;-13589.787977462753;-13065.01968;-524.7682974627527;0.0;16006.0;1760.7069685002853;-12299.83751895687
10;109.93512824101116;50910.127074173084;28305.923162075498;16006.0;28305.923162075498;1423.0774778281689;1423.0774778280506;1423.0774778280506;6854.951237970932;6854.95123797087;6854.95123797087;248.38374630146916;20027.89444627636;20027.89444627636;2266.9740994;0.0;13700.0;533.144624314;0.0;15403.0;-13735.985204849832;-13201.0584;-534.9268048498332;0.0;16006.0;2409.4540794127643;-12299.83751895687
