Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_B_MidMerit;new_capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_Baseload;new_capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_Peak;new_capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Gen_B_PV;new_capacity_Gen_B_PV;Capacity_Gen_B_PV;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;ENS_Cons_B;CapDemand_Cons_B;NetworkManager;CapacityManager
1;86.95318338667516;50910.10779721472;8789.888431838257;14829.0;8789.888431838257;998.5337813622491;1422.9286053032263;1422.9286053032263;6854.065792325908;6854.065792325792;6854.065792325792;0.0;512.8940342091944;512.8940342091944;424.55263299999996;0.0;5315.0;0.0;0.0;8788.0;-8108.245986941533;-7790.6903999999995;-317.5555869415342;0.0;14829.0;-168.90631607661263;6039.177644065794
2;74.46203222190724;50910.10779721472;8789.888431838257;14829.0;8789.888431838257;608.1850016890927;1422.9286053032263;1422.9286053032263;6807.630388244425;6854.065792325792;6854.065792325792;0.0;512.8940342091944;512.8940342091944;590.04391712;0.0;5315.0;0.0;0.0;8788.0;-7743.292390772403;-7439.099999999999;-304.1923907724041;0.0;14829.0;-262.5669417392727;6039.177644065794
3;72.09016263589729;50910.10779721472;8789.888431838257;14829.0;8789.888431838257;534.0659638608131;1422.9286053032263;1422.9286053032263;6511.2082552507945;6854.065792325792;6854.065792325792;0.0;512.8940342091944;512.8940342091944;805.7575504199999;0.0;5315.0;0.0;0.0;8788.0;-7397.133547384546;-7106.3712;-290.7623473845461;0.0;14829.0;-453.89822939847846;6039.177644065794
4;70.50144969722105;50910.10779721472;8789.888431838257;14829.0;8789.888431838257;484.42057084844464;1422.9286053032263;1422.9286053032263;6312.655949084782;6854.065792325792;6854.065792325792;0.0;512.8940342091944;512.8940342091944;1017.8963785;0.0;5315.0;0.0;0.0;8788.0;-7266.48840574886;-6980.7504;-285.7380057488598;0.0;14829.0;-548.4844595580286;6039.177644065794
5;70.1952957023874;50910.10779721472;8789.888431838257;14829.0;8789.888431838257;474.8534479945599;1422.9286053032263;1422.9286053032263;6274.382600478743;6854.065792325792;6854.065792325792;0.0;512.8940342091944;512.8940342091944;1277.357707705;0.0;5315.0;0.0;0.0;8788.0;-7241.7380694183175;-6956.951999999999;-284.78606941831794;0.0;14829.0;-784.8556426323842;6039.177644065794
6;72.13178682275189;50910.10779721472;8789.888431838257;14829.0;8789.888431838257;535.3679563571673;1422.9286053032263;1422.9286053032263;6516.417302624929;6854.065792325792;6854.065792325792;0.0;512.8940342091944;512.8940342091944;1485.4467449600002;0.0;5315.0;0.0;0.0;8788.0;-7465.468636705644;-7172.0232;-293.4454367056443;0.0;14829.0;-1071.7633320097511;6039.177644065794
7;86.88864445449013;50910.10779721472;8789.888431838257;14829.0;8789.888431838257;996.5169366209956;1422.9286053032263;1422.9286053032263;6854.065792325882;6854.065792325792;6854.065792325792;0.0;512.8940342091944;512.8940342091944;1671.11196198;0.0;5315.0;0.0;0.0;8788.0;-7850.7326733887285;-7543.2576;-307.47507338872833;0.0;14829.0;-1670.962112070155;6039.177644065794
8;119.72412899004469;50910.10779721472;8789.888431838257;14829.0;8789.888431838257;1422.9286053029664;1422.9286053032263;1422.9286053032263;6854.065792325882;6854.065792325792;6854.065792325792;328.73534765307306;512.8940342091944;512.8940342091944;1879.6509777649999;0.0;5315.0;0.5422195999999999;0.0;8788.0;-8129.260645955209;-7813.4448;-315.8158459552084;0.0;14829.0;-2356.6620042597983;6039.177644065794
9;144.0694207573627;50910.10779721472;8789.888431838257;14829.0;8789.888431838257;1422.9286053029664;1422.9286053032263;1422.9286053032263;6854.06579232588;6854.065792325792;6854.065792325792;512.8940342091292;512.8940342091944;512.8940342091944;1953.072111385;0.0;5315.0;284.89188858;0.0;8788.0;-8391.974791305236;-8067.9192;-324.0555913052359;0.0;14829.0;-2635.8784400333334;6039.177644065794
10;109.93096145122395;50910.10779721472;8789.888431838257;14829.0;8789.888431838257;1422.92860530295;1422.9286053032263;1422.9286053032263;6854.065792325882;6854.065792325792;6854.065792325792;165.51538600264146;512.8940342091944;512.8940342091944;1952.122161435;0.0;5315.0;1192.60779196;0.0;8788.0;-8998.099918439997;-8647.6824;-350.41751843999776;0.0;14829.0;-2589.1399449376827;6039.177644065794
