Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_C_MidMerit;new_capacity_Gen_C_MidMerit;Capacity_Gen_C_MidMerit;Gen_C_Baseload;new_capacity_Gen_C_Baseload;Capacity_Gen_C_Baseload;Gen_C_Peak;new_capacity_Gen_C_Peak;Capacity_Gen_C_Peak;Gen_C_WindOnshore;new_capacity_Gen_C_WindOnshore;Capacity_Gen_C_WindOnshore;Gen_C_PV;new_capacity_Gen_C_PV;Capacity_Gen_C_PV;Cons_C;Inelastic_Cons_C;Elastic_Cons_C;ENS_Cons_C;CapDemand_Cons_C;NetworkManager;CapacityManager
1;86.95279033844795;50910.10316405236;8509.428026694912;14770.0;8509.428026694912;998.5220998080007;1422.8981124383008;1422.8981124383008;6853.947614871938;6853.947614871557;6853.947614871557;0.0;232.58229938378707;232.58229938378707;748.4615387;0.0;8300.0;0.0;0.0;18662.0;-8774.534813864151;-8430.884307839999;-343.6505060241536;0.0;14770.0;173.60333271767382;6260.659874891077
2;74.4628240628029;50910.10316405236;8509.428026694912;14770.0;8509.428026694912;608.2131989531619;1422.8981124383008;1422.8981124383008;6807.816377905182;6853.947614871557;6853.947614871557;0.0;232.58229938378707;232.58229938378707;916.5384643;0.0;8300.0;0.0;0.0;18662.0;-8485.338406775445;-8151.99507648;-333.34333029544496;0.0;14770.0;152.7703905486448;6260.659874891077
3;72.09038251475388;50910.10316405236;8509.428026694912;14770.0;8509.428026694912;534.073802555125;1422.8981124383008;1422.8981124383008;6511.259864697527;6853.947614871557;6853.947614871557;0.0;232.58229938378707;232.58229938378707;1173.8461501000002;0.0;8300.0;0.0;0.0;18662.0;-8294.493077368414;-7968.45784608;-326.0352312884132;0.0;14770.0;75.313266763589;6260.659874891077
4;70.50037325065787;50910.10316405236;8509.428026694912;14770.0;8509.428026694912;484.3823009416593;1422.8981124383008;1422.8981124383008;6312.402855952202;6853.947614871557;6853.947614871557;0.0;232.58229938378707;232.58229938378707;1503.8461572;0.0;8300.0;0.0;0.0;18662.0;-8194.578331143877;-7872.345230399999;-322.233100743879;0.0;14770.0;-106.05301823469615;6260.659874891077
5;70.19386068313135;50910.10316405236;8509.428026694912;14770.0;8509.428026694912;474.80242848563887;1422.8981124383008;1422.8981124383008;6274.045205199892;6853.947614871557;6853.947614871557;0.0;232.58229938378707;232.58229938378707;1802.5000025;0.0;8300.0;0.0;0.0;18662.0;-8362.906399069256;-8034.029538240001;-328.8768608292552;0.0;14770.0;-188.44128421225437;6260.659874891077
6;72.13062590123062;50910.10316405236;8509.428026694912;14770.0;8509.428026694912;535.3266918399319;1422.8981124383008;1422.8981124383008;6516.144309565009;6853.947614871557;6853.947614871557;0.0;232.58229938378707;232.58229938378707;2037.3076914;0.0;8300.0;0.0;0.0;18662.0;-8880.893378438032;-8531.811692160001;-349.0816862780305;0.0;14770.0;-207.88535297268393;6260.659874891077
7;86.88825174573462;50910.10316405236;8509.428026694912;14770.0;8509.428026694912;996.5052535319938;1422.8981124383008;1422.8981124383008;6853.947614871941;6853.947614871557;6853.947614871557;0.0;232.58229938378707;232.58229938378707;2269.6153871;0.0;8300.0;0.0;0.0;18662.0;-9790.603029315655;-9407.152615680001;-383.45041363565304;0.0;14770.0;-329.4654529077918;6260.659874891077
8;119.72358329517479;50910.10316405236;8509.428026694912;14770.0;8509.428026694912;1422.898112438278;1422.8981124383008;1422.8981124383008;6853.947614871941;6853.947614871557;6853.947614871557;232.58229931502177;232.58229938378707;232.58229938378707;2469.4230798999997;0.0;8300.0;0.0;0.0;18662.0;-11276.271922572345;-10838.1969216;-438.07500097234464;0.0;14770.0;297.4203732821866;6260.659874891077
9;144.06845347880926;50910.10316405236;8509.428026694912;14770.0;8509.428026694912;1422.898112438278;1422.8981124383008;1422.8981124383008;6853.947614871941;6853.947614871557;6853.947614871557;232.58229938457725;232.58229938378707;232.58229938378707;2599.8076886;0.0;8300.0;76.921815404;0.0;18662.0;-12061.329130467297;-11595.5815392;-465.7475912672968;0.0;14770.0;875.171471532849;6260.659874891077
10;109.93025128859203;50910.10316405236;8509.428026694912;14770.0;8509.428026694912;1422.8981124382658;1422.8981124383008;1422.8981124383008;6853.947614871941;6853.947614871557;6853.947614871557;124.12843172215197;232.58229938378707;232.58229938378707;2720.5769216;0.0;8300.0;682.104143322;0.0;18662.0;-11983.341037904745;-11516.667696;-466.67334190474446;0.0;14770.0;179.6858655249179;6260.659874891077
