Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_A_MidMerit;new_capacity_Gen_A_MidMerit;Capacity_Gen_A_MidMerit;Gen_A_Baseload;new_capacity_Gen_A_Baseload;Capacity_Gen_A_Baseload;Gen_A_Peak;new_capacity_Gen_A_Peak;Capacity_Gen_A_Peak;Gen_A_WindOnshore;new_capacity_Gen_A_WindOnshore;Capacity_Gen_A_WindOnshore;Gen_A_PV;new_capacity_Gen_A_PV;Capacity_Gen_A_PV;Cons_A;Inelastic_Cons_A;Elastic_Cons_A;ENS_Cons_A;CapDemand_Cons_A;NetworkManager;CapacityManager
1;86.71274657286953;46271.06011376005;19423.264859690353;16006.0;19423.264859690353;991.0403007266067;1297.943015791507;1297.943015791507;6623.589439778407;6623.589439783684;6623.589439783684;0.0;11501.732404115732;11501.732404115732;886.0567338000001;0.0;13700.0;0.0;0.0;15403.0;-8737.519046726497;-8392.87008;-344.6489667264961;0.0;16006.0;236.83374100212095;-3417.3283422713976
2;75.08968674930968;46271.06011376005;19423.264859690353;16006.0;19423.264859690353;627.8132249553017;1297.943015791507;1297.943015791507;6623.589439755225;6623.589439783684;6623.589439783684;0.0;11501.732404115732;11501.732404115732;1010.8928189000001;0.0;13700.0;0.0;0.0;15403.0;-8539.16666807146;-8201.705759999999;-337.4609080714617;0.0;16006.0;276.8719235615256;-3417.3283422713976
3;72.10363986848188;46271.06011376005;19423.264859690353;16006.0;19423.264859690353;534.4898193073361;1297.943015791507;1297.943015791507;6512.974088446446;6623.589439783684;6623.589439783684;0.0;11501.732404115732;11501.732404115732;1138.9221822;0.0;13700.0;0.0;0.0;15403.0;-8565.163323409815;-8226.511199999999;-338.6521234098168;0.0;16006.0;378.7773069832105;-3417.3283422713976
4;70.51723689481497;46271.06011376005;19423.264859690353;16006.0;19423.264859690353;484.91953386542184;1297.943015791507;1297.943015791507;6314.7558176532975;6623.589439783684;6623.589439783684;0.0;11501.732404115732;11501.732404115732;1277.6298324;0.0;13700.0;0.0;0.0;15403.0;-8731.649189735303;-8386.32576;-345.32342973530245;0.0;16006.0;654.344411318508;-3417.3283422713976
5;70.21260341221753;46271.06011376005;19423.264859690353;16006.0;19423.264859690353;475.4018153757123;1297.943015791507;1297.943015791507;6276.712293218717;6623.589439783684;6623.589439783684;0.0;11501.732404115732;11501.732404115732;1465.214178;0.0;13700.0;0.0;0.0;15403.0;-9190.34313108182;-8826.861120000001;-363.48201108181763;0.0;16006.0;973.0153933362573;-3417.3283422713976
6;72.15042219784999;46271.06011376005;19423.264859690353;16006.0;19423.264859690353;535.9586060773378;1297.943015791507;1297.943015791507;6518.939168269179;6623.589439783684;6623.589439783684;0.0;11501.732404115732;11501.732404115732;1734.5955107;0.0;13700.0;0.0;0.0;15403.0;-10069.000949775098;-9670.89264;-398.10830977509875;0.0;16006.0;1279.5082101314163;-3417.3283422713976
7;86.6601620298521;46271.06011376005;19423.264859690353;16006.0;19423.264859690353;989.3970324677241;1297.943015791507;1297.943015791507;6623.589439768037;6623.589439783684;6623.589439783684;0.0;11501.732404115732;11501.732404115732;1995.2434359;0.0;13700.0;0.0;0.0;15403.0;-11850.717970305668;-11383.265759999998;-467.45221030567046;0.0;16006.0;2242.4892306879633;-3417.3283422713976
8;118.60769007223077;46271.06011376005;19423.264859690353;16006.0;19423.264859690353;1297.9430157967429;1297.943015791507;1297.943015791507;6623.589439768038;6623.589439783684;6623.589439783684;465.20146497881177;11501.732404115732;11501.732404115732;2149.0095644;0.0;13700.0;20.447852172;0.0;15403.0;-13005.23238779547;-12494.90304;-510.3293477954708;0.0;16006.0;2449.042026357816;-3417.3283422713976
9;133.34784264415626;46271.06011376005;19423.264859690353;16006.0;19423.264859690353;1297.943015796743;1297.943015791507;1297.943015791507;6623.589439768038;6623.589439783684;6623.589439783684;833.7052796990597;11501.732404115732;11501.732404115732;2246.6039803999997;0.0;13700.0;202.589528606;0.0;15403.0;-13597.296938990812;-13065.01968;-532.2772589908124;0.0;16006.0;2392.866670443885;-3417.3283422713976
10;109.06756702939501;46271.06011376005;19423.264859690353;16006.0;19423.264859690353;1297.9430157967427;1297.943015791507;1297.943015791507;6623.589439768038;6623.589439783684;6623.589439783684;226.69838834830298;11501.732404115732;11501.732404115732;2266.9740994;0.0;13700.0;533.144624314;0.0;15403.0;-13741.10383385348;-13201.0584;-540.0454338534798;0.0;16006.0;2792.7552418449077;-3417.3283422713976
