Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_C_MidMerit;new_capacity_Gen_C_MidMerit;Capacity_Gen_C_MidMerit;Gen_C_Baseload;new_capacity_Gen_C_Baseload;Capacity_Gen_C_Baseload;Gen_C_Peak;new_capacity_Gen_C_Peak;Capacity_Gen_C_Peak;Gen_C_WindOnshore;new_capacity_Gen_C_WindOnshore;Capacity_Gen_C_WindOnshore;Gen_C_PV;new_capacity_Gen_C_PV;Capacity_Gen_C_PV;Cons_C;Inelastic_Cons_C;Elastic_Cons_C;ENS_Cons_C;CapDemand_Cons_C;NetworkManager;CapacityManager
1;86.69129709396785;50942.84545744609;12848.695742388458;14770.0;12848.695742388458;990.3358116055368;1578.5556044942784;1578.5556044942784;7125.985567762744;7125.985567761832;7125.985567761832;0.0;4144.154570133223;4144.154570133223;748.4615387;0.0;8300.0;0.0;0.0;18662.0;-8778.364466060346;-8430.884307839999;-347.4801582203473;0.0;14770.0;-86.41916669666475;1921.3042576103433
2;75.15965343451018;50942.84545744609;12848.695742388458;14770.0;12848.695742388458;629.9718973171049;1578.5556044942784;1578.5556044942784;6894.599455140317;7125.985567761832;7125.985567761832;0.0;4144.154570133223;4144.154570133223;916.5384643;0.0;8300.0;0.0;0.0;18662.0;-8488.47038714037;-8151.99507648;-336.4753106603708;0.0;14770.0;47.35995343340998;1921.3042576103433
3;72.10875938332444;50942.84545744609;12848.695742388458;14770.0;12848.695742388458;534.6464920200332;1578.5556044942784;1578.5556044942784;6513.548684573263;7125.985567761832;7125.985567761832;0.0;4144.154570133223;4144.154570133223;1173.8461501000002;0.0;8300.0;0.0;0.0;18662.0;-8297.4842376113;-7968.45784608;-329.026391531299;0.0;14770.0;75.44284096461642;1921.3042576103433
4;70.51893465049699;50942.84545744609;12848.695742388458;14770.0;12848.695742388458;484.9634762006927;1578.5556044942784;1578.5556044942784;6314.798995425823;7125.985567761832;7125.985567761832;0.0;4144.154570133223;4144.154570133223;1503.8461572;0.0;8300.0;0.0;0.0;18662.0;-8197.46821202028;-7872.345230399999;-325.1229816202795;0.0;14770.0;-106.14052881993541;1921.3042576103433
5;70.21267711832078;50942.84545744609;12848.695742388458;14770.0;12848.695742388458;475.39086117665556;1578.5556044942784;1578.5556044942784;6276.473263974757;7125.985567761832;7125.985567761832;0.0;4144.154570133223;4144.154570133223;1802.5000025;0.0;8300.0;0.0;0.0;18662.0;-8365.842796727218;-8034.029538240001;-331.81325848721747;0.0;14770.0;-188.52151610207812;1921.3042576103433
6;72.15075719215628;50942.84545744609;12848.695742388458;14770.0;12848.695742388458;535.9540900455388;1578.5556044942784;1578.5556044942784;6518.696168513944;7125.985567761832;7125.985567761832;0.0;4144.154570133223;4144.154570133223;2037.3076914;0.0;8300.0;0.0;0.0;18662.0;-8884.097717822713;-8531.811692160001;-352.28602566271184;0.0;14770.0;-207.86047766183842;1921.3042576103433
7;86.64464850077434;50942.84545744609;12848.695742388458;14770.0;12848.695742388458;988.87804100492;1578.5556044942784;1578.5556044942784;7125.985567759936;7125.985567761832;7125.985567761832;0.0;4144.154570133223;4144.154570133223;2269.6153871;0.0;8300.0;0.0;0.0;18662.0;-9794.87210386101;-9407.152615680001;-387.71948818100867;0.0;14770.0;-589.6076068635967;1921.3042576103433
8;118.62202997430373;50942.84545744609;12848.695742388458;14770.0;12848.695742388458;1578.5556044974576;1578.5556044942784;1578.5556044942784;7125.985567759936;7125.985567761832;7125.985567761832;232.77238752289352;4144.154570133223;4144.154570133223;2469.4230798999997;0.0;8300.0;0.0;0.0;18662.0;-11283.092373975069;-10838.1969216;-444.895452375069;0.0;14770.0;-123.64505785190086;1921.3042576103433
9;133.38358630033517;50942.84545744609;12848.695742388458;14770.0;12848.695742388458;1578.555604497458;1578.5556044942784;1578.5556044942784;7125.985567759936;7125.985567761832;7125.985567761832;417.29184159024953;4144.154570133223;4144.154570133223;2599.8076886;0.0;8300.0;76.921815404;0.0;18662.0;-12070.675250110096;-11595.5815392;-475.0937109100963;0.0;14770.0;272.11193983714566;1921.3042576103433
10;109.08013950714947;50942.84545744609;12848.695742388458;14770.0;12848.695742388458;1578.5556044969576;1578.5556044942784;1578.5556044942784;7125.985567759936;7125.985567761832;7125.985567761832;113.49875692440709;4144.154570133223;4144.154570133223;2720.5769216;0.0;8300.0;682.104143322;0.0;18662.0;-11989.985937031637;-11516.667696;-473.31824103163757;0.0;14770.0;-230.73584932628629;1921.3042576103433
