Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_A_MidMerit;new_capacity_Gen_A_MidMerit;Capacity_Gen_A_MidMerit;Gen_A_Baseload;new_capacity_Gen_A_Baseload;Capacity_Gen_A_Baseload;Gen_A_Peak;new_capacity_Gen_A_Peak;Capacity_Gen_A_Peak;Gen_A_WindOnshore;new_capacity_Gen_A_WindOnshore;Capacity_Gen_A_WindOnshore;Gen_A_PV;new_capacity_Gen_A_PV;Capacity_Gen_A_PV;Cons_A;Inelastic_Cons_A;Elastic_Cons_A;ENS_Cons_A;CapDemand_Cons_A;NetworkManager;CapacityManager
1;86.6968853144829;49152.347978724196;16895.836210693673;16156.0;16895.836210693673;990.6057211369533;1289.2694152124272;1289.2694152124272;6607.689089235569;6607.6890892355295;6607.6890892355295;0.0;8998.877706266025;8998.877706266025;886.0567338000001;0.0;13700.0;0.0;0.0;15403.0;-8734.993446825334;-8392.87008;-342.12336682533333;0.0;16156.0;250.64433736760978;-739.9325722689172
2;75.23884399317609;49152.347978724196;16895.836210693673;16156.0;16895.836210693673;632.5328105079652;1289.2694152124272;1289.2694152124272;6607.689089227337;6607.6890892355295;6607.6890892355295;0.0;8998.877706266025;8998.877706266025;1010.8928189000001;0.0;13700.0;0.0;0.0;15403.0;-8537.01549912184;-8201.705759999999;-335.30973912184226;0.0;16156.0;285.9029431449824;-739.9325722689172
3;72.09554642036623;49152.347978724196;16895.836210693673;16156.0;16895.836210693673;534.2567243243151;1289.2694152124272;1289.2694152124272;6512.449786705487;6607.6890892355295;6607.6890892355295;0.0;8998.877706266025;8998.877706266025;1138.9221822;0.0;13700.0;0.0;0.0;15403.0;-8563.1044251294;-8226.511199999999;-336.5932251294008;0.0;16156.0;377.47637922840016;-739.9325722689172
4;70.5091019674519;49152.347978724196;16895.836210693673;16156.0;16895.836210693673;484.6885295992092;1289.2694152124272;1289.2694152124272;6314.312145975622;6607.6890892355295;6607.6890892355295;0.0;8998.877706266025;8998.877706266025;1277.6298324;0.0;13700.0;0.0;0.0;15403.0;-8729.596491413984;-8386.32576;-343.27073141398495;0.0;16156.0;652.9668914954226;-739.9325722689172
5;70.20475977906621;49152.347978724196;16895.836210693673;16156.0;16895.836210693673;475.1846763191523;1289.2694152124272;1289.2694152124272;6276.42625236236;6607.6890892355295;6607.6890892355295;0.0;8998.877706266025;8998.877706266025;1465.214178;0.0;13700.0;0.0;0.0;15403.0;-9188.191913021134;-8826.861120000001;-361.3307930211316;0.0;16156.0;971.3679282678488;-739.9325722689172
6;72.14238609481527;49152.347978724196;16895.836210693673;16156.0;16895.836210693673;535.7399885386735;1289.2694152124272;1289.2694152124272;6518.744016836211;6607.6890892355295;6607.6890892355295;0.0;8998.877706266025;8998.877706266025;1734.5955107;0.0;13700.0;0.0;0.0;15403.0;-10066.578977950214;-9670.89264;-395.68633795021447;0.0;16156.0;1277.5007216000542;-739.9325722689172
7;86.63245855551774;49152.347978724196;16895.836210693673;16156.0;16895.836210693673;988.5923723385573;1289.2694152124272;1289.2694152124272;6607.689089237289;6607.6890892355295;6607.6890892355295;0.0;8998.877706266025;8998.877706266025;1995.2434359;0.0;13700.0;0.0;0.0;15403.0;-11847.295976718442;-11383.265759999998;-464.0302167184429;0.0;16156.0;2255.7735135488438;-739.9325722689172
8;118.50050169610991;49152.347978724196;16895.836210693673;16156.0;16895.836210693673;1289.2694152144163;1289.2694152124272;1289.2694152124272;6607.689089237291;6607.6890892355295;6607.6890892355295;462.56124801814605;8998.877706266025;8998.877706266025;2149.0095644;0.0;13700.0;20.447852172;0.0;15403.0;-13000.100517094017;-12494.90304;-505.19747709401827;0.0;16156.0;2471.1257255919572;-739.9325722689172
9;133.19800727890072;49152.347978724196;16895.836210693673;16156.0;16895.836210693673;1289.269415214416;1289.2694152124272;1289.2694152124272;6607.689089237291;6607.6890892355295;6607.6890892355295;829.9988880995617;8998.877706266025;8998.877706266025;2246.6039803999997;0.0;13700.0;202.589528606;0.0;15403.0;-13591.268033681463;-13065.01968;-526.2483536814627;0.0;16156.0;2415.11950968598;-739.9325722689172
10;108.96394303950916;49152.347978724196;16895.836210693673;16156.0;16895.836210693673;1289.2694152144163;1289.2694152124272;1289.2694152124272;6607.689089237291;6607.6890892355295;6607.6890892355295;224.14728301532807;8998.877706266025;8998.877706266025;2266.9740994;0.0;13700.0;533.144624314;0.0;15403.0;-13736.11873354513;-13201.0584;-535.06033354513;0.0;16156.0;2814.8965999651086;-739.9325722689172
