Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_B_MidMerit;new_capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_Baseload;new_capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_Peak;new_capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Gen_B_PV;new_capacity_Gen_B_PV;Capacity_Gen_B_PV;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;ENS_Cons_B;CapDemand_Cons_B;NetworkManager;CapacityManager
1;86.67325265161303;58886.59180524545;13527.95953634114;13957.0;13527.95953634114;989.7659724523575;1421.970426191785;1421.970426191785;6845.082528589244;6845.082528589217;6845.082528589217;0.0;5260.906581560228;5260.906581560228;424.55263299999996;0.0;5315.0;0.0;0.0;8788.0;-8108.268706902822;-7790.6903999999995;-317.5783069028224;0.0;13957.0;-151.13299967418868;429.04046365668165
2;75.21517651965613;58886.59180524545;13527.95953634114;13957.0;13527.95953634114;631.6908624401354;1421.970426191785;1421.970426191785;6845.082528547052;6845.082528589217;6845.082528589217;0.0;5260.906581560228;5260.906581560228;590.04391712;0.0;5315.0;0.0;0.0;8788.0;-7743.234033803174;-7439.099999999999;-304.1340338031743;0.0;13957.0;-323.5840979599096;429.04046365668165
3;72.08629722400762;58886.59180524545;13527.95953634114;13957.0;13527.95953634114;533.926893214306;1421.970426191785;1421.970426191785;6510.270405201376;6845.082528589217;6845.082528589217;0.0;5260.906581560228;5260.906581560228;805.7575504199999;0.0;5315.0;0.0;0.0;8788.0;-7397.133836308217;-7106.3712;-290.76263630821734;0.0;13957.0;-452.8215178236462;429.04046365668165
4;70.50042323322572;58886.59180524545;13527.95953634114;13957.0;13527.95953634114;484.37914417613774;1421.970426191785;1421.970426191785;6312.266207620096;6845.082528589217;6845.082528589217;0.0;5260.906581560228;5260.906581560228;1017.8963785;0.0;5315.0;0.0;0.0;8788.0;-7266.488481865104;-6980.7504;-285.73808186510433;0.0;13957.0;-548.0534697652951;429.04046365668165
5;70.19426957635294;58886.59180524545;13527.95953634114;13957.0;13527.95953634114;474.81072316497955;1421.970426191785;1421.970426191785;6273.953212701784;6845.082528589217;6845.082528589217;0.0;5260.906581560228;5260.906581560228;1277.357707705;0.0;5315.0;0.0;0.0;8788.0;-7241.738145475823;-6956.951999999999;-284.78614547582384;0.0;13957.0;-784.3837451545052;429.04046365668165
6;72.12913236747362;58886.59180524545;13527.95953634114;13957.0;13527.95953634114;535.2674687051706;1421.970426191785;1421.970426191785;6515.620031311393;6845.082528589217;6845.082528589217;0.0;5260.906581560228;5260.906581560228;1485.4467449600002;0.0;5315.0;0.0;0.0;8788.0;-7465.468837820232;-7172.0232;-293.4456378202324;0.0;13957.0;-1070.8658519297692;429.04046365668165
7;86.60882353203371;58886.59180524545;13527.95953634114;13957.0;13527.95953634114;987.7525389273856;1421.970426191785;1421.970426191785;6845.082528589318;6845.082528589217;6845.082528589217;0.0;5260.906581560228;5260.906581560228;1671.11196198;0.0;5315.0;0.0;0.0;8788.0;-7850.754663155015;-7543.2576;-307.4970631550146;0.0;13957.0;-1653.1929394874298;429.04046365668165
8;118.47419237773379;58886.59180524545;13527.95953634114;13957.0;13527.95953634114;1421.9704261916984;1421.970426191785;1421.970426191785;6845.082528589319;6845.082528589217;6845.082528589217;307.89284718937785;5260.906581560228;5260.906581560228;1879.6509777649999;0.0;5315.0;0.5422195999999999;0.0;8788.0;-8129.36238535243;-7813.4448;-315.91758535242917;0.0;13957.0;-2325.777543776527;429.04046365668165
9;133.17169745141754;58886.59180524545;13527.95953634114;13957.0;13527.95953634114;1421.970426191698;1421.970426191785;1421.970426191785;6845.082528589319;6845.082528589217;6845.082528589217;552.851264715868;5260.906581560228;5260.906581560228;1953.072111385;0.0;5315.0;284.89188858;0.0;8788.0;-8392.890646668948;-8067.9192;-324.97144666894707;0.0;13957.0;-2664.9785026197633;429.04046365668165
10;108.93763290487578;58886.59180524545;13527.95953634114;13957.0;13527.95953634114;1421.9704261916727;1421.970426191785;1421.970426191785;6845.082528589319;6845.082528589217;6845.082528589217;148.950188892605;5260.906581560228;5260.906581560228;1952.122161435;0.0;5315.0;1192.60779196;0.0;8788.0;-8998.189401741109;-8647.6824;-350.50700174110887;0.0;13957.0;-2562.544625175447;429.04046365668165
11;79.78874193753022;58886.59180524545;13527.95953634114;13957.0;13527.95953634114;774.6249790367264;1421.970426191785;1421.970426191785;6845.082528589379;6845.082528589217;6845.082528589217;0.0;5260.906581560228;5260.906581560228;2001.56955704;0.0;5315.0;2332.255343444;0.0;8788.0;-9383.102366516694;-9014.971199999998;-368.1311665166954;0.0;13957.0;-2570.430614998753;429.04046365668165
12;477.62800642886845;58886.59180524545;13527.95953634114;13957.0;13527.95953634114;1421.9704261915701;1421.970426191785;1421.970426191785;6845.0825285893725;6845.082528589217;6845.082528589217;5260.906581558596;5260.906581560228;5260.906581560228;531.55315;0.0;5315.0;882.985821068;0.0;8788.0;-14331.231175032048;-13824.0096;-507.22157503204926;0.0;13957.0;-611.2412581995414;429.04046365668165
13;70.17681913220491;58886.59180524545;13527.95953634114;13957.0;13527.95953634114;474.2278325561626;1421.970426191785;1421.970426191785;6270.775297208913;6845.082528589217;6845.082528589217;0.0;5260.906581560228;5260.906581560228;2309.578330105;0.0;5315.0;3377.281400428;0.0;8788.0;-9518.545505286977;-9144.2208;-374.3247052869777;0.0;13957.0;-2913.3185522855856;429.04046365668165
14;70.29349342783287;58886.59180524545;13527.95953634114;13957.0;13527.95953634114;477.8662121411938;1421.970426191785;1421.970426191785;6285.19091949763;6845.082528589217;6845.082528589217;0.0;5260.906581560228;5260.906581560228;2473.819675045;0.0;5315.0;3304.9504042880003;0.0;8788.0;-9454.511928471735;-9082.716;-371.7959284717345;0.0;13957.0;-3087.316680855387;429.04046365668165
15;72.43048279728076;58886.59180524545;13527.95953634114;13957.0;13527.95953634114;544.6386592550488;1421.970426191785;1421.970426191785;6552.165633320503;6845.082528589217;6845.082528589217;0.0;5260.906581560228;5260.906581560228;2667.884452315;0.0;5315.0;2613.375070904;0.0;8788.0;-9281.53247998253;-8916.7296;-364.80287998252965;0.0;13957.0;-3096.532962351989;429.04046365668165
16;79.8389869451322;58886.59180524545;13527.95953634114;13957.0;13527.95953634114;776.1951411480833;1421.970426191785;1421.970426191785;6845.082528589345;6845.082528589217;6845.082528589217;0.0;5260.906581560228;5260.906581560228;2822.4763084549995;0.0;5315.0;1431.583804196;0.0;8788.0;-9084.661107168227;-8728.243199999999;-356.4179071682276;0.0;13957.0;-2790.6772484724243;429.04046365668165
17;107.777148620157;58886.59180524545;13527.95953634114;13957.0;13527.95953634114;1421.9704261915176;1421.970426191785;1421.970426191785;6845.082528589347;6845.082528589217;6845.082528589217;129.60878745101147;5260.906581560228;5260.906581560228;2929.87065101;0.0;5315.0;307.25238336;0.0;8788.0;-9232.371384174077;-8872.6392;-359.7321841740774;0.0;13957.0;-2401.4143219785183;429.04046365668165
18;2360.5454269291045;58886.59180524545;13527.95953634114;13957.0;13527.95953634114;1421.9704261916913;1421.970426191785;1421.970426191785;6845.082528589345;6845.082528589217;6845.082528589217;5260.906581560223;5260.906581560228;5260.906581560228;531.55315;0.0;5315.0;0.0050003719999999995;0.0;8788.0;-14060.091192822549;-13824.0096;-236.08159282254917;0.0;13957.0;0.5701061631352292;429.04046365668165
19;3965.496704734372;58886.59180524545;13527.95953634114;13957.0;13527.95953634114;1421.9704261916925;1421.970426191785;1421.970426191785;6845.082528589223;6845.082528589217;6845.082528589217;5260.906581560223;5260.906581560228;5260.906581560228;531.55315;0.0;5315.0;0.0;0.0;8788.0;-15365.530125987036;-15360.009599999661;-5.520525987374414;3.383320290595293e-10;13957.0;1306.012579332319;429.04046365668165
20;125.76892439866856;58886.59180524545;13527.95953634114;13957.0;13527.95953634114;1421.9704261916982;1421.970426191785;1421.970426191785;6845.082528589225;6845.082528589217;6845.082528589217;429.47171793040934;5260.906581560228;5260.906581560228;3184.90721614;0.0;5315.0;0.0;0.0;8788.0;-9860.869979586789;-9478.356;-382.51397958678893;0.0;13957.0;-2020.5628387567656;429.04046365668165
21;98.18693679706828;58886.59180524545;13527.95953634114;13957.0;13527.95953634114;1349.5696583134677;1421.970426191785;1421.970426191785;6845.082528589224;6845.082528589217;6845.082528589217;0.0;5260.906581560228;5260.906581560228;3260.153249695;0.0;5315.0;0.0;0.0;8788.0;-9400.930446143191;-9033.7632;-367.1672461431922;0.0;13957.0;-2053.875522440653;429.04046365668165
22;80.19729829843395;58886.59180524545;13527.95953634114;13957.0;13527.95953634114;787.3923813443988;1421.970426191785;1421.970426191785;6845.082528589222;6845.082528589217;6845.082528589217;0.0;5260.906581560228;5260.906581560228;3343.848841705;0.0;5315.0;0.0;0.0;8788.0;-9059.611109171912;-8704.207199999999;-355.4039091719126;0.0;13957.0;-1916.713215450574;429.04046365668165
23;72.72627194659118;58886.59180524545;13527.95953634114;13957.0;13527.95953634114;553.9109457738343;1421.970426191785;1421.970426191785;6589.842605070028;6845.082528589217;6845.082528589217;0.0;5260.906581560228;5260.906581560228;3435.394019025;0.0;5315.0;0.0;0.0;8788.0;-8833.168796243674;-8486.0136;-347.15519624367374;0.0;13957.0;-1745.9796582116762;429.04046365668165
24;69.37608731360785;58886.59180524545;13527.95953634114;13957.0;13527.95953634114;449.2235683810007;1421.970426191785;1421.970426191785;6171.214374398612;6845.082528589217;6845.082528589217;0.0;5260.906581560228;5260.906581560228;3506.86525454;0.0;5315.0;0.0;0.0;8788.0;-8598.765376338113;-8260.5456;-338.21977633811434;0.0;13957.0;-1528.5385544076296;429.04046365668165
