Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_A_MidMerit;new_capacity_Gen_A_MidMerit;Capacity_Gen_A_MidMerit;Gen_A_Baseload;new_capacity_Gen_A_Baseload;Capacity_Gen_A_Baseload;Gen_A_Peak;new_capacity_Gen_A_Peak;Capacity_Gen_A_Peak;Gen_A_WindOnshore;new_capacity_Gen_A_WindOnshore;Capacity_Gen_A_WindOnshore;Gen_A_PV;new_capacity_Gen_A_PV;Capacity_Gen_A_PV;Cons_A;Inelastic_Cons_A;Elastic_Cons_A;ENS_Cons_A;CapDemand_Cons_A;NetworkManager;CapacityManager
1;55.18416647134229;0.0;0.0;0.0;0.0;1311.2152619298474;9639.089879285246;9639.089879285246;28348.05193140637;28348.051931405596;28348.051931405596;0.0;7129.557205579958;7129.557205579958;22045.749980981996;0.0;72618.0;0.0;0.0;86952.0;-45705.01415361001;-36584.200000000004;-9120.81415361001;0.0;0.0;-5999.999999999992;0.0
2;54.346275174110254;0.0;0.0;0.0;0.0;1049.374308488215;9639.089879285246;9639.089879285246;28348.05193140704;28348.051931405596;28348.051931405596;0.0;7129.557205579958;7129.557205579958;20881.000032984;0.0;72618.0;0.0;0.0;86952.0;-44278.42325210808;-35442.0;-8836.423252108076;0.0;0.0;-6000.000000000001;0.0
3;55.14534637769972;0.0;0.0;0.0;0.0;1299.0840902743207;9639.089879285246;9639.089879285246;28348.051931407033;28348.051931405596;28348.051931405596;0.0;7129.557205579958;7129.557205579958;20062.25001963;0.0;72618.0;0.0;0.0;86952.0;-43709.3830205151;-34986.8;-8722.583020515098;0.0;0.0;-5999.999999999997;0.0
4;57.624515866634944;0.0;0.0;0.0;0.0;2073.824523854924;9639.089879285246;9639.089879285246;28348.051931407626;28348.051931405596;28348.051931405596;0.0;7129.557205579958;7129.557205579958;19590.500036016;0.0;72618.0;0.0;0.0;86952.0;-44012.37347038477;-35230.200000000004;-8782.173470384767;0.0;0.0;-5999.9999998869025;0.0
5;60.55128142322733;0.0;0.0;0.0;0.0;2979.4235477032016;9639.089879285246;9639.089879285246;28348.051931407634;28348.051931405596;28348.051931405596;0.0;7129.557205579958;7129.557205579958;19433.000017704;0.0;72618.0;0.0;0.0;86952.0;-45490.688097233215;-36414.6;-9076.088097233216;0.0;0.0;-5269.792735879598;0.0
6;67.48305088422426;0.0;0.0;0.0;0.0;5150.408909325317;9639.089879285246;9639.089879285246;28348.051931407645;28348.051931405596;28348.051931405596;0.0;7129.557205579958;7129.557205579958;19541.999998794;0.0;72618.0;0.0;0.0;86952.0;-49090.349960197294;-39298.8;-9791.549960197293;0.0;0.0;-3950.1117635653245;0.0
7;90.1174283770779;0.0;0.0;0.0;0.0;9639.089879285244;9639.089879285246;9639.089879285246;28348.051931407652;28348.051931405596;28348.051931405596;2014.8169991342763;7129.557205579958;7129.557205579958;19970.750032506003;0.0;72618.0;35.499979992;0.0;86952.0;-55924.30699982344;-44779.8;-11144.506999823441;0.0;0.0;-4083.9005836020115;0.0
8;124.49702657525118;0.0;0.0;0.0;0.0;9639.089879285246;9639.089879285246;9639.089879285246;28348.051931407652;28348.051931405596;28348.051931405596;6312.44911259324;7129.557205579958;7129.557205579958;19768.749994266;0.0;72618.0;2228.999999016;0.0;86952.0;-60297.33804485198;-48298.0;-11999.338044851982;0.0;0.0;-5999.999999999995;0.0
9;102.12797748757382;0.0;0.0;0.0;0.0;9639.089879285244;9639.089879285246;9639.089879285246;28348.051931407652;28348.051931405596;28348.051931405596;3516.3179243187506;7129.557205579958;7129.557205579958;17854.999985004;0.0;72618.0;9530.7500274;0.0;86952.0;-62889.2068761668;-50362.8;-12526.406876166797;0.0;0.0;-6000.000000000003;0.0
10;72.64854676840187;0.0;0.0;0.0;0.0;6768.833166756029;9639.089879285246;9639.089879285246;28348.051931407575;28348.051931405596;28348.051931405596;0.0;7129.557205579958;7129.557205579958;14545.000016274;0.0;72618.0;19428.999987288;0.0;86952.0;-63090.88208179042;-50509.4;-12581.48208179042;0.0;0.0;-5999.999999999993;0.0
