Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_B_MidMerit;new_capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_Baseload;new_capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_Peak;new_capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Gen_B_PV;new_capacity_Gen_B_PV;Capacity_Gen_B_PV;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;ENS_Cons_B;CapDemand_Cons_B;NetworkManager;CapacityManager
1;61.44636327316132;0.0;0.0;0.0;0.0;263.9432317873123;1827.1736125802693;1827.1736125802693;3930.638209019683;4553.348066046514;4553.348066046514;0.0;1288.2402545810585;1288.2402545810585;2850.9999974820003;0.0;5439.0;0.0;0.0;10794.0;-8205.954638781135;-6568.8;-1637.1546387811347;0.0;0.0;1160.373003131883;0.0
2;59.26429760270564;0.0;0.0;0.0;0.0;195.75574123593506;1827.1736125802693;1827.1736125802693;3657.9376619711197;4553.348066046514;4553.348066046514;0.0;1288.2402545810585;1288.2402545810585;2692.000002636;0.0;5439.0;0.0;0.0;10794.0;-7809.618939424386;-6251.400000000001;-1558.218939424385;0.0;0.0;1263.925408614832;0.0
3;58.417941106011455;0.0;0.0;0.0;0.0;169.30781114367863;1827.1736125802693;1827.1736125802693;3552.1629702647524;4553.348066046514;4553.348066046514;0.0;1288.2402545810585;1288.2402545810585;2451.000001212;0.0;5439.0;0.0;0.0;10794.0;-7638.285262649053;-6114.200000000001;-1524.0852626490523;0.0;0.0;1465.8143800088017;0.0
4;57.962352282415466;0.0;0.0;0.0;0.0;155.07447156821976;1827.1736125802693;1827.1736125802693;3495.378025047948;4553.348066046514;4553.348066046514;0.0;1288.2402545810585;1288.2402545810585;2378.0000003970003;0.0;5439.0;0.0;0.0;10794.0;-7495.90267877791;-6000.200000000001;-1495.7026787779091;0.0;0.0;1467.4502528350974;0.0
5;60.61055942493619;0.0;0.0;0.0;0.0;237.96297389225356;1827.1736125802693;1827.1736125802693;3829.533079888656;4553.348066046514;4553.348066046514;0.0;1288.2402545810585;1288.2402545810585;2491.0000008389998;0.0;5439.0;0.0;0.0;10794.0;-7569.659212115635;-6059.400000000001;-1510.2592121156338;0.0;0.0;1011.1679410879411;0.0
6;67.49892115554509;0.0;0.0;0.0;0.0;453.13689039083204;1827.1736125802693;1827.1736125802693;4553.348066034231;4553.348066046514;4553.348066046514;0.0;1288.2402545810585;1288.2402545810585;2617.999998159;0.0;5439.0;0.0;0.0;10794.0;-7976.612238735718;-6385.6;-1591.0122387357173;0.0;0.0;352.1288928830405;0.0
7;90.12107583064724;0.0;0.0;0.0;0.0;1160.0633100850898;1827.1736125802693;1827.1736125802693;4553.3480660537325;4553.348066046514;4553.348066046514;176.51768916287907;1288.2402545810585;1288.2402545810585;2687.000000643;0.0;5439.0;0.0;0.0;10794.0;-8866.502207018668;-7099.6;-1766.9022070186677;0.0;0.0;289.5741991371198;0.0
8;200.51354304202658;0.0;0.0;0.0;0.0;1827.1736125812095;1827.1736125802693;1827.1736125802693;4553.348066053733;4553.348066046514;4553.348066046514;1288.2402545807454;1288.2402545810585;1288.2402545810585;707.6372659440001;0.0;5439.0;91.00000434;0.0;10794.0;-9629.65244782246;-7719.200000000001;-1910.4524478224587;0.0;0.0;1162.25303263611;0.0
9;114.85014709367479;0.0;0.0;0.0;0.0;1827.173612574487;1827.1736125802693;1827.1736125802693;4553.348066053733;4553.348066046514;4553.348066046514;485.6259828610508;1288.2402545810585;1288.2402545810585;687.446528559;0.0;5439.0;1063.999995114;0.0;10794.0;-10216.25312652439;-8182.400000000001;-2033.8531265243894;0.0;0.0;1598.6587295787667;0.0
10;84.72921627302833;0.0;0.0;0.0;0.0;991.5197835907971;1827.1736125802693;1827.1736125802693;4553.348066048576;4553.348066046514;4553.348066046514;109.11258400716574;1288.2402545810585;1288.2402545810585;623.028459333;0.0;5439.0;3029.999995764;0.0;10794.0;-10307.009544536837;-8252.6;-2054.4095445368366;0.0;0.0;1000.0000000015679;0.0
