Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_C_MidMerit;new_capacity_Gen_C_MidMerit;Capacity_Gen_C_MidMerit;Gen_C_Baseload;new_capacity_Gen_C_Baseload;Capacity_Gen_C_Baseload;Gen_C_Peak;new_capacity_Gen_C_Peak;Capacity_Gen_C_Peak;Gen_C_WindOnshore;new_capacity_Gen_C_WindOnshore;Capacity_Gen_C_WindOnshore;Gen_C_PV;new_capacity_Gen_C_PV;Capacity_Gen_C_PV;Cons_C;Inelastic_Cons_C;Elastic_Cons_C;ENS_Cons_C;CapDemand_Cons_C;NetworkManager;CapacityManager
1;39.91062500302822;0.0;0.0;0.0;0.0;0.0;1024.0679127225833;1024.0679127225833;10575.440485786221;10575.440485786077;10575.440485786077;0.0;190.77849863550176;190.77849863550176;2742.249994848;0.0;11706.0;0.0;0.0;27259.0;-11467.171552940003;-9177.4;-2289.771552940002;0.0;0.0;-1850.5190773099532;0.0
2;28.826334160637277;0.0;0.0;0.0;0.0;0.0;1024.0679127225833;1024.0679127225833;10575.440485597905;10575.440485786077;10575.440485786077;0.0;190.77849863550176;190.77849863550176;2703.49999764;0.0;11706.0;0.0;0.0;27259.0;-10984.58263362149;-8790.2;-2194.3826336214897;0.0;0.0;-2294.35766207891;0.0
3;28.554333710178213;0.0;0.0;0.0;0.0;0.0;1024.0679127225833;1024.0679127225833;10547.882388613518;10575.440485786077;10575.440485786077;0.0;190.77849863550176;190.77849863550176;2692.999996584;0.0;11706.0;0.0;0.0;27259.0;-10639.711034666992;-8514.2;-2125.5110346669917;0.0;0.0;-2601.172515396173;0.0
4;28.483283460820296;0.0;0.0;0.0;0.0;0.0;1024.0679127225833;1024.0679127225833;10477.023291708989;10575.440485786077;10575.440485786077;0.0;190.77849863550176;190.77849863550176;2669.000004204;0.0;11706.0;0.0;0.0;27259.0;-10542.246367528995;-8436.2;-2106.046367528993;0.0;0.0;-2603.7780586315025;0.0
5;28.535281216625837;0.0;0.0;0.0;0.0;0.0;1024.0679127225833;1024.0679127225833;10528.916882143983;10575.440485786077;10575.440485786077;0.0;190.77849863550176;190.77849863550176;2624.250003048;0.0;11706.0;0.0;0.0;27259.0;-10640.962705671287;-8515.2;-2125.762705671286;0.0;0.0;-2512.205328448045;0.0
6;29.223194537019996;0.0;0.0;0.0;0.0;0.0;1024.0679127225833;1024.0679127225833;10575.440485786046;10575.440485786077;10575.440485786077;0.0;190.77849863550176;190.77849863550176;2601.249995718;0.0;11706.0;0.0;0.0;27259.0;-11037.523539309066;-8832.6;-2204.923539309065;0.0;0.0;-2139.1667648991806;0.0
7;76.73696203156909;0.0;0.0;0.0;0.0;1024.0679127225824;1024.0679127225833;1024.0679127225833;10575.44048578622;10575.440485786077;10575.440485786077;34.21077336212563;190.77849863550176;190.77849863550176;2637.249995994;0.0;11706.0;0.0;0.0;27259.0;-12426.207182472808;-9948.6;-2477.6071824728083;0.0;0.0;-1844.763116430289;0.0
8;208.8863039414008;0.0;0.0;0.0;0.0;1024.0679127225844;1024.0679127225833;1024.0679127225833;10575.44048578622;10575.440485786077;10575.440485786077;190.77849863548795;190.77849863550176;190.77849863550176;316.80000477;0.0;11706.0;22.000002907;0.0;27259.0;-13850.008669321487;-11103.2;-2746.808669321486;0.0;0.0;1720.922009834007;0.0
9;108.16277522422382;0.0;0.0;0.0;0.0;1024.067912722584;1024.0679127225833;1024.0679127225833;10575.44048578622;10575.440485786077;10575.440485786077;190.77849863542357;190.77849863550176;190.77849863550176;2507.999999718;0.0;11706.0;428.25001167199997;0.0;27259.0;-14413.393192635236;-11543.2;-2870.1931926352354;0.0;0.0;-313.14349509814963;0.0
10;48.741220209391024;0.0;0.0;0.0;0.0;0.0;1024.0679127225833;1024.0679127225833;10575.44048578622;10575.440485786077;10575.440485786077;0.0;190.77849863550176;190.77849863550176;1996.99999515;0.0;11706.0;1420.2499990219999;0.0;27259.0;-14206.072410417231;-11370.400000000001;-2835.6724104172304;0.0;0.0;213.38182194078192;0.0
11;36.72816035008777;0.0;0.0;0.0;0.0;0.0;1024.0679127225833;1024.0679127225833;10575.440485786217;10575.440485786077;10575.440485786077;0.0;190.77849863550176;190.77849863550176;1548.250005204;0.0;11706.0;2379.750007478;0.0;27259.0;-13722.70805001044;-10982.2;-2740.50805001044;0.0;0.0;-780.7325581504593;0.0
12;26.887329641637553;0.0;0.0;0.0;0.0;0.0;1024.0679127225833;1024.0679127225833;8912.804772908537;10575.440485786077;10575.440485786077;0.0;190.77849863550176;190.77849863550176;1360.249994658;0.0;11706.0;3263.5000080930004;0.0;27259.0;-13322.16705703995;-10660.6;-2661.567057039948;0.0;0.0;-214.3834981005794;0.0
13;23.62993392630836;0.0;0.0;0.0;0.0;0.0;1024.0679127225833;1024.0679127225833;5658.582027670095;10575.440485786077;10575.440485786077;0.0;190.77849863550176;190.77849863550176;1595.999996628;0.0;11706.0;3975.000006082;0.0;27259.0;-12918.196712629111;-10337.0;-2581.1967126291106;0.0;0.0;1688.619186333638;0.0
