Timestep;EOM_price;Gen_A_Baseload;new_Capacity_Gen_A_Baseload;Capacity_Gen_A_Baseload;Gen_A_MidMerit;new_Capacity_Gen_A_MidMerit;Capacity_Gen_A_MidMerit;Gen_A_PV;new_Capacity_Gen_A_PV;Capacity_Gen_A_PV;Gen_A_Peak;new_Capacity_Gen_A_Peak;Capacity_Gen_A_Peak;Gen_A_WindOnshore;new_Capacity_Gen_A_WindOnshore;Capacity_Gen_A_WindOnshore;Cons_A;Inelastic_Cons_A;Elastic_Cons_A;NetworkManager;ENS_Cons_A
1.0;39.67;17666.36;26921.08;26921.08;0.0;7832.38;7832.38;0.0;0.0;86952.0;0.0;10340.82;10340.82;22045.75;0.0;72618.0;45712.11;36584.2;9127.91;6000.0;0.0
2.0;39.4;17404.04;26921.08;26921.08;0.0;7832.38;7832.38;0.0;0.0;86952.0;0.0;10340.82;10340.82;20881.0;0.0;72618.0;44285.04;35442.0;8843.04;6000.0;0.0
3.0;39.65;17653.91;26921.08;26921.08;0.0;7832.38;7832.38;0.0;0.0;86952.0;0.0;10340.82;10340.82;20062.25;0.0;72618.0;43716.16;34986.8;8729.36;6000.0;0.0
4.0;40.43;18429.45;26921.08;26921.08;0.0;7832.38;7832.38;0.0;0.0;86952.0;0.0;10340.82;10340.82;19590.5;0.0;72618.0;44019.95;35230.2;8789.75;6000.0;0.0
5.0;42.07;20066.1;26921.08;26921.08;0.0;7832.38;7832.38;0.0;0.0;86952.0;0.0;10340.82;10340.82;19433.0;0.0;72618.0;45499.1;36414.6;9084.5;6000.0;0.0
6.0;45.56;23559.12;26921.08;26921.08;0.0;7832.38;7832.38;0.0;0.0;86952.0;0.0;10340.82;10340.82;19542.0;0.0;72618.0;49101.12;39298.8;9802.32;6000.0;0.0
7.0;84.22;26921.08;26921.08;26921.08;2922.47;7832.38;7832.38;35.5;0.0;86952.0;77.81;10340.82;10340.82;19970.75;0.0;72618.0;55927.61;44779.8;11147.81;6000.0;0.0
8.0;194.16;26921.08;26921.08;26921.08;7832.38;7832.38;7832.38;2229.0;0.0;86952.0;1451.99;10340.82;10340.82;19768.75;0.0;72618.0;60255.28;48298.0;11957.28;2052.08;0.0
9.0;99.17;26921.08;26921.08;26921.08;4416.83;7832.38;7832.38;9530.75;0.0;86952.0;264.6;10340.82;10340.82;17855.0;0.0;72618.0;62891.07;50362.8;12528.27;3902.81;0.0
10.0;46.67;24673.89;26921.08;26921.08;0.0;7832.38;7832.38;19429.0;0.0;86952.0;0.0;10340.82;10340.82;14545.0;0.0;72618.0;63107.28;50509.4;12597.88;4459.39;0.0
11.0;35.91;13906.61;26921.08;26921.08;0.0;7832.38;7832.38;28515.0;0.0;86952.0;0.0;10340.82;10340.82;13914.0;0.0;72618.0;62335.61;49886.4;12449.21;6000.0;0.0
12.0;26.39;4387.16;26921.08;26921.08;0.0;7832.38;7832.38;35306.25;0.0;86952.0;0.0;10340.82;10340.82;14956.25;0.0;72618.0;60166.87;48146.2;12020.67;5517.21;0.0
13.0;20.57;0.0;26921.08;26921.08;0.0;7832.38;7832.38;39113.0;0.0;86952.0;0.0;10340.82;10340.82;16080.75;0.0;72618.0;57898.09;46328.0;11570.09;2704.34;0.0
14.0;0.0;0.0;26921.08;26921.08;0.0;7832.38;7832.38;39785.75;0.0;86952.0;0.0;10340.82;10340.82;16977.0;0.0;72618.0;56958.25;45566.6;11391.65;195.5;0.0
15.0;0.0;0.0;26921.08;26921.08;0.0;7832.38;7832.38;36661.48;0.0;86952.0;0.0;10340.82;10340.82;19664.5;0.0;72618.0;55617.5;44494.0;11123.5;-708.48;0.0
16.0;23.93;1932.43;26921.08;26921.08;0.0;7832.38;7832.38;33166.75;0.0;86952.0;0.0;10340.82;10340.82;14724.7;0.0;72618.0;54823.88;43869.6;10954.28;5000.0;0.0
17.0;21.74;0.0;26921.08;26921.08;0.0;7832.38;7832.38;26151.75;0.0;86952.0;0.0;10340.82;10340.82;24635.0;0.0;72618.0;54710.61;43778.0;10932.61;3923.86;0.0
18.0;29.76;7760.43;26921.08;26921.08;0.0;7832.38;7832.38;16499.25;0.0;86952.0;0.0;10340.82;10340.82;26239.75;0.0;72618.0;56499.43;45213.0;11286.43;6000.0;0.0
19.0;7872.08;26921.08;26921.08;26921.08;7832.38;7832.38;7832.38;6593.5;0.0;86952.0;10340.82;10340.82;10340.82;22374.35;0.0;72618.0;80062.13;80000.0;62.13;6000.0;0.0
20.0;3547.07;26921.08;26921.08;26921.08;7832.38;7832.38;7832.38;1033.5;0.0;86952.0;10340.82;10340.82;10340.82;4894.1;0.0;72618.0;53934.9;47910.6;6024.3;2913.02;0.0
21.0;1269.88;26921.08;26921.08;26921.08;7832.38;7832.38;7832.38;5.0;0.0;86952.0;10340.82;10340.82;10340.82;13883.4;0.0;72618.0;57711.08;47517.0;10194.08;-1271.6;0.0
22.0;69.6;26921.08;26921.08;26921.08;1459.95;7832.38;7832.38;0.0;0.0;86952.0;0.0;10340.82;10340.82;29112.0;0.0;72618.0;57286.1;45860.8;11425.3;-206.93;0.0
23.0;46.73;24733.41;26921.08;26921.08;0.0;7832.38;7832.38;0.0;0.0;86952.0;0.0;10340.82;10340.82;28376.25;0.0;72618.0;53745.62;43016.6;10729.02;635.96;0.0
24.0;42.86;20861.73;26921.08;26921.08;0.0;7832.38;7832.38;0.0;0.0;86952.0;0.0;10340.82;10340.82;27203.75;0.0;72618.0;49754.42;39820.6;9933.82;1688.94;0.0
