Timestep;EOM_price;Gen_B_Baseload;new_Capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_MidMerit;new_Capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_PV;new_Capacity_Gen_B_PV;Capacity_Gen_B_PV;Gen_B_Peak;new_Capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_Capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;NetworkManager;ENS_Cons_B
1.0;27.59;8301.5;8301.5;8301.5;0.0;1216.7;1216.7;0.0;0.0;10794.0;0.0;1255.32;1255.32;1651.2;0.0;5439.0;8208.73;6568.8;1639.93;-1743.96;0.0
2.0;27.14;8301.5;8301.5;8301.5;0.0;1216.7;1216.7;0.0;0.0;10794.0;0.0;1255.32;1255.32;1563.96;0.0;5439.0;7812.13;6251.4;1560.73;-2053.33;0.0
3.0;27.2;8301.5;8301.5;8301.5;0.0;1216.7;1216.7;0.0;0.0;10794.0;0.0;1255.32;1255.32;1502.64;0.0;5439.0;7640.67;6114.2;1526.47;-2163.46;0.0
4.0;27.15;8301.5;8301.5;8301.5;0.0;1216.7;1216.7;0.0;0.0;10794.0;0.0;1255.32;1255.32;1467.3;0.0;5439.0;7498.21;6000.2;1498.01;-2270.59;0.0
5.0;27.1;8301.5;8301.5;8301.5;0.0;1216.7;1216.7;0.0;0.0;10794.0;0.0;1255.32;1255.32;1455.51;0.0;5439.0;7572.2;6059.4;1512.8;-2184.81;0.0
6.0;27.62;8301.5;8301.5;8301.5;0.0;1216.7;1216.7;0.0;0.0;10794.0;0.0;1255.32;1255.32;1463.67;0.0;5439.0;7979.8;6385.6;1594.2;-1785.37;0.0
7.0;61.38;8301.5;8301.5;8301.5;1038.05;1216.7;1216.7;4.41;0.0;10794.0;0.0;1255.32;1255.32;1495.78;0.0;5439.0;8869.05;7099.6;1769.45;-1970.68;0.0
8.0;101.73;8301.5;8301.5;8301.5;1216.7;1216.7;1216.7;276.7;0.0;10794.0;296.6;1255.32;1255.32;1480.66;0.0;5439.0;9630.63;7719.2;1911.43;-1941.53;0.0
9.0;95.46;8301.5;8301.5;8301.5;1216.7;1216.7;1216.7;1183.12;0.0;10794.0;218.25;1255.32;1255.32;1337.32;0.0;5439.0;10218.24;8182.4;2035.84;-2038.64;0.0
10.0;42.61;8301.5;8301.5;8301.5;0.0;1216.7;1216.7;2411.87;0.0;10794.0;0.0;1255.32;1255.32;1089.4;0.0;5439.0;10311.35;8252.6;2058.75;-1491.41;0.0
11.0;25.64;7639.0;8301.5;8301.5;0.0;1216.7;1216.7;3539.78;0.0;10794.0;0.0;1255.32;1255.32;1042.14;0.0;5439.0;10244.87;8198.0;2046.87;-1976.04;0.0
12.0;22.74;4738.75;8301.5;8301.5;0.0;1216.7;1216.7;4382.83;0.0;10794.0;0.0;1255.32;1255.32;1120.2;0.0;5439.0;10195.18;8158.0;2037.18;-46.6;0.0
13.0;18.28;284.14;8301.5;8301.5;0.0;1216.7;1216.7;4855.39;0.0;10794.0;0.0;1255.32;1255.32;1204.43;0.0;5439.0;9922.44;7939.4;1983.04;3578.48;0.0
14.0;0.0;0.0;8301.5;8301.5;0.0;1216.7;1216.7;4595.94;0.0;10794.0;0.0;1255.32;1255.32;1317.73;0.0;5439.0;9793.5;7834.8;1958.7;3879.83;0.0
15.0;0.0;0.0;8301.5;8301.5;0.0;1216.7;1216.7;4209.51;0.0;10794.0;0.0;1255.32;1255.32;1472.85;0.0;5439.0;9589.5;7671.6;1917.9;3907.15;0.0
16.0;20.48;2475.67;8301.5;8301.5;0.0;1216.7;1216.7;4117.24;0.0;10794.0;0.0;1255.32;1255.32;1102.86;0.0;5439.0;9237.11;7391.2;1845.91;1541.34;0.0
17.0;19.78;1778.56;8301.5;8301.5;0.0;1216.7;1216.7;3246.41;0.0;10794.0;0.0;1255.32;1255.32;1845.13;0.0;5439.0;8904.24;7124.8;1779.44;2034.14;0.0
18.0;24.26;6257.17;8301.5;8301.5;0.0;1216.7;1216.7;2048.17;0.0;10794.0;0.0;1255.32;1255.32;1965.33;0.0;5439.0;9245.51;7398.2;1847.31;-1025.17;0.0
19.0;56.21;8301.5;8301.5;8301.5;521.46;1216.7;1216.7;818.5;0.0;10794.0;0.0;1255.32;1255.32;1675.81;0.0;5439.0;9396.21;7521.2;1875.01;-1921.06;0.0
20.0;12161.03;8301.5;8301.5;8301.5;1216.7;1216.7;1216.7;128.3;0.0;10794.0;1255.32;1255.32;1255.32;366.56;0.0;5439.0;13175.85;12000.0;1175.85;1907.47;0.0
21.0;174.85;8301.5;8301.5;8301.5;1216.7;1216.7;1216.7;0.62;0.0;10794.0;1210.6;1255.32;1255.32;1039.85;0.0;5439.0;8940.57;7534.4;1406.17;-2828.69;0.0
22.0;57.31;8301.5;8301.5;8301.5;630.58;1216.7;1216.7;0.0;0.0;10794.0;0.0;1255.32;1255.32;2180.45;0.0;5439.0;9315.46;7457.4;1858.06;-1797.07;0.0
23.0;42.9;8301.5;8301.5;8301.5;0.0;1216.7;1216.7;0.0;0.0;10794.0;0.0;1255.32;1255.32;2125.35;0.0;5439.0;9101.84;7284.6;1817.24;-1325.0;0.0
24.0;39.03;8301.5;8301.5;8301.5;0.0;1216.7;1216.7;0.0;0.0;10794.0;0.0;1255.32;1255.32;2037.53;0.0;5439.0;8661.37;6931.8;1729.57;-1677.66;0.0
