Timestep;EOM_price;Gen_C_Baseload;new_Capacity_Gen_C_Baseload;Capacity_Gen_C_Baseload;Gen_C_MidMerit;new_Capacity_Gen_C_MidMerit;Capacity_Gen_C_MidMerit;Gen_C_PV;new_Capacity_Gen_C_PV;Capacity_Gen_C_PV;Gen_C_Peak;new_Capacity_Gen_C_Peak;Capacity_Gen_C_Peak;Gen_C_WindOnshore;new_Capacity_Gen_C_WindOnshore;Capacity_Gen_C_WindOnshore;Cons_C;Inelastic_Cons_C;Elastic_Cons_C;NetworkManager;ENS_Cons_C
1.0;27.59;9588.61;9641.32;9641.32;0.0;2221.66;2221.66;0.0;0.0;27259.0;0.0;1957.2;1957.2;6136.02;0.0;11706.0;11468.59;9177.4;2291.19;-4256.04;0.0
2.0;27.14;9137.63;9641.32;9641.32;0.0;2221.66;2221.66;0.0;0.0;27259.0;0.0;1957.2;1957.2;5793.81;0.0;11706.0;10984.77;8790.2;2194.57;-3946.67;0.0
3.0;27.2;9201.27;9641.32;9641.32;0.0;2221.66;2221.66;0.0;0.0;27259.0;0.0;1957.2;1957.2;5275.13;0.0;11706.0;10639.86;8514.2;2125.66;-3836.54;0.0
4.0;27.15;9153.79;9641.32;9641.32;0.0;2221.66;2221.66;0.0;0.0;27259.0;0.0;1957.2;1957.2;5118.01;0.0;11706.0;10542.39;8436.2;2106.19;-3729.41;0.0
5.0;27.1;9095.1;9641.32;9641.32;0.0;2221.66;2221.66;0.0;0.0;27259.0;0.0;1957.2;1957.2;5361.21;0.0;11706.0;10641.12;8515.2;2125.92;-3815.19;0.0
6.0;27.62;9617.78;9641.32;9641.32;0.0;2221.66;2221.66;0.0;0.0;27259.0;0.0;1957.2;1957.2;5634.55;0.0;11706.0;11037.7;8832.6;2205.1;-4214.63;0.0
7.0;61.33;9641.32;9641.32;9641.32;1033.07;2221.66;2221.66;0.0;0.0;27259.0;0.0;1957.2;1957.2;5783.05;0.0;11706.0;12428.12;9948.6;2479.52;-4029.32;0.0
8.0;121.46;9641.32;9641.32;9641.32;2221.66;2221.66;2221.66;229.81;0.0;27259.0;543.19;1957.2;1957.2;1523.0;0.0;11706.0;13852.57;11103.2;2749.37;-306.42;0.0
9.0;95.46;9641.32;9641.32;9641.32;2221.66;2221.66;2221.66;2687.01;0.0;27259.0;218.25;1957.2;1957.2;1479.55;0.0;11706.0;14415.23;11543.2;2872.03;-1832.56;0.0
10.0;26.24;8244.62;9641.32;9641.32;0.0;2221.66;2221.66;7651.91;0.0;27259.0;0.0;1957.2;1957.2;1340.9;0.0;11706.0;14206.94;11370.4;2836.54;-3030.49;0.0
11.0;22.38;4376.98;9641.32;9641.32;0.0;2221.66;2221.66;12142.05;0.0;27259.0;0.0;1957.2;1957.2;1229.16;0.0;11706.0;13724.23;10982.2;2742.03;-4023.96;0.0
12.0;0.0;0.0;9641.32;9641.32;0.0;2221.66;2221.66;13904.66;0.0;27259.0;0.0;1957.2;1957.2;4539.28;0.0;11706.0;13322.72;10660.6;2662.12;-5121.22;0.0
13.0;0.0;0.0;9641.32;9641.32;0.0;2221.66;2221.66;17536.27;0.0;27259.0;0.0;1957.2;1957.2;1384.98;0.0;11706.0;12921.25;10337.0;2584.25;-6000.0;0.0
14.0;0.0;0.0;9641.32;9641.32;0.0;2221.66;2221.66;16956.48;0.0;27259.0;0.0;1957.2;1957.2;0.0;0.0;11706.0;12910.25;10328.2;2582.05;-4046.23;0.0
15.0;0.0;0.0;9641.32;9641.32;0.0;2221.66;2221.66;15933.25;0.0;27259.0;0.0;1957.2;1957.2;0.0;0.0;11706.0;12775.25;10220.2;2555.05;-3158.0;0.0
16.0;19.44;1441.09;9641.32;9641.32;0.0;2221.66;2221.66;15235.64;0.0;27259.0;0.0;1957.2;1957.2;1994.8;0.0;11706.0;12671.54;10139.2;2532.34;-6000.0;0.0
17.0;19.78;1778.56;9641.32;9641.32;0.0;2221.66;2221.66;12904.71;0.0;27259.0;0.0;1957.2;1957.2;2216.21;0.0;11706.0;12718.98;10177.2;2541.78;-4180.5;0.0
18.0;24.26;6257.17;9641.32;9641.32;0.0;2221.66;2221.66;9497.97;0.0;27259.0;0.0;1957.2;1957.2;2536.96;0.0;11706.0;13317.27;10656.4;2660.87;-4974.83;0.0
19.0;54.47;9641.32;9641.32;9641.32;347.0;2221.66;2221.66;4775.5;0.0;27259.0;0.0;1957.2;1957.2;2983.92;0.0;11706.0;13668.8;10941.0;2727.8;-4078.94;0.0
20.0;12155.79;9641.32;9641.32;9641.32;2221.66;2221.66;2221.66;1007.63;0.0;27259.0;1957.2;1957.2;1957.2;3339.84;0.0;11706.0;12496.28;11380.4;1115.88;-5671.38;0.0
21.0;216.38;9641.32;9641.32;9641.32;2221.66;2221.66;2221.66;22.73;0.0;27259.0;1729.81;1957.2;1957.2;2123.72;0.0;11706.0;18986.14;16000.0;2986.14;3246.9;0.0
22.0;67.51;9641.32;9641.32;9641.32;1651.44;2221.66;2221.66;0.0;0.0;27259.0;0.0;1957.2;1957.2;729.63;0.0;11706.0;14267.86;11422.0;2845.86;2245.47;0.0
23.0;42.9;9641.32;9641.32;9641.32;0.0;2221.66;2221.66;0.0;0.0;27259.0;0.0;1957.2;1957.2;2818.38;0.0;11706.0;13315.29;10656.8;2658.49;855.59;0.0
24.0;39.03;9641.32;9641.32;9641.32;0.0;2221.66;2221.66;0.0;0.0;27259.0;0.0;1957.2;1957.2;2623.87;0.0;11706.0;12420.4;9940.2;2480.2;155.22;0.0
